name,url,position,score,hometown,offers,state
Keegan Wilburn,https://247sports.com/player/keegan-wilburn-46082293,ATH ,0.8324," Nelsonville-York (Nelsonville, OH)  ",['Ohio'],OH
Joseph Habinowski,https://247sports.com/player/joseph-habinowski-46051513,OT ,0.8288," Chaminade-Madonna Prep (Hollywood, FL)  ","['Ohio', 'Eastern Michigan', 'FIU', 'Florida Atlantic', 'Indiana', 'Kansas', 'Kentucky', 'Liberty', 'Louisville', 'Marshall', 'Pittsburgh', 'Southern Miss', 'Syracuse', 'Toledo', 'Tulane', 'UAB', 'Utah State', 'Western Kentucky', 'Auburn']",FL
Roman Parodie,https://247sports.com/player/roman-parodie-46086016,CB ,0.8267," Cardinal Gibbons (Fort Lauderdale, FL)  ","['Ohio', 'Bryant', 'Buffalo', 'Elon', 'Illinois', 'Illinois State', 'Toledo']",FL
Peter Kemeni,https://247sports.com/player/peter-kemeni-46056922,CB ,0.8198," Clarkson Football North (Mississauga, ON)    ","['Ohio', 'Indiana State', 'Kent State', 'Massachusetts', 'Miami (OH)', 'Toledo', 'Youngstown State', 'Arizona State', 'Central Michigan', 'Connecticut', 'Duke', 'Indiana', 'Miami (OH)']",ON
Shedrick Rhodes,https://247sports.com/player/shedrick-rhodes-46086416,OT ,0.8139," Eagle's Landing Christian (Mcdonough, GA)  ","['Ohio', 'Florida Atlantic', 'Arkansas State', 'Central Michigan', 'Coastal Carolina', 'Mercer', 'Rutgers', 'South Alabama', 'Troy']",GA
Bryce McNair,https://247sports.com/player/bryce-mcnair-46081891,OT ,0.8127," Deerfield Beach (Deerfield Beach, FL)  ","['Ohio', 'Dartmouth', 'Davidson', 'FIU', 'Florida Atlantic', 'Florida Tech', 'Liberty', 'North Carolina Central', 'UT Martin', 'Utah State', 'Western Kentucky']",FL
Rodney Mathews,https://247sports.com/player/rodney-mathews-46094962,DT ,0.8100," Hutchinson C.C. (Hutchinson, KS)    ","['Ohio', 'Central Michigan', 'FIU', 'Massachusetts', 'South Alabama']",KS
Demond Arter,https://247sports.com/player/demond-arter-46057223,OG ,0.8092," St. John's (Washington, DC)    ","['Ohio', 'Buffalo', 'East Carolina', 'Fordham', 'Howard', 'Liberty', 'Massachusetts', 'Nebraska', 'Ohio', 'Rutgers']",DC
CJ Harris,https://247sports.com/player/cj-harris-46078909,DUAL ,0.8065," West Bloomfield (West Bloomfield, MI)  ","['Ohio', 'Central Michigan', 'Cornell', 'Dartmouth', 'Miami (OH)', 'Western Michigan']",MI
Cam Dorsey,https://247sports.com/player/cam-dorsey-46098814,OLB ,0.8053," Alpharetta (Alpharetta, GA)    ","['Ohio', 'Mercer', 'South Alabama']",GA
Wyatt Walton,https://247sports.com/player/wyatt-walton-46093823,OC ,0.7998," Johnstown-Monroe HS (Johnstown, OH)    ",['Ohio'],OH
Dane Middlebrook,https://247sports.com/player/dane-middlebrook-46048381,DT ,0.7990," Brownsburg (Brownsburg, IN)    ","['Ohio', 'Tulane', 'Ball State', 'Bowling Green', 'Central Michigan', 'Dartmouth', 'Eastern Michigan', 'Kent State', 'Miami (OH)', 'Ohio State', 'Toledo', 'Western Illinois', 'Yale', 'Indiana', 'Michigan State', 'Missouri', 'Purdue']",IN
Bryce Kitrell,https://247sports.com/player/bryce-kitrell-46097722,RB ,0.7840," Ashland-Greenwood (Ashland, NE)  ",['Ohio'],NE
Cleotis Anglin,https://247sports.com/player/cleotis-anglin-46082016,TE ,0.7597," Lakeland (Lakeland, FL)  ",['Ohio'],FL
Jack Wilson,https://247sports.com/player/jack-wilson-46093832,P ,0.7396," ProKick Australia (Australia, AUST)  ",['Ohio'],AU
