name,url,position,score,hometown,offers,state
Julian Fleming,https://247sports.com/player/julian-fleming-46040058,WR ,0.9979," Southern Columbia (Catawissa, PA)                    ",,PA
Paris Johnson Jr.,https://247sports.com/player/paris-johnson-jr-46042173,OT ,0.9953," Princeton (Cincinnati, OH)                    ",,OH
Jaxon Smith-Njigba,https://247sports.com/player/jaxon-smith-njigba-46047353,WR ,0.9856," Rockwall (Rockwall, TX)                    ",,TX
CJ Stroud,https://247sports.com/player/cj-stroud-46038118,PRO ,0.9781," Rancho Cucamonga (Rancho Cucamonga, CA)      ",,CA
Gee Scott Jr.,https://247sports.com/player/gee-scott-jr-46039474,WR ,0.9703," Eastside Catholic (Sammamish, WA)                    ",,WA
Mookie Cooper,https://247sports.com/player/mookie-cooper-46039953,WR ,0.9578," Pattonville (Maryland Heights, MO)                    ",,MO
Luke Wypler,https://247sports.com/player/luke-wypler-46052032,OC ,0.9526," St Joseph Regional (Montvale, NJ)                    ",,NJ
Darrion Henry,https://247sports.com/player/darrion-henry-46049747,DT ,0.9322," Princeton (Cincinnati, OH)                    ",,OH
Jacolbe Cowan,https://247sports.com/player/jacolbe-cowan-46036315,DT ,0.9298," Providence Day School (Charlotte, NC)                    ",,NC
Kourt Williams,https://247sports.com/player/kourt-williams-46049569,OLB ,0.9295," St. John Bosco (Bellflower, CA)                    ",,CA
Ryan Watts,https://247sports.com/player/ryan-watts-46079300,S ,0.9208," Little Elm (Little Elm, TX)                    ",,TX
Jack Miller,https://247sports.com/player/jack-miller-46037839,PRO ,0.8951," Chaparral (Scottsdale, AZ)                    ",,AZ
Lejond Cavazos,https://247sports.com/player/lejond-cavazos-86707,CB ,0.8927," IMG Academy (Bradenton, FL)                    ",,FL
Trey Leroux,https://247sports.com/player/trey-leroux-46048535,OT ,0.8493," Norwalk (Norwalk, OH)                    ",,OH
Cody Simon,https://247sports.com/player/cody-simon-46054099,ILB ,0.9663," St. Peters Prep (Jersey City, NJ)                  ","['Ohio State', 'Nebraska', 'Boston College', 'Duke', 'Kentucky', 'Maryland', 'Miami', 'North Carolina', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Rutgers', 'Stanford', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Syracuse']",NJ
Lathan Ransom,https://247sports.com/player/lathan-ransom-46053133,S ,0.9288," Salpointe Catholic (Tucson, AZ)    ","['Ohio State', 'LSU', 'Notre Dame', 'Oklahoma', 'Texas', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Colorado', 'Florida', 'Georgia', 'Indiana', 'Michigan', 'Missouri', 'Nebraska', 'Ole Miss', 'Oregon', 'Stanford', 'Tennessee', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Vanderbilt', 'Virginia', 'Washington']",AZ
Cameron Martinez,https://247sports.com/player/cameron-martinez-46036225,ATH ,0.8958," Muskegon (Muskegon, MI)    ","['Ohio State', 'Minnesota', 'Northwestern', 'Alabama A&M', 'Arizona State', 'Boston College', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Florida State', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kentucky', 'Louisville', 'Michigan', 'Michigan State', 'Nebraska', 'Northern Illinois', 'Notre Dame', 'Penn State', 'Purdue', 'Syracuse', 'Toledo', 'West Virginia', 'Western Michigan', 'Wisconsin', 'Akron', 'Ball State', 'Cincinnati', 'NC State']",MI
Mitchell Melton,https://247sports.com/player/mitchell-melton-46055245,OLB ,0.8934," Good Counsel (Olney, MD)    ","['Ohio State', 'Michigan', 'Notre Dame', 'Air Force', 'Duke', 'East Carolina', 'Kentucky', 'Maryland', 'Massachusetts', 'Nebraska', 'Old Dominion', 'Ole Miss', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Texas A&M', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin']",MD
Joe Royer,https://247sports.com/player/joe-royer-46058995,TE ,0.8865," Elder (Cincinnati, OH)                  ","['Ohio State', 'Air Force', 'Arizona State', 'Ball State', 'Boston College', 'Cincinnati', 'Eastern Michigan', 'Georgia Tech', 'Iowa State', 'Kent State', 'Louisville', 'Michigan', 'Michigan State', 'Nebraska', 'Penn State', 'Pittsburgh', 'Rutgers', 'Toledo', 'West Virginia', 'Western Michigan', 'Wisconsin']",OH
