name,url,position,score,hometown,offers,state
Andrew Raym,https://247sports.com/player/andrew-raym-46042593,OG ,0.9577," Broken Arrow (Broken Arrow, OK)    ",,OK
Seth McGowan,https://247sports.com/player/seth-mcgowan-46042960,RB ,0.9382," Poteet (Mesquite, TX)    ",,TX
Marvin Mims,https://247sports.com/player/marvin-mims-46049311,WR ,0.9288," Lone Star (Frisco, TX)    ",,TX
Bryson Washington,https://247sports.com/player/bryson-washington-46049451,S ,0.9188," C.E. King (Houston, TX)    ",,TX
Perrion Winfrey,https://247sports.com/player/perrion-winfrey-46039840,DT ,0.9162," Iowa Western C.C. (Council Bluffs, IA)    ",,IA
Michael Henderson,https://247sports.com/player/michael-henderson-46037341,ATH ,0.9006," Ranchview (Carrollton, TX)    ",,TX
Shane Whitter,https://247sports.com/player/shane-whitter-46055031,ILB ,0.8887," Walter M Williams (Burlington, NC)    ",,NC
DJ Graham,https://247sports.com/player/dj-graham-46037403,ATH ,0.8817," Keller Central (Keller, TX)    ",,TX
Josh Ellison,https://247sports.com/player/josh-ellison-46037856,DT ,0.8810," Blinn College (Brenham, TX)                    ",,TX
Noah Nelson,https://247sports.com/player/noah-nelson-46047383,OT ,0.8783," Williams Field (Gilbert, AZ)    ",,AZ
Nate Anderson,https://247sports.com/player/nate-anderson-46057968,OG ,0.9615," Reedy (Frisco, TX)    ","['Oklahoma', 'Arizona State', 'Arkansas', 'Baylor', 'Boston College', 'Dartmouth', 'Florida State', 'Houston', 'Kansas', 'Memphis', 'Missouri', 'North Carolina', 'North Texas', 'Oklahoma State', 'SMU', 'TCU', 'Tulsa', 'USC', 'Utah', 'UTSA', 'Washington State']",TX
Reggie Grimes,https://247sports.com/player/reggie-grimes-46043136,WDE ,0.9470," Ravenwood (Brentwood, TN)    ","['Oklahoma', 'Alabama', 'Florida State', 'South Carolina', 'Tennessee', 'Vanderbilt', 'Arkansas', 'Clemson', 'Georgia Tech', 'Louisville', 'LSU', 'Memphis', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Purdue', 'Texas A&M', 'Tulane', 'Virginia', 'Virginia Tech']",TN
Anton Harrison,https://247sports.com/player/anton-harrison-46036474,OT ,0.9272," Archbishop Carroll (Washington, DC)    ","['Oklahoma', 'Boston College', 'East Carolina', 'FIU', 'Florida State', 'Indiana', 'Kentucky', 'Maryland', 'Michigan', 'North Carolina', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Texas A&M', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin', 'Clemson', 'Oregon', 'Purdue']",DC
Aaryn Parks,https://247sports.com/player/aaryn-parks-46050455,OG ,0.9201," National Christian Academy (Fort Washington, MD)    ","['Oklahoma', 'Georgia', 'Pittsburgh', 'Penn State', 'Alabama', 'Florida', 'Indiana', 'Kentucky', 'Maryland', 'Michigan', 'Mississippi State', 'NC State', 'North Carolina', 'Oregon', 'Purdue', 'Rutgers', 'Syracuse', 'Virginia', 'Virginia Tech', 'West Virginia', 'Texas A&M']",MD
Jalin Conyers,https://247sports.com/player/jalin-conyers-46081785,TE ,0.9199," Gruver (Gruver, TX)    ","['Oklahoma', 'Georgia', 'Ohio State', 'Arizona State', 'Baylor', 'California', 'Louisiana', 'LSU', 'Michigan', 'Missouri', 'Nebraska', 'Oklahoma State', 'Oregon', 'Penn State', 'Purdue', 'SMU', 'TCU', 'Texas', 'Texas A&M', 'Texas Tech', 'Tulsa', 'USC']",TX
Kendall Dennis,https://247sports.com/player/kendall-dennis-46081780,CB ,0.8957," Lakeland (Lakeland, FL)                  ","['Oklahoma', 'Florida State', 'Nebraska', 'Alcorn State', 'Auburn', 'Clemson', 'FIU', 'Florida', 'Georgia', 'Illinois', 'Iowa State', 'Louisville', 'Miami', 'NC State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee', 'USF']",FL
Joshua Eaton,https://247sports.com/player/joshua-eaton-46042923,CB ,0.8925," Aldine MacArthur (Houston, TX)    ","['Oklahoma', 'Texas', 'Alabama', 'Arkansas', 'Auburn', 'Baylor', 'Colorado', 'Florida', 'Georgia', 'Georgia Tech', 'Houston', 'Illinois', 'Indiana', 'Kansas', 'Kansas State', 'LSU', 'Miami', 'Missouri', 'Ole Miss', 'Oregon', 'Purdue', 'Rutgers', 'SMU', 'South Alabama', 'TCU', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Tulane', 'Tulsa', 'USC', 'Utah', 'Virginia Tech']",TX
Justin Harrington,https://247sports.com/player/justin-harrington-46085332,S ,0.8905," Bakersfield College (Bakersfield, CA)    ","['Oklahoma', 'NC State', 'Oregon State', 'Charlotte', 'Colorado', 'Houston', 'Iowa State', 'Louisiana']",CA
Chandler Morris,https://247sports.com/player/chandler-morris-46040236,DUAL ,0.8827," Highland Park (Dallas, TX)    ","['Oklahoma', 'Virginia Tech', 'Arkansas', 'Auburn', 'Boise State', 'Clemson', 'Colorado', 'Colorado State', 'Indiana', 'Kansas', 'Kansas State', 'North Texas', 'SMU', 'TCU', 'USC']",TX
Noah Arinze,https://247sports.com/player/noah-arinze-46078883,WDE ,0.8742," Webster Groves (Saint Louis, MO)    ","['Oklahoma', 'Arizona State', 'Minnesota', 'Ball State', 'Illinois', 'Indiana', 'Indiana State', 'Iowa', 'Iowa State', 'Kansas', 'Kent State', 'Kentucky', 'Missouri', 'Nebraska', 'North Carolina', 'Tennessee', 'Texas', 'UCLA', 'Wisconsin']",MO
