name,url,position,score,hometown,offers,state
Shane Illingworth,https://247sports.com/player/shane-illingworth-46047021,PRO ,0.9297," Norco (Norco, CA)    ",,CA
Eli Russ,https://247sports.com/player/eli-russ-46051668,OG ,0.8722," Plainview (Ardmore, OK)    ",,OK
Quinton Stewart,https://247sports.com/player/quinton-stewart-46083717,TE ,0.8688," Salina Central (Salina, KS)    ",,KS
Monroe Mills,https://247sports.com/player/monroe-mills-46057059,OT ,0.8377," Father Tolton (Columbia, MO)    ",,MO
Tyren Irby,https://247sports.com/player/tyren-irby-46093559,WDE ,0.8316," Northwest Mississippi C.C. (Senatobia, MS)  ",,MS
Nicolas Session,https://247sports.com/player/nicolas-session-46054063,S ,0.8282," East (Salt Lake City, UT)                  ",,UT
Trent Pullen,https://247sports.com/player/trent-pullen-46041328,OG ,0.8743," Connally (Waco, TX)    ","['Oklahoma State', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Houston', 'Kansas State', 'Louisiana Tech', 'LSU', 'North Texas', 'Purdue', 'SMU', 'Texas A&M', 'Texas State', 'Tulsa', 'Arkansas']",TX
Korie Black,https://247sports.com/player/korie-black-46041331,CB ,0.8742," Connally (Waco, TX)    ","['Oklahoma State', 'Baylor', 'Boise State', 'Colorado', 'Colorado State', 'Houston', 'Kansas State', 'Louisiana', 'Louisiana Tech', 'Minnesota', 'Missouri', 'Nebraska', 'North Texas', 'Purdue', 'SMU', 'Southern Miss', 'Syracuse', 'Texas State', 'Texas Tech', 'Tulsa', 'UTEP', 'UTSA']",TX
Matt Polk,https://247sports.com/player/matt-polk-46055203,WR ,0.8735," Saguaro (Scottsdale, AZ)    ","['Oklahoma State', 'California', 'Arizona', 'Arizona State', 'Florida', 'Iowa State', 'Kansas', 'Northern Arizona', 'Oregon State', 'Purdue', 'Tennessee', 'UCLA']",AZ
Cade Bennett,https://247sports.com/player/cade-bennett-46055240,OG ,0.8613," Notre Dame Preparatory (Scottsdale, AZ)    ","['Oklahoma State', 'Arizona', 'Arizona State', 'Army', 'Boise State', 'Brigham Young', 'Colorado State', 'Georgia Tech', 'Iowa State', 'Kansas', 'Northern Arizona', 'Purdue', 'San Diego State', 'Syracuse', 'UNLV', 'Vanderbilt', 'Washington State', 'Air Force', 'California', 'Michigan State', 'Nevada', 'Northwestern', 'Notre Dame', 'Stanford', 'UCLA', 'Utah', 'Wisconsin', 'Wyoming']",AZ
Jordan Reagan,https://247sports.com/player/jordan-reagan-46085534,CB ,0.8606," Bixby (Bixby, OK)    ","['Oklahoma State', 'Air Force', 'Army', 'Dartmouth', 'Memphis', 'Navy', 'New Mexico State', 'Northwestern Oklahoma State', 'Tulsa']",OK
Jeff Roberson,https://247sports.com/player/jeff-roberson-46084874,ILB ,0.8585," Choctaw (Choctaw, OK)    ","['Oklahoma State', 'Illinois State', 'Kansas', 'Memphis', 'Minnesota', 'Nebraska', 'South Dakota State', 'Texas State', 'Texas Tech', 'Troy', 'Tulsa', 'Western Illinois', 'Wyoming']",OK
Brennan Presley,https://247sports.com/player/brennan-presley-46047128,ATH ,0.8565," Bixby (Bixby, OK)    ","['Oklahoma State', 'Air Force', 'Arkansas State', 'Army', 'Eastern Michigan', 'Memphis', 'New Mexico State', 'North Texas', 'Temple', 'William & Mary', 'Arkansas', 'Kansas State']",OK
Jabbar Muhammad,https://247sports.com/player/jabbar-muhammad-46041814,CB ,0.8519," DeSoto (DeSoto, TX)    ","['Oklahoma State', 'Colorado', 'Houston', 'North Texas', 'Texas Tech', 'Tulsa']",TX
Ethan Bullock,https://247sports.com/player/ethan-bullock-88490,PRO ,0.8500," City College of San Francisco (San Francisco, CA)  ",['Oklahoma State'],CA
Cole Thompson,https://247sports.com/player/cole-thompson-46081792,ILB ,0.8485," Norman (Norman, OK)    ","['Oklahoma State', 'Army', 'Eastern Michigan', 'Troy', 'Texas Tech']",OK
Mason Cobb,https://247sports.com/player/mason-cobb-46082996,ILB ,0.8460," Provo (Provo, UT)  ","['Oklahoma State', 'Arizona', 'Louisville', 'Colorado State', 'Georgetown', 'Nevada', 'UNLV', 'Utah State', 'Yale', 'Brown', 'Harvard', 'Utah', 'Weber State']",UT
Grant Mahon,https://247sports.com/player/grant-mahon-46040750,DT ,0.8410," Guyer (Denton, TX)    ",['Oklahoma State'],TX
Rashod Owens,https://247sports.com/player/rashod-owens-46085288,ATH ,0.8395," Roosevelt (San Antonio, TX)    ","['Oklahoma State', 'Army', 'Colorado State', 'Fordham', 'Georgia Southern', 'Houston Baptist', 'Incarnate Word', 'Kansas', 'New Mexico State', 'Northern Colorado', 'Texas State', 'Tulane', 'UTSA']",TX
Zach Middleton,https://247sports.com/player/zach-middleton-46080060,S ,0.8390," Bishop Kelley (Tulsa, OK)    ","['Oklahoma State', 'Air Force', 'Arkansas State', 'Army', 'Eastern Michigan', 'Iowa State', 'William & Mary', 'Brigham Young']",OK
Lamont Bishop,https://247sports.com/player/lamont-bishop-46098921,ILB ,0.8262," Iowa Central C.C. (Fort Dodge, IA)    ","['Oklahoma State', 'Jacksonville State', 'Marshall', 'Morgan State', 'Southern Miss', 'UAB']",IA
