name,url,position,score,hometown,offers,state
LaMareon James,https://247sports.com/player/lamareon-james-46055283,CB ,0.8608," Indian River (Chesapeake, VA)    ","['Old Dominion', 'North Carolina', 'Auburn', 'East Carolina', 'Liberty', 'Maryland', 'Michigan', 'Morgan State', 'Nebraska', 'Pittsburgh', 'Rutgers', 'Virginia Tech', 'Virginia']",VA
Santana Saunders,https://247sports.com/player/santana-saunders-46081134,OT ,0.8469," Charles Herbert Flowers (Upper Marlboro, MD)    ","['Old Dominion', 'Maryland', 'Buffalo', 'East Carolina', 'Kent State', 'Morgan State', 'Ohio', 'Towson']",MD
Adrian Spellman,https://247sports.com/player/adrian-spellman-46059168,WDE ,0.8336," Northeastern (Elizabeth City, NC)  ","['Old Dominion', 'Liberty', 'Appalachian State', 'Duke', 'East Carolina', 'Navy', 'North Carolina']",NC
Keyshawn Hunter,https://247sports.com/player/keyshawn-hunter-46052173,DT ,0.8317," Woodson H.D. (Washington, DC)    ","['Old Dominion', 'East Carolina', 'Florida State', 'Massachusetts', 'NC State', 'Rutgers', 'Toledo', 'Wisconsin']",DC
Tyrik McDaniel,https://247sports.com/player/tyrik-mcdaniel-46085272,ATH ,0.8309," Dutch Fork (Irmo, SC)    ","['Old Dominion', 'Akron', 'Campbell', 'Charlotte', 'Chattanooga', 'Coastal Carolina', 'Connecticut', 'Georgia Southern', 'Samford', 'South Carolina State', 'Southern Miss', 'Western Carolina', 'Wofford']",SC
Levi Wentz,https://247sports.com/player/levi-wentz-46099311,CB ,0.8298," Pine-Richland (Gibsonia, PA)    ","['Old Dominion', 'Albany', 'Army', 'Columbia', 'Cornell College', 'Dartmouth', 'Lehigh', 'Navy', 'Penn State', 'Pittsburgh']",PA
Malcolm Britt,https://247sports.com/player/malcolm-britt-46054134,OLB ,0.8287," Oscar Smith (Chesapeake, VA)    ","['Old Dominion', 'Army', 'Austin Peay', 'Liberty', 'Navy', 'Navy', 'Temple', 'Yale', 'Maryland', 'Penn State', 'Virginia', 'Virginia Tech']",VA
Amore Morrison,https://247sports.com/player/amore-morrison-46085359,WDE ,0.8286," Salem (Virginia Beach, VA)  ","['Old Dominion', 'Marshall', 'Virginia State']",VA
Chazz Wallace,https://247sports.com/player/chazz-wallace-46041134,DT ,0.8193," The Avalon School (Bethesda, MD)    ","['Old Dominion', 'Temple', 'Akron', 'Bowling Green', 'Buffalo', 'Coastal Carolina', 'Delaware State', 'Eastern Michigan', 'FIU', 'James Madison', 'Kent State', 'Liberty', 'Louisville', 'Maryland', 'Massachusetts', 'Monmouth', 'Morgan State', 'Ohio', 'Rutgers', 'Sacred Heart', 'Toledo', 'Boston College', 'North Carolina', 'Ohio State', 'UCF', 'Virginia', 'Virginia Tech']",MD
Noah Robinson,https://247sports.com/player/noah-robinson-46081690,WR ,0.8185," Louisa County (Mineral, VA)  ",['Old Dominion'],VA
K'Ron Ferrell,https://247sports.com/player/kron-ferrell-46084573,CB ,0.8140," Woodland (Dorchester, SC)    ","['Old Dominion', 'Appalachian State', 'Charlotte', 'Coastal Carolina', 'Georgia Tech', 'Middle Tennessee State', 'Western Kentucky']",SC
Alonzo Ford,https://247sports.com/player/alonzo-ford-46076867,DT ,0.8105," Varina (Richmond, VA)    ","['Old Dominion', 'Air Force', 'Army', 'Boston College', 'Campbell', 'Coastal Carolina', 'East Carolina', 'Elon', 'Fordham', 'Hampton', 'James Madison', 'Temple', 'William & Mary', 'NC State', 'Virginia Tech', 'Wake Forest']",VA
Dominique Anthony,https://247sports.com/player/dominique-anthony-46054921,PRO ,0.8103," Potomac (Oxon Hill, MD)  ",['Old Dominion'],MD
Larry Hawkins,https://247sports.com/player/larry-hawkins-46099312,S ,0.8100," Trinity Valley C.C. (Athens, TX)  ",['Old Dominion'],TX
Devin Lester,https://247sports.com/player/devin-lester-46082461,ATH ,0.8091," Graham (Bluefield, VA)  ","['Old Dominion', 'Alabama State', 'Appalachian State', 'Coastal Carolina', 'Louisville', 'Penn State', 'Purdue', 'Richmond', 'Tulane', 'Virginia', 'Virginia Tech', 'Wake Forest', 'William & Mary']",VA
Talyn Hunter,https://247sports.com/player/talyn-hunter-46094631,OT ,0.7897," Hickory Ridge (Harrisburg, NC)    ","['Old Dominion', 'Appalachian State', 'Coastal Carolina', 'Colorado State']",NC
Obasanjo Sanni,https://247sports.com/player/obasanjo-sanni-46099313,RB ,0.7797," Smoky Hill (Aurora, CO)  ",['Old Dominion'],CO
Ethan Duane,https://247sports.com/player/ethan-duane-46097566,P ,0.7296," Australia (Australia, AUST)  ",['Old Dominion'],AU
Reese Poffenbarger,https://247sports.com/player/reese-poffenbarger-46084447,PRO ,0.8235," Middletown (Middletown, MD)  ",['Old Dominion'],MD
Antonio Sablon III,https://247sports.com/player/antonio-sablon-iii-46097942,WR ,0.8091," Green Run (Virginia Beach, VA)  ",['Old Dominion'],VA
Isiah Paige,https://247sports.com/player/isiah-paige-46082553,WR ,0.7831," Varina (Richmond, VA)    ","['Old Dominion', 'Kent State', 'Coastal Carolina', 'Hampton', 'Massachusetts']",VA
