name,url,position,score,hometown,offers,state
Demon Clowney,https://247sports.com/player/demon-clowney-94681,WDE ,0.9169," St. Frances Academy (Baltimore, MD)    ",,MD
Lakevias Daniel,https://247sports.com/player/lakevias-daniel-46085476,CB ,0.8709," Jones County J.C. (Ellisville, MS)  ",,MS
Derek Bermudez,https://247sports.com/player/derek-bermudez-46080579,S ,0.8709," Sandalwood (Jacksonville, FL)                 ",,FL
Austin Keys,https://247sports.com/player/austin-keys-46080850,ILB ,0.8663," Seminary (Seminary, MS)                    ",,MS
Kade Renfro,https://247sports.com/player/kade-renfro-46080486,PRO ,0.8511," Stephenville (Stephenville, TX)    ",,TX
Daylen Gill,https://247sports.com/player/daylen-gill-90718,S ,0.8495," Jones County J.C. (Ellisville, MS)                    ",,MS
Henry Parrish,https://247sports.com/player/henry-parrish-46039386,RB ,0.9166," Columbus (Miami, FL)    ","['Ole Miss', 'Florida Atlantic', 'Pittsburgh', 'South Carolina', 'FIU', 'Florida', 'Florida A&M', 'Florida State', 'Indiana', 'Iowa', 'Kent State', 'Marshall', 'Miami', 'Michigan', 'Oregon', 'Penn State', 'Tennessee', 'Toledo', 'UCF', 'USC', 'USF', 'Utah', 'Wake Forest', 'West Virginia', 'Western Kentucky']",FL
Jakivuan Brown,https://247sports.com/player/jakivuan-brown-46053490,OLB ,0.8989," Horn Lake (Horn Lake, MS)                  ","['Ole Miss', 'Mississippi State', 'Auburn', 'Baylor', 'Indiana', 'Kentucky', 'LSU', 'Memphis', 'Oregon', 'Southern Miss', 'Alabama', 'Auburn', 'Tennessee', 'Troy']",MS
Eli Acker,https://247sports.com/player/eli-acker-46045402,OT ,0.8851," Heritage Academy (Columbus, MS)                  ","['Ole Miss', 'Mississippi State', 'Alabama', 'Arkansas', 'Georgia', 'Miami', 'Nebraska', 'Notre Dame', 'Southern Miss']",MS
Kentrel Bullock,https://247sports.com/player/kentrel-bullock-46082838,RB ,0.8801," Columbia (Columbia, MS)                  ","['Ole Miss', 'Alcorn State', 'Auburn', 'Iowa State', 'Jackson State', 'Louisiana Tech', 'Louisville', 'Memphis', 'Mississippi State', 'Southern Miss', 'Troy', 'UAB', 'Arkansas State']",MS
Tobias Braun,https://247sports.com/player/tobias-braun-46057930,OT ,0.8612," Salisbury School (Salisbury, CT)    ","['Ole Miss', 'Florida State', 'Arizona State', 'Arkansas', 'Houston', 'Indiana', 'Iowa State', 'Kansas State', 'Massachusetts', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Rutgers', 'Texas Tech', 'Towson', 'UCF', 'Arkansas', 'Baylor', 'Texas', 'Texas State']",CT
DeSanto Rollins,https://247sports.com/player/desanto-rollins-46053453,DT ,0.8593," Parkview Baptist School (Baton Rouge, LA)    ","['Ole Miss', 'Colorado', 'Colorado State', 'Houston', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Nicholls State', 'Oregon', 'Prairie View A&M', 'Rutgers', 'South Alabama', 'Southern Miss', 'Southern University', 'Tennessee', 'Virginia', 'Kansas State', 'LSU', 'Oklahoma', 'Texas', 'Tulane']",LA
DaMarcus Thomas,https://247sports.com/player/damarcus-thomas-46082648,TE ,0.8544," Saraland (Saraland, AL)    ","['Ole Miss', 'Army', 'Louisiana', 'South Alabama', 'Southern Miss', 'Southern University', 'Tennessee', 'Troy', 'Tulane', 'Tuskegee']",AL
Cedric Johnson,https://247sports.com/player/cedric-johnson-46085554,WDE ,0.8538," WP Davidson (Mobile, AL)    ","['Ole Miss', 'Air Force', 'Arkansas State', 'Central Michigan', 'Charlotte', 'FIU', 'Florida Atlantic', 'Jacksonville State', 'Kansas', 'Samford', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Southern University', 'Tennessee', 'Tennessee State', 'Tulane', 'UAB']",AL
Luke Shouse,https://247sports.com/player/luke-shouse-46056814,OT ,0.8530," Ravenwood (Brentwood, TN)                  ","['Ole Miss', 'Army', 'Ball State', 'Charlotte', 'Cincinnati', 'Eastern Kentucky', 'Indiana', 'Kansas', 'Liberty', 'Louisville', 'Marshall', 'Miami (OH)', 'Tennessee Tech', 'Toledo', 'Virginia Tech', 'Western Kentucky', 'Arkansas', 'East Tennessee State', 'Georgia Southern', 'Kentucky', 'Middle Tennessee State', 'Nebraska', 'Tennessee', 'UCF', 'Vanderbilt']",TN
Cedric Melton,https://247sports.com/player/cedric-melton-46050217,OT ,0.8368," Klein Cain (Houston, TX)    ","['Ole Miss', 'Houston', 'Texas Tech', 'Arizona', 'Arkansas State', 'Colorado State', 'Houston Baptist', 'Illinois State', 'Incarnate Word', 'Indiana', 'Kansas', 'Louisiana', 'Louisiana-Monroe', 'Memphis', 'Prairie View A&M', 'Texas Southern', 'Texas State', 'Toledo', 'Tulane', 'Utah State', 'UTSA']",TX
Brady Ward,https://247sports.com/player/brady-ward-90200,OT ,0.8729," St. Paul's Episcopal (Mobile, AL)    ","['Ole Miss', 'Arkansas', 'Alabama', 'Florida', 'Florida State', 'Indiana', 'Iowa', 'Kansas', 'Kentucky', 'LSU', 'Memphis', 'Miami', 'Mississippi State', 'Missouri', 'North Carolina', 'Oklahoma', 'Oregon', 'Rutgers', 'South Alabama', 'Tennessee', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Auburn', 'Georgia']",AL
