name,url,position,score,hometown,offers,state
Noah Sewell,https://247sports.com/player/noah-sewell-46040411,ILB ,0.9935," Orem (Orem, UT)                    ",,UT
Jay Butterfield,https://247sports.com/player/jay-butterfield-46047108,PRO ,0.9353," Liberty (Brentwood, CA)                  ",,CA
Jonathan Denis,https://247sports.com/player/jonathan-denis-46046872,OG ,0.8969," South Dade (Homestead, FL)                    ",,FL
Bennett Williams,https://247sports.com/player/bennett-williams-93119,S ,0.8892," College of San Mateo (San Mateo, CA)    ",,CA
T.J. Bass,https://247sports.com/player/t-j-bass-46081145,OG ,0.8817," Butte College (Oroville, CA)                    ",,CA
Bradyn Swinson,https://247sports.com/player/bradyn-swinson-46059344,SDE ,0.8776," Chapel Hill (Douglasville, GA)                    ",,GA
Jared Greenfield,https://247sports.com/player/jared-greenfield-46042490,S ,0.8722," Narbonne (Harbor City, CA)                  ",,CA
Jake Shipley,https://247sports.com/player/jake-shipley-46077096,SDE ,0.8560," Shadow Hills  (Indio, CA)    ",,CA
Justin Flowe,https://247sports.com/player/justin-flowe-46038116,ILB ,0.9967," Upland (Upland, CA)                  ","['Oregon', 'Clemson', 'Miami', 'USC', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Colorado', 'Colorado State', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Indiana', 'Kansas State', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Nebraska', 'Nevada', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon State', 'Penn State', 'Rutgers', 'San Diego State', 'San Jose State', 'TCU', 'Tennessee', 'Texas', 'Texas A&M', 'Utah', 'Washington', 'Washington State']",CA
Dontae Manning,https://247sports.com/player/dontae-manning-46059500,CB ,0.9842," Raytown (Kansas City, MO)    ","['Oregon', 'Arizona State', 'Georgia', 'Oklahoma', 'Texas A&M', 'Arkansas', 'Baylor', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Liberty', 'LSU', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'North Carolina', 'Notre Dame', 'Oklahoma State', 'Purdue', 'Tennessee', 'Virginia Tech']",MO
Luke Hill,https://247sports.com/player/luke-hill-46046313,CB ,0.9218," St. Frances Academy (Baltimore, MD)                  ","['Oregon', 'Alabama', 'Boston College', 'Clemson', 'Colorado', 'Florida', 'Kentucky', 'Maryland', 'Massachusetts', 'Michigan', 'Missouri', 'Nebraska', 'Oklahoma', 'Penn State', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Georgia Tech']",MD
Kris Hutson,https://247sports.com/player/kris-hutson-46047149,WR ,0.9159," St. John Bosco (Bellflower, CA)    ","['Oregon', 'USC', 'Arizona', 'Arizona State', 'Colorado', 'Penn State', 'San Jose State', 'Utah', 'Howard', 'LSU', 'Minnesota', 'UCLA', 'Vanderbilt']",CA
Robby Ashford,https://247sports.com/player/robby-ashford-46043143,DUAL ,0.9006," Hoover (Hoover, AL)    ","['Oregon', 'Ole Miss', 'Auburn', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Jacksonville State', 'Kansas', 'Louisville', 'Mississippi State', 'Missouri', 'NC State', 'Penn State', 'Purdue', 'Texas A&M', 'Vanderbilt', 'Virginia Tech', 'Alabama', 'Clemson']",AL
Jaden Navarrette,https://247sports.com/player/jaden-navarrette-46040464,ATH ,0.8984," Norco (Norco, CA)                  ","['Oregon', 'LSU', 'Arizona', 'Arizona State', 'Colorado', 'Hawaii', 'Michigan', 'Nebraska', 'Oregon State', 'Tennessee', 'UNLV', 'USC', 'Washington', 'Alabama', 'Notre Dame']",CA
Jayson Jones,https://247sports.com/player/jayson-jones-46050182,DT ,0.8964," Calera (Calera, AL)    ","['Oregon', 'Baylor', 'Georgia Tech', 'Alabama', 'Auburn', 'Eastern Kentucky', 'Florida', 'Florida State', 'Georgia', 'LSU', 'Memphis', 'Michigan', 'Mississippi State', 'Nebraska', 'Ole Miss', 'South Carolina', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Virginia Tech', 'Baylor', 'Clemson', 'UAB']",AL
Trey Benson,https://247sports.com/player/trey-benson-46057374,RB ,0.8897," St Joseph (Greenville, MS)                  ","['Oregon', 'Louisville', 'Alcorn State', 'Arizona State', 'Arkansas State', 'Duke', 'Florida State', 'Kansas', 'Louisiana', 'Louisiana', 'Louisiana Tech', 'Memphis', 'Mississippi State', 'Missouri', 'North Carolina', 'Notre Dame', 'Penn State', 'Purdue', 'Southern Miss', 'Tulane', 'Vanderbilt', 'Washington State', 'Auburn', 'Florida', 'Georgia', 'Ole Miss']",MS
Maceal Afaese,https://247sports.com/player/maceal-afaese-46058422,DT ,0.8896," Kapolei (Kapolei, HI)                  ","['Oregon', 'Colorado', 'Arizona', 'Arizona State', 'Brigham Young', 'Hawaii', 'Kansas State', 'Nebraska', 'Oregon State', 'Tennessee', 'Texas Tech', 'Utah State', 'Virginia', 'Boise State', 'California', 'UCLA', 'USC']",HI
Jackson LaDuke,https://247sports.com/player/jackson-laduke-46052106,OLB ,0.8829," Spanish Springs (Sparks, NV)    ","['Oregon', 'UCLA', 'Arizona', 'Arizona State', 'Boise State', 'Colorado', 'Fresno State', 'Kansas State', 'Nebraska', 'Nevada', 'Oregon State', 'San Diego State', 'Tennessee', 'UNLV', 'USC', 'Utah', 'Vanderbilt', 'Washington State', 'Wisconsin', 'Yale']",NV
Jaylan Jeffers,https://247sports.com/player/jaylan-jeffers-46054398,OT ,0.8756," Saguaro (Scottsdale, AZ)                  ","['Oregon', 'Colorado', 'Oklahoma State', 'Arizona', 'Arizona State', 'Indiana', 'Kansas', 'Louisville', 'LSU', 'Michigan', 'Northern Arizona', 'Purdue', 'UCLA', 'USC', 'Utah', 'Washington State']",AZ
Marcus Harper,https://247sports.com/player/marcus-harper-46054878,OG ,0.8647," Homewood-Flossmoor (Flossmoor, IL)                  ","['Oregon', 'Purdue', 'Illinois', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Duke', 'Indiana', 'Iowa State', 'Kansas State', 'Louisville', 'Michigan State', 'Nebraska', 'Northern Illinois', 'Temple', 'Western Michigan']",IL
Faaope Laloulu,https://247sports.com/player/faaope-laloulu-46049088,OT ,0.8615," Farrington (Honolulu, HI)  ","['Oregon', 'Arizona', 'Brigham Young', 'Hawaii', 'Oregon State', 'San Diego State', 'UCLA', 'USC', 'Virginia', 'Washington']",HI
Jaylen Smith,https://247sports.com/player/jaylen-smith-46080603,DT ,0.8614," Hertford County (Ahoskie, NC)    ","['Oregon', 'NC State', 'Charlotte', 'Virginia', 'Wake Forest']",NC
