name,url,position,score,hometown,offers,state
Theo Johnson,https://247sports.com/player/theo-johnson-46056623,TE ,0.9667," Holy Names High School (Windsor, ON)                    ",,ON
Enzo Jennings,https://247sports.com/player/enzo-jennings-91737,S ,0.9381," Oak Park (Oak Park, MI)                    ",,MI
Caziah Holmes,https://247sports.com/player/caziah-holmes-46042112,APB ,0.9237," Cocoa (Cocoa, FL)                    ",,FL
Cole Brevard,https://247sports.com/player/cole-brevard-46049014,DT ,0.9207," Carmel (Carmel, IN)                    ",,IN
KeAndre Lambert,https://247sports.com/player/keandre-lambert-46052214,WR ,0.9201," Maury (Norfolk, VA)                    ",,VA
Jaden Dottin,https://247sports.com/player/jaden-dottin-46042630,WR ,0.8999," Suffield Academy (Suffield, CT)                    ",,CT
Joseph Johnson,https://247sports.com/player/joseph-johnson-46081257,CB ,0.8884," Life Christian Academy (Colonial Heights, VA)                    ",,VA
Tyler Elsdon,https://247sports.com/player/tyler-elsdon-46079301,ILB ,0.8748," North Schuylkill (Ashland, PA)                    ",,PA
Bryce Mostella,https://247sports.com/player/bryce-mostella-46051468,WDE ,0.8715," East Kentwood (Grand Rapids, MI)                    ",,MI
Fatorma Mulbah,https://247sports.com/player/fatorma-mulbah-46083390,DT ,0.8614," Susquehanna Twp (Harrisburg, PA)                    ",,PA
Nick Dawkins,https://247sports.com/player/nick-dawkins-46057948,OG ,0.8586," Parkland (Allentown, PA)                    ",,PA
Curtis Jacobs,https://247sports.com/player/curtis-jacobs-46047374,OLB ,0.9825," McDonogh School (Owings Mills, MD)                  ","['Penn State', 'Boston College', 'Cincinnati', 'Connecticut', 'Florida', 'Kent State', 'Kentucky', 'Maryland', 'Nebraska', 'North Carolina', 'Notre Dame', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin', 'Georgia Tech', 'Vanderbilt']",MD
Coziah Izzard,https://247sports.com/player/coziah-izzard-46036689,DT ,0.9127," DeMatha Catholic (Hyattsville, MD)                  ","['Penn State', 'Alabama', 'Boston College', 'Buffalo', 'East Carolina', 'Florida', 'Georgia', 'Iowa', 'Iowa', 'Maryland', 'Massachusetts', 'Michigan State', 'North Carolina', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Rutgers', 'Syracuse', 'Tennessee', 'Texas A&M', 'Virginia', 'Virginia Tech', 'Wake Forest']",MD
Parker Washington,https://247sports.com/player/parker-washington-46042319,WR ,0.9041," Fort Bend Travis (Richmond, TX)                  ","['Penn State', 'Wisconsin', 'Boston College', 'Duke', 'Georgia Tech', 'Houston', 'Indiana', 'Kansas', 'Kentucky', 'Louisiana-Monroe', 'Nebraska', 'North Texas', 'Southern Miss', 'Texas State', 'Utah']",TX
Keyvone Lee,https://247sports.com/player/keyvone-lee-46037843,RB ,0.9024," American Collegiate Academy (Clearwater, FL)                  ","['Penn State', 'Florida', 'Alabama', 'Cincinnati', 'Eastern Kentucky', 'Florida State', 'Georgia Tech', 'Indiana', 'Iowa State', 'Kansas', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Minnesota', 'Mississippi State', 'North Carolina', 'Rutgers', 'Southern Miss', 'Tennessee', 'Toledo', 'UCF', 'USF', 'Utah', 'West Virginia', 'Western Kentucky', 'Arkansas', 'Ohio State']",FL
Zuriah Fisher,https://247sports.com/player/zuriah-fisher-46059329,WDE ,0.8948," Aliquippa (Aliquippa, PA)                  ","['Penn State', 'Michigan State', 'Ball State', 'Bowling Green', 'Howard', 'Kent State', 'Kentucky', 'Maryland', 'Massachusetts', 'Minnesota', 'NC State', 'Nebraska', 'Ohio', 'Pittsburgh', 'Syracuse', 'Temple', 'Texas A&M', 'Toledo', 'Youngstown State', 'Duquesne']",PA
Jimmy Christ,https://247sports.com/player/jimmy-christ-46049851,OT ,0.8897," Dominion (Sterling, VA)                  ","['Penn State', 'Notre Dame', 'Oklahoma', 'Virginia', 'Appalachian State', 'Arizona State', 'Army', 'Boston College', 'Buffalo', 'Clemson', 'Duke', 'East Carolina', 'Florida', 'Georgia Tech', 'Indiana', 'Kansas', 'Liberty', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Northwestern', 'Ohio State', 'Old Dominion', 'Ole Miss', 'Pittsburgh', 'Purdue', 'Rutgers', 'Stanford', 'Syracuse', 'Temple', 'Tennessee', 'Vanderbilt', 'Wake Forest', 'West Virginia', 'Wisconsin']",VA
Olu Fashanu,https://247sports.com/player/olu-fashanu-46058962,OT ,0.8871," Gonzaga  (Washington, DC)                  ","['Penn State', 'Alabama', 'Boston College', 'Duke', 'Florida', 'Georgia', 'Illinois', 'Michigan', 'Michigan State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Oregon', 'Rutgers', 'Syracuse', 'Vanderbilt', 'Virginia']",DC
