name,url,position,score,hometown,offers,state
Jordan Addison,https://247sports.com/player/jordan-addison-46057163,ATH ,0.9045," Tuscarora (Frederick, MD)    ",,MD
Israel Abanikanda,https://247sports.com/player/israel-abanikanda-46041602,RB ,0.8847," Abraham Lincoln (Brooklyn, NY)                  ",,NY
Aydin Henningham,https://247sports.com/player/aydin-henningham-46037227,WR ,0.8662," Deerfield Beach (Deerfield Beach, FL)                  ",,FL
Solomon DeShields,https://247sports.com/player/solomon-deshields-46051020,OLB ,0.8538," Millville (Millville, NJ)                  ",,NJ
Buddy Mack,https://247sports.com/player/buddy-mack-46059354,S ,0.8497," Byrnes (Duncan, SC)                ",,SC
Dayon Hayes,https://247sports.com/player/dayon-hayes-46082054,SDE ,0.8967," Westinghouse (Pittsburgh, PA)                  ","['Pittsburgh', 'Ball State', 'Bowling Green', 'Howard', 'Illinois', 'Kent State', 'Massachusetts', 'Michigan State', 'Navy', 'Ohio State', 'Penn State', 'Syracuse', 'Texas A&M', 'Toledo', 'West Virginia', 'William & Mary', 'Youngstown State']",PA
Rashad Battle,https://247sports.com/player/rashad-battle-46056183,CB ,0.8795," Creekside (Fairburn, GA)    ","['Pittsburgh', 'Maryland', 'NC State', 'Akron', 'Arkansas', 'Baylor', 'Coastal Carolina', 'Duke', 'Georgia State', 'Georgia Tech', 'Iowa', 'Iowa State', 'Kansas', 'Louisville', 'Minnesota', 'Samford', 'South Alabama', 'South Carolina', 'Syracuse', 'Tulane', 'USF', 'Virginia Tech', 'West Virginia', 'Western Kentucky', 'Colorado State', 'Ole Miss']",GA
Jaylon Barden,https://247sports.com/player/jaylon-barden-46054280,WR ,0.8780," Westside (Macon, GA)                  ","['Pittsburgh', 'Army', 'Ball State', 'Coastal Carolina', 'Colorado State', 'Cornell', 'Eastern Kentucky', 'Georgia Southern', 'Georgia State', 'Indiana', 'Kentucky', 'Mercer', 'Murray State', 'Navy', 'Old Dominion', 'South Alabama', 'Tennessee', 'Tennessee State', 'Troy', 'Virginia Tech']",GA
Branson Taylor,https://247sports.com/player/branson-taylor-46079939,OT ,0.8768," Elyria Catholic (Elyria, OH)                  ","['Pittsburgh', 'Akron', 'Ball State', 'Cincinnati', 'Indiana', 'Iowa State', 'Kansas', 'Kent State', 'Kentucky', 'Louisville', 'Maryland', 'Michigan State', 'Minnesota', 'Missouri', 'Purdue', 'Rutgers', 'Syracuse', 'Tennessee', 'Toledo', 'West Virginia', 'Michigan']",OH
Jahvante Royal,https://247sports.com/player/jahvante-royal-46051550,S ,0.8757," St. Thomas Aquinas (Fort Lauderdale, FL)                  ","['Pittsburgh', 'Bowling Green', 'Cincinnati', 'Florida', 'Florida State', 'Georgia', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Minnesota', 'NC State', 'Ohio State', 'Penn State', 'Syracuse', 'Tennessee', 'Toledo', 'Virginia']",FL
Bangally Kamara,https://247sports.com/player/bangally-kamara-46056135,OLB ,0.8727," East (Akron, OH)                  ","['Pittsburgh', 'Cincinnati', 'Akron', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kent State', 'Kentucky', 'Liberty', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Ohio', 'Penn State', 'Purdue', 'Rutgers', 'Syracuse', 'Toledo', 'Western Michigan', 'Ohio State']",OH
Michael Statham,https://247sports.com/player/michael-statham-46057170,OT ,0.8635," St. Frances Academy (Baltimore, MD)                  ","['Pittsburgh', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Missouri', 'Syracuse', 'West Virginia', 'LSU']",MD
AJ Roberts,https://247sports.com/player/aj-roberts-46077063,OLB ,0.8485," Tottenville (Staten Island, NY)                  ","['Pittsburgh', 'Boston College', 'Buffalo', 'Dartmouth', 'Duke', 'LSU', 'Massachusetts', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Wisconsin']",NY
Emmanuel Belgrave,https://247sports.com/player/emmanuel-belgrave-46055221,WDE ,0.8450," Miami Southridge (Miami, FL)                  ","['Pittsburgh', 'Alabama A&M', 'FIU', 'Indiana', 'Kent State', 'Nebraska', 'Rutgers', 'Southern Miss', 'USF', 'Wake Forest', 'Miami']",FL
Samuel Williams,https://247sports.com/player/samuel-williams-46083310,WDE ,0.8444," Calvary Christian Academy (Fort Lauderdale, FL)                  ","['Pittsburgh', 'Syracuse', 'USF']",FL
Hunter Sellers,https://247sports.com/player/hunter-sellers-46050450,CB ,0.8376," Woodward Academy (Atlanta, GA)                  ","['Pittsburgh', 'Appalachian State', 'Boston College', 'Colorado State', 'Duke', 'East Carolina', 'FIU', 'Georgia Southern', 'Indiana', 'Louisville', 'Maryland', 'Michigan State', 'Minnesota', 'Nebraska', 'Purdue', 'UCF', 'Western Kentucky', 'Wisconsin', 'Auburn']",GA
Daniel Moraga,https://247sports.com/player/daniel-moraga-90001,TE ,0.8195," Ventura College (Ventura, CA)    ",['Pittsburgh'],CA
Ben Sauls,https://247sports.com/player/ben-sauls-46085565,K ,0.7959," Tippecanoe (Tipp City, OH)  ","['Pittsburgh', 'Boston College', 'Iowa State', 'Arkansas', 'Georgia Tech', 'Akron', 'Arizona', 'Georgia', 'Memphis']",OH
