name,url,position,score,hometown,offers,state
Maliq Carr,https://247sports.com/player/maliq-carr-46042966,TE ,0.9281," Oak Park (Oak Park, MI)    ","['Purdue', 'Georgia', 'Texas A&M', 'Alabama A&M', 'Auburn', 'Boston College', 'Indiana', 'Iowa', 'Iowa State', 'Kentucky', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Morgan State', 'Nebraska', 'Northern Illinois', 'Notre Dame', 'Ohio State', 'Old Dominion', 'Penn State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'Toledo', 'Western Michigan', 'Wisconsin']",MI
Michael Alaimo,https://247sports.com/player/michael-alaimo-46039728,PRO ,0.9071," St. Joseph Regional  (Montvale, NJ)    ","['Purdue', 'Michigan State', 'Boston College', 'California', 'Central Michigan', 'Cincinnati', 'Columbia', 'Kansas', 'Massachusetts', 'North Carolina', 'Oklahoma State', 'Pittsburgh', 'Rutgers', 'Temple', 'Tulane', 'West Virginia', 'Yale', 'Arkansas', 'Auburn', 'Duke', 'Florida', 'Georgia', 'Miami', 'NC State', 'Penn State', 'Princeton', 'UCF', 'Wyoming']",NJ
Tirek Murphy,https://247sports.com/player/tirek-murphy-46041773,RB ,0.9047," Christ The King Regional (Middle Village, NY)    ","['Purdue', 'Arizona State', 'Baylor', 'Boston College', 'Buffalo', 'Cincinnati', 'Duke', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Nebraska', 'Notre Dame', 'Old Dominion', 'Oregon', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas A&M', 'Alabama', 'Clemson', 'Connecticut', 'Fordham', 'Monmouth', 'Ohio State', 'Old Dominion', 'Penn State', 'Pittsburgh', 'Stony Brook', 'Virginia', 'Wagner']",NY
Abdur-Rahmaan Yaseen,https://247sports.com/player/abdur-rahmaan-yaseen-46045585,WR ,0.8958," Walled Lake Western (Walled Lake, MI)    ","['Purdue', 'Northwestern', 'Ball State', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Dartmouth', 'Eastern Michigan', 'Indiana', 'Iowa', 'Iowa State', 'Kent State', 'Kentucky', 'Liberty', 'Louisville', 'Maryland', 'Michigan State', 'Minnesota', 'Nebraska', 'Northern Illinois', 'Rutgers', 'Toledo', 'Virginia', 'Washington State', 'Western Illinois', 'Western Michigan']",MI
Gus Hartwig,https://247sports.com/player/gus-hartwig-46041714,OC ,0.8937," Zionsville (Zionsville, IN)    ","['Purdue', 'Ball State', 'Bowling Green', 'Cincinnati', 'Illinois', 'Indiana', 'Kansas', 'Miami (OH)', 'Northern Illinois', 'Ohio', 'Vanderbilt', 'Virginia', 'Western Michigan', 'Iowa', 'Northwestern']",IN
Collin Sullivan,https://247sports.com/player/collin-sullivan-46037998,WR ,0.8809," Round Rock (Round Rock, TX)    ","['Purdue', 'Arizona', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Colorado State', 'Houston', 'Kansas', 'Northwestern', 'Oregon', 'Rutgers', 'SMU', 'Vanderbilt', 'Oklahoma', 'Texas']",TX
Greg Hudgins,https://247sports.com/player/greg-hudgins-46051374,WDE ,0.8762," St. John's (Washington, DC)    ","['Purdue', 'Vanderbilt', 'Boston College', 'East Carolina', 'Indiana', 'LSU', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Ole Miss', 'Temple', 'Tennessee', 'Arkansas', 'Penn State', 'UCLA']",DC
Bryce Austin,https://247sports.com/player/bryce-austin-46055483,DT ,0.8689," Southfield (Southfield, MI)  ","['Purdue', 'Akron', 'Arizona', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Florida Atlantic', 'Indiana', 'Iowa State', 'Kansas', 'Kent State', 'Kentucky', 'Louisville', 'Maryland', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Northern Illinois', 'Penn State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Washington State', 'West Virginia', 'Western Michigan']",MI
Antonio Stevens,https://247sports.com/player/antonio-stevens-46058739,S ,0.8682," Battle Ground Academy (Franklin, TN)    ","['Purdue', 'Charlotte', 'Cincinnati', 'Louisville', 'Memphis', 'Minnesota', 'Missouri', 'South Carolina', 'Tulane', 'UTSA', 'Virginia', 'Wake Forest', 'Western Kentucky']",TN
Geovonte Howard,https://247sports.com/player/geovonte-howard-46083318,CB ,0.8628," Kilgore J.C. (Kilgore, TX)                  ","['Purdue', 'Maryland', 'Arkansas', 'Arkansas State', 'Charlotte', 'Grambling State', 'Iowa State', 'Kansas State', 'Louisiana', 'Marshall', 'McNeese State', 'New Mexico State', 'Ole Miss', 'Texas State', 'Western Kentucky', 'Michigan', 'SMU']",TX
Ben Kreul,https://247sports.com/player/ben-kreul-46055301,ILB ,0.8593," Catholic Memorial (Waukesha, WI)    ","['Purdue', 'Iowa State', 'Nebraska', 'Iowa', 'Michigan', 'Michigan State', 'Northern Illinois', 'Wisconsin']",WI
