player_id,name,team,url,position,score,hometown,state
0,Quantavious Leslie,Western Kentucky,https://247sports.com/player/quantavious-leslie-46055363,OG ,0.8729,Rome,GA
1,JaQues Evans,Western Kentucky,https://247sports.com/player/jaques-evans-46059186,ATH ,0.866,Dublin,GA
2,David Ndukwe,Western Kentucky,https://247sports.com/player/david-ndukwe-46085437,DT ,0.8490000000000001,Lithonia,GA
3,Kendrick Simpkins,Western Kentucky,https://247sports.com/player/kendrick-simpkins-46082397,S ,0.8444,Montgomery,AL
4,Dominique Bradshaw,Western Kentucky,https://247sports.com/player/dominique-bradshaw-46047674,CB ,0.84,Corsicana,TX
5,Craig Burt,Western Kentucky,https://247sports.com/player/craig-burt-46094189,WR ,0.8243,Hutchinson,KS
6,Nicholas Days,Western Kentucky,https://247sports.com/player/nicholas-days-46096696,OLB ,0.82,Independence,KS
7,Spencer Owens,Western Kentucky,https://247sports.com/player/spencer-owens-46097509,TE ,0.8156,Fullerton,CA
8,Talique Allen,Western Kentucky,https://247sports.com/player/talique-allen-46085849,S ,0.8118,Fort Valley,GA
9,Noah Whittington,Western Kentucky,https://247sports.com/player/noah-whittington-46079387,WR ,0.8113,Fort Valley,GA
10,Travis Collier,Western Kentucky,https://247sports.com/player/travis-collier-46085211,ATH ,0.8105,Douglasville,GA
11,Mitchell Tinsley,Western Kentucky,https://247sports.com/player/mitchell-tinsley-46094132,WR ,0.8056,Hutchinson,KS
12,Mark Goode,Western Kentucky,https://247sports.com/player/mark-goode-46085481,OT ,0.8052,Hodgenville,KY
13,Wesley Horton,Western Kentucky,https://247sports.com/player/wesley-horton-46081409,DT ,0.8051,Atlanta,GA
14,Dezmion Roberson,Western Kentucky,https://247sports.com/player/dezmion-roberson-46093571,ILB ,0.8003,Elba,AL
15,Darius Shipp,Western Kentucky,https://247sports.com/player/darius-shipp-46049229,DT ,0.7994,Booneville,MS
16,Grady Robison,Western Kentucky,https://247sports.com/player/grady-robison-46084726,DUAL ,0.7982,Sammamish,WA
17,Colt Jackson,Western Kentucky,https://247sports.com/player/colt-jackson-46085652,OT ,0.7956,Bowling Green,KY
18,Malachi Corley,Western Kentucky,https://247sports.com/player/malachi-corley-46079660,CB ,0.7902,Campbellsville,KY
