name,url,position,score,hometown,offers,state
Gabe Taylor,https://247sports.com/player/gabe-taylor-46079861,S ,0.8643," Gulliver Prep (Miami, FL)    ","['Rice', 'Akron', 'Bryant', 'Coastal Carolina', 'Jackson State', 'Rhode Island']",FL
Sean Fresch,https://247sports.com/player/sean-fresch-46079602,ATH ,0.8449," LBJ (Austin, TX)    ","['Rice', 'Army', 'Grambling State', 'Incarnate Word', 'Sam Houston State', 'UTEP', 'UTSA']",TX
Plae Wyatt,https://247sports.com/player/plae-wyatt-46036947,S ,0.8349," McKinney Boyd (McKinney, TX)    ","['Rice', 'Dartmouth', 'Harvard', 'New Mexico State', 'SMU', 'Utah State', 'UTSA', 'Yale', 'Memphis', 'Oklahoma State']",TX
Jalen Reeves,https://247sports.com/player/jalen-reeves-46048947,OLB ,0.8336," University School (Fort Lauderdale, FL)  ","['Rice', 'Alabama State', 'Army', 'Bethune-Cookman', 'Boston College', 'Bowling Green', 'Brown', 'Bryant', 'Columbia', 'Cornell', 'Dartmouth', 'Florida A&M', 'Georgetown', 'Harvard', 'Howard', 'Kent State', 'LSU', 'Morgan State', 'Navy', 'NC State', 'Pittsburgh', 'Princeton', 'Rhode Island', 'Robert Morris', 'Southern Miss', 'Syracuse', 'Yale']",FL
Braedon Nutter,https://247sports.com/player/braedon-nutter-46049785,DT ,0.8322," Memorial (Tomball, TX)    ","['Rice', 'Air Force', 'Army', 'Colorado', 'Columbia', 'Cornell', 'Dartmouth', 'Harvard', 'Houston', 'Illinois State', 'Louisiana-Monroe', 'Pennsylvania', 'Princeton', 'Tulsa', 'UAB', 'Yale']",TX
Khalan Griffin,https://247sports.com/player/khalan-griffin-46049890,ATH ,0.8307," Chapel Hill (Tyler, TX)    ","['Rice', 'Abilene Christian', 'Air Force', 'Alabama A&M', 'Alcorn State', 'Army', 'Cornell', 'Dartmouth', 'Fordham', 'Furman', 'Georgia Southern', 'Illinois State', 'Incarnate Word', 'Kansas State', 'Navy', 'Prairie View A&M', 'Texas Southern', 'Texas State', 'William & Mary', 'Baylor', 'Boise State', 'Florida Atlantic', 'Houston', 'Illinois', 'Massachusetts', 'North Texas', 'Oregon', 'SMU', 'Southern Miss', 'TCU', 'Texas', 'Texas Tech']",TX
Michael Leone,https://247sports.com/player/michael-leone-46084697,OT ,0.8295," Hun School  (Princeton, NJ)    ","['Rice', 'Yale', 'Albany', 'Bryant', 'Buffalo', 'Central Michigan', 'Colgate', 'Columbia', 'Fordham', 'Kansas', 'Lehigh', 'Maryland', 'Massachusetts', 'Monmouth', 'Old Dominion', 'Rhode Island', 'Toledo']",NJ
Trey Phillippi,https://247sports.com/player/trey-phillippi-46085485,OT ,0.8286," Montgomery (Montgomery, TX)    ",['Rice'],TX
Adam Sheriff,https://247sports.com/player/adam-sheriff-46052003,OT ,0.8250," Butler C.C. (El Dorado, KS)      ","['Rice', 'North Texas', 'Arkansas State', 'Massachusetts', 'Texas State', 'UTSA', 'Western Kentucky']",KS
Nate Kamper,https://247sports.com/player/nate-kamper-46082987,TE ,0.8236," Killeen (Killeen, TX)    ","['Rice', 'SMU', 'UTSA']",TX
Cole Latos,https://247sports.com/player/cole-latos-46055405,SDE ,0.8223," Allen (Allen, TX)    ","['Rice', 'Illinois State', 'Incarnate Word', 'Minnesota', 'Tulsa']",TX
Lamont Narcisse,https://247sports.com/player/lamont-narcisse-46083789,CB ,0.8193," Calabasas (Calabasas, CA)    ","['Rice', 'Washington State', 'Colorado State', 'Columbia', 'Florida Atlantic', 'Hawaii']",CA
Andrew Mason,https://247sports.com/player/andrew-mason-46056826,WR ,0.8192," Ravenwood (Brentwood, TN)    ","['Rice', 'Army', 'Austin Peay', 'Bryant', 'Bucknell', 'Eastern Kentucky', 'Fordham', 'Georgetown', 'Illinois State', 'Navy', 'North Alabama', 'Tennessee Tech', 'Valparaiso', 'William & Mary', 'Yale', 'Jacksonville State', 'Memphis']",TN
Geron Hargon,https://247sports.com/player/geron-hargon-46052975,ILB ,0.8192," Captain Shreve (Shreveport, LA)    ","['Rice', 'Army', 'Cornell', 'Dartmouth', 'Harvard', 'Holy Cross', 'Houston Baptist', 'Lamar', 'Louisiana-Monroe', 'Navy', 'Northwestern State', 'Pennsylvania', 'Southern Miss', 'Tulsa', 'UAB', 'Wofford', 'Yale', 'Baylor', 'LSU', 'Mississippi State', 'Ole Miss', 'Texas A&M']",LA
TJ McMahon,https://247sports.com/player/tj-mcmahon-46040426,PRO ,0.8087," Cerritos College (Norwalk, CA)                 ","['Rice', 'Nevada', 'South Alabama']",CA
Brian Hibbard,https://247sports.com/player/brian-hibbard-46083461,FB ,0.8041," Catholic (Baton Rouge, LA)    ",['Rice'],LA
Kobie Campbell,https://247sports.com/player/kobie-campbell-46081961,ATH ,0.7991," Hightower (Missouri City, TX)    ",['Rice'],TX
Jordan Dunbar,https://247sports.com/player/jordan-dunbar-46049492,CB ,0.7977," Iona Preparatory School (New Rochelle, NY)    ","['Rice', 'Air Force', 'Albany', 'Army', 'Bryant', 'Bucknell', 'Colgate', 'Columbia', 'Cornell', 'Florida Atlantic', 'Fordham', 'Furman', 'Georgetown', 'Holy Cross', 'Lehigh', 'Massachusetts', 'Monmouth', 'Pennsylvania', 'Tulane', 'William & Mary', 'Wofford', 'Coastal Carolina', 'Colgate', 'Harvard', 'Howard', 'Michigan State', 'Princeton', 'Stanford', 'Syracuse', 'Wake Forest']",NY
Jaren Banks,https://247sports.com/player/jaren-banks-46099257,OLB ,0.7912," New Mexico Military Institute (Roswell, NM)  ",['Rice'],NM
