name,url,position,score,hometown,offers,state
Tyreem Powell,https://247sports.com/player/tyreem-powell-46054982,ATH ,0.8627," Vineland South (Vineland, NJ)                    ",,NJ
Malachi Melton,https://247sports.com/player/malachi-melton-46047378,CB ,0.8572," Cedar Creek (Egg Harbor City, NJ)    ",,NJ
Evan Simon,https://247sports.com/player/evan-simon-46050571,PRO ,0.8539," Manheim Central (Manheim, PA)      ",,PA
Wesley Bailey,https://247sports.com/player/wesley-bailey-46053643,WDE ,0.8517," Clearwater Academy International (Clearwater, FL)                 ",,FL
Robert Longerbeam,https://247sports.com/player/robert-longerbeam-46083367,ATH ,0.8457," T. C. Williams (Alexandria, VA)    ",,VA
Cedrice Paillant,https://247sports.com/player/cedrice-paillant-46097220,OT ,0.8445," Monroe College (New Rochelle, NY)    ",,NY
Victor Konopka,https://247sports.com/player/victor-konopka-46086870,SDE ,0.8376," Blair Academy (Blairstown, NJ)    ",,NJ
Tunde Fatukasi,https://247sports.com/player/tunde-fatukasi-46083819,OG ,0.8349," Erasmus Hall (Brooklyn, NY)    ",,NY
Chris Long,https://247sports.com/player/chris-long-46055157,ATH ,0.8653," Willingboro (Willingboro, NJ)    ","['Rutgers', 'Temple', 'Baylor', 'Boston College', 'Duke', 'East Carolina', 'East Carolina', 'Kent State', 'Louisville', 'Maryland', 'Massachusetts', 'NC State', 'Nebraska', 'North Carolina', 'Pittsburgh', 'Wake Forest', 'West Virginia', 'Clemson', 'Monmouth', 'NC State', 'Penn State', 'Syracuse']",NJ
Bryan Felter,https://247sports.com/player/bryan-felter-46035808,OG ,0.8558," Bergen Catholic (Oradell, NJ)    ","['Rutgers', 'Army', 'Boston College', 'East Carolina', 'West Virginia', 'Clemson', 'Penn State']",NJ
Elijuwan Mack,https://247sports.com/player/elijuwan-mack-46058714,S ,0.8477," St Joseph Regional (Montvale, NJ)    ","['Rutgers', 'Boston College', 'Buffalo', 'East Carolina', 'Indiana', 'Louisville', 'Massachusetts', 'Minnesota', 'Syracuse', 'Temple', 'Virginia Tech', 'Pittsburgh']",NJ
Isaiah Wright,https://247sports.com/player/isaiah-wright-46057234,DT ,0.8443," St. Peters Prep (Jersey City, NJ)    ","['Rutgers', 'Elon', 'Fordham', 'Howard', 'Temple', 'Boston College', 'Syracuse', 'Syracuse', 'Temple']",NJ
Ahmirr Robinson,https://247sports.com/player/ahmirr-robinson-46079294,WR ,0.8438," Union (Union, NJ)    ","['Rutgers', 'Appalachian State', 'Boston College', 'Buffalo', 'Kent State', 'Liberty', 'Massachusetts', 'Northern Illinois', 'Sacred Heart', 'Toledo', 'Pittsburgh']",NJ
Shawn Collins,https://247sports.com/player/shawn-collins-46083950,TE ,0.8301," Montclair (Montclair, NJ)    ","['Rutgers', 'Bowling Green', 'Central Michigan', 'Columbia', 'Northern Illinois', 'Western Michigan', 'Boston College', 'Massachusetts', 'Pittsburgh', 'Temple', 'Virginia Tech']",NJ
Troy Rainey,https://247sports.com/player/troy-rainey-46094980,DT ,0.8240," Harding (Bridgeport, CT)  ","['Rutgers', 'Bowling Green', 'Central Connecticut State', 'Massachusetts', 'Merrimack', 'Monmouth', 'Rhode Island', 'Sacred Heart', 'Southwest Minnesota State', 'Boston College', 'Connecticut']",CT
Kyle Monangai,https://247sports.com/player/kyle-monangai-46058749,RB ,0.8234," Don Bosco Prep (Ramsey, NJ)  ","['Rutgers', 'Air Force', 'Albany', 'Army', 'Buffalo', 'California', 'Central Michigan', 'Colgate', 'Columbia', 'Cornell', 'Dartmouth', 'Elon', 'Fordham', 'Harvard', 'Howard', 'Lehigh', 'Massachusetts', 'Monmouth', 'Navy', 'Pennsylvania', 'Princeton', 'Rhode Island', 'Richmond', 'Villanova', 'William & Mary', 'Yale', 'Michigan State', 'Pittsburgh', 'Temple']",NJ
Jack del Rio,https://247sports.com/player/jack-del-rio-46080045,OLB ,0.8227," Clearwater Central Catholic (Clearwater, FL)    ","['Rutgers', 'Bowling Green', 'Campbell', 'Colorado State', 'Columbia', 'Cornell', 'Dartmouth', 'Pennsylvania', 'Princeton', 'South Dakota', 'Southern Miss', 'William & Mary', 'Kentucky', 'Mississippi State', 'Pittsburgh']",FL
Jessie Parson III,https://247sports.com/player/jessie-parson-iii-46099265,APB ,0.8336," New Rochelle (New Rochelle, NY)    ",['Rutgers'],NY
Tahjay Moore,https://247sports.com/player/tahjay-moore-46086973,WDE ,0.8309," New Brunswick (New Brunswick, NJ)    ","['Rutgers', 'Massachusetts', 'New Mexico Highlands', 'Baylor', 'Connecticut', 'Morgan State', 'Rutgers', 'Rutgers', 'Syracuse', 'Temple', 'Virginia', 'West Virginia']",NJ
Jamier Wright-Collins,https://247sports.com/player/jamier-wright-collins-46084736,OLB ,0.8255," John F. Kennedy (Paterson, NJ)    ","['Rutgers', 'Buffalo', 'Kent State', 'Massachusetts']",NJ
