name,url,position,score,hometown,offers,state
Joey Wright,https://247sports.com/player/joey-wright-46048394,OT ,0.8654," Bishop Manogue (Reno, NV)  ","['San Diego State', 'USC', 'Arizona', 'Arizona State', 'Eastern Michigan', 'Fresno State', 'Nevada', 'UNLV', 'Utah State', 'Washington State', 'UCLA']",NV
Kobah Fuamatu,https://247sports.com/player/kobah-fuamatu-46042300,OLB ,0.8444," Mater Dei (Santa Ana, CA)    ","['San Diego State', 'Arizona State', 'Fresno State', 'Hawaii', 'New Mexico', 'San Jose State', 'UNLV', 'Utah State', 'UTEP', 'Boise State', 'UCLA', 'USC', 'Washington']",CA
Aidan Finney,https://247sports.com/player/aidan-finney-46082745,OT ,0.8410," Pleasant Valley (Chico, CA)    ","['San Diego State', 'Arizona State', 'Fresno State', 'Nevada', 'Oregon State', 'UNLV', 'Utah State', 'Washington State']",CA
Vai Kaho,https://247sports.com/player/vai-kaho-46053766,ILB ,0.8390," Bishop Manogue (Reno, NV)  ","['San Diego State', 'Colorado', 'Nevada', 'Brigham Young', 'Sacramento State', 'Tennessee', 'Utah State', 'Arizona State', 'San Jose State', 'Stanford', 'Washington']",NV
Darrell Masaniai,https://247sports.com/player/darrell-masaniai-46055918,OLB ,0.8369," St. Louis (Honolulu, HI)    ","['San Diego State', 'Army', 'Air Force', 'Hawaii', 'Navy', 'Northern Arizona', 'UNLV']",HI
Jaylon Armstead,https://247sports.com/player/jaylon-armstead-46038067,RB ,0.8366," Junipero Serra (Gardena, CA)  ","['San Diego State', 'Arizona State', 'Nevada', 'Northern Arizona', 'UNLV']",CA
Dezjhon Malone,https://247sports.com/player/dezjhon-malone-46080639,CB ,0.8248," Edison (Fresno, CA)    ","['San Diego State', 'Fresno State', 'Brigham Young', 'Oregon State', 'UNLV']",CA
Cassius Savage,https://247sports.com/player/cassius-savage-46081559,CB ,0.8227," Western (Anaheim, CA)  ","['San Diego State', 'New Mexico', 'San Jose State']",CA
Jay Rudolph,https://247sports.com/player/jay-rudolph-46084856,TE ,0.8227," Horizon (Scottsdale, AZ)  ","['San Diego State', 'Abilene Christian', 'Air Force', 'Army', 'Colgate', 'Georgetown', 'Lehigh', 'Montana State', 'Northern Arizona', 'Northern Colorado']",AZ
Brody Hughes,https://247sports.com/player/brody-hughes-46082510,S ,0.8198," Temecula Valley (Temecula, CA)    ","['San Diego State', 'Air Force', 'Fresno State', 'Hawaii', 'Montana State', 'San Jose State', 'UNLV', 'Utah State', 'Wyoming', 'Yale']",CA
Hunter Kaupiko,https://247sports.com/player/hunter-kaupiko-46051131,ILB ,0.8193," Faith Lutheran (Las Vegas, NV)  ","['San Diego State', 'Fresno State', 'New Mexico', 'Northern Arizona', 'Portland State', 'UNLV']",NV
Isaiah McElvane,https://247sports.com/player/isaiah-mcelvane-46049026,ATH ,0.8153," Valley Christian (San Jose, CA)    ","['San Diego State', 'Brigham Young', 'New Mexico', 'Wyoming']",CA
John Harrison,https://247sports.com/player/john-harrison-46097564,OT ,0.7998," Carlsbad (Carlsbad, CA)  ",['San Diego State'],CA
Jelani Whitmore,https://247sports.com/player/jelani-whitmore-46097473,CB ,0.7992," Wilmer Amina Carter (Rialto, CA)    ",['San Diego State'],CA
Dallas Branch,https://247sports.com/player/dallas-branch-89521,CB ,0.7900," Long Beach City College (Long Beach, CA)  ",['San Diego State'],CA
Aaron Greene,https://247sports.com/player/aaron-greene-46099398,TE ,0.7897," Prescott (Prescott, AZ)  ",['San Diego State'],AZ
Sebastian Hernandez,https://247sports.com/player/sebastian-hernandez-46099400,OG ,0.7800," Cerritos College (Norwalk, CA)  ",['San Diego State'],CA
