name,url,position,score,hometown,offers,state
Jay Kakiva,https://247sports.com/player/jay-kakiva-90169,DT ,0.8600," Fresno City College (Fresno, CA)  ","['San Jose State', 'Colorado', 'UNLV']",CA
Mikale Greer,https://247sports.com/player/mikale-greer-46094341,CB ,0.8418," Lawndale (Lawndale, CA)    ","['San Jose State', 'Oregon State', 'Boise State', 'Hawaii', 'Sacramento State', 'UNLV']",CA
Jalen Apalit-Williams,https://247sports.com/player/jalen-apalit-williams-46081784,S ,0.8382," Las Lomas (Walnut Creek, CA)    ","['San Jose State', 'Colorado State', 'Dixie State', 'Idaho State', 'Northern Colorado', 'San Diego State', 'UTEP']",CA
Soane Toia,https://247sports.com/player/soane-toia-46077101,DT ,0.8247," Grace Brethren (Simi Valley, CA)  ","['San Jose State', 'Arizona', 'Hawaii']",CA
Shamar Garrett,https://247sports.com/player/shamar-garrett-46053721,APB ,0.8202," De La Salle (Concord, CA)  ","['San Jose State', 'Air Force', 'Howard', 'New Mexico', 'Sacramento State', 'William & Mary']",CA
Keydrell Lewis,https://247sports.com/player/keydrell-lewis-46094589,OT ,0.8200," Mallard Creek (Charlotte, NC)  ","['San Jose State', 'Alabama A&M', 'Campbell', 'Charleston Southern', 'Delaware State', 'East Tennessee State', 'Lehigh', 'Massachusetts', 'Merrimack', 'Sacred Heart', 'Cornell', 'Duke', 'Indiana', 'Louisville', 'North Carolina']",NC
Terence Loville,https://247sports.com/player/terence-loville-46080936,ATH ,0.8198," Junipero Serra (San Mateo, CA)    ","['San Jose State', 'Air Force', 'New Mexico', 'California', 'Nevada', 'Oregon']",CA
Elijah Wood,https://247sports.com/player/elijah-wood-46058475,OLB ,0.8153," St. Mary's (Stockton, CA)  ","['San Jose State', 'Howard', 'Utah State', 'William & Mary']",CA
Malik Welch,https://247sports.com/player/malik-welch-89958,CB ,0.8106," Long Beach City College (Long Beach, CA)  ","['San Jose State', 'New Mexico State']",CA
Lamar Barrett,https://247sports.com/player/lamar-barrett-46040229,OT ,0.8100," Independence C.C. (Independence, KS)    ","['San Jose State', 'Morgan State', 'New Mexico', 'Southeast Missouri State', 'Stephen F. Austin', 'USF']",KS
Jalen Bainer,https://247sports.com/player/jalen-bainer-46082063,ATH ,0.8044," San Marcos (San Marcos, CA)    ","['San Jose State', 'Air Force', 'Army', 'Dartmouth', 'Idaho', 'Montana State', 'Northern Arizona', 'South Dakota']",CA
Elijah Lawson,https://247sports.com/player/elijah-lawson-46082399,ILB ,0.8043," Stellar Prep (Hayward, CA)  ",['San Jose State'],CA
Zavion Reese,https://247sports.com/player/zavion-reese-46080311,CB ,0.8025," San Marcos (San Marcos, CA)    ","['San Jose State', 'Utah State']",CA
Grady Manley,https://247sports.com/player/grady-manley-46094364,SDE ,0.7932," Lincoln (Lincoln, CA)    ","['San Jose State', 'UC Davis']",CA
Noah Wright,https://247sports.com/player/noah-wright-46096720,DT ,0.7900," College of the Sequoias (Visalia, CA)    ",['San Jose State'],CA
Tre Smith,https://247sports.com/player/tre-smith-46085764,WDE ,0.7897," Red Mountain (Mesa, AZ)  ","['San Jose State', 'Abilene Christian', 'Boise State', 'Fresno State', 'Idaho', 'New Mexico', 'South Dakota State', 'UTEP', 'UCLA', 'Washington']",AZ
Chance Johnson,https://247sports.com/player/chance-johnson-46097541,S ,0.7897," Steele Canyon (Spring Valley, CA)    ","['San Jose State', 'Southwest Minnesota State', 'Northern Arizona']",CA
Sam Olson,https://247sports.com/player/sam-olson-46097491,TE ,0.7831," Redwood (Visalia, CA)    ",['San Jose State'],CA
Dion Leonard,https://247sports.com/player/dion-leonard-93161,OLB ,0.7783," Foothill College (Los Altos, CA)  ",['San Jose State'],CA
