name,url,position,score,hometown,offers,state
DeVere Levelston,https://247sports.com/player/devere-levelston-46055310,SDE ,0.8644," Tyler J.C.  (Tyler, TX)                    ",,TX
Karl Taylor,https://247sports.com/player/karl-taylor-46080525,S ,0.8443," Lee (Midland, TX)                    ",,TX
Demetri Jordan,https://247sports.com/player/demetri-jordan-46082375,OG ,0.8400," Tyler J.C.  (Tyler, TX)                    ",,TX
Mason Mastrov,https://247sports.com/player/mason-mastrov-46053811,OLB ,0.8281," Campolindo (Moraga, CA)                    ",,CA
Danny Gray,https://247sports.com/player/danny-gray-46039844,WR ,0.8893," Blinn College (Brenham, TX)    ","['SMU', 'TCU', 'Auburn', 'Baylor', 'Florida State', 'Houston', 'Illinois', 'Louisiana', 'Mississippi State', 'Missouri', 'North Texas', 'Ole Miss', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas Tech', 'UCF', 'Utah', 'Washington State', 'Western Kentucky']",TX
Thad Johnson,https://247sports.com/player/thad-johnson-46055550,WR ,0.8776," West Brook (Beaumont, TX)    ","['SMU', 'Arizona', 'Colorado', 'Houston', 'Illinois', 'Indiana', 'Kansas', 'Kansas State', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Nebraska', 'North Texas', 'Oregon', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas Tech', 'Tulsa', 'Utah']",TX
Erin Smith,https://247sports.com/player/erin-smith-46081099,OT ,0.8519," North Little Rock (North Little Rock, AR)                  ","['SMU', 'Virginia Tech', 'Arkansas State', 'Colorado State', 'Kansas', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'North Texas', 'Tulane', 'Vanderbilt', 'Arkansas']",AR
Ben Sparks,https://247sports.com/player/ben-sparks-46081755,OG ,0.8402," Norman (Norman, OK)                  ","['SMU', 'Arkansas State', 'Army', 'Dartmouth', 'Eastern Michigan', 'Memphis', 'Navy', 'New Mexico State', 'North Texas', 'Northern Iowa', 'Princeton', 'Rice', 'Texas State', 'Troy', 'Tulsa', 'Wyoming', 'Yale', 'Air Force', 'Ohio']",OK
Junior Aho,https://247sports.com/player/junior-aho-46084569,SDE ,0.8358," New Mexico Military Institute (Roswell, NM)    ","['SMU', 'Nebraska', 'Kent State', 'Liberty', 'Louisiana Tech', 'McNeese State', 'Minnesota', 'UTEP', 'Western Kentucky', 'Fresno State', 'Texas']",NM
Dalton Perdue,https://247sports.com/player/dalton-perdue-46081097,OT ,0.8356," El Dorado (El Dorado, AR)                  ","['SMU', 'Arkansas State', 'Central Arkansas', 'Louisiana-Monroe', 'Memphis', 'Murray State', 'Tulane', 'Arkansas', 'Louisiana Tech']",AR
Bryan Massey,https://247sports.com/player/bryan-massey-46084029,CB ,0.8305," Katy (Katy, TX)    ","['SMU', 'UTSA', 'Abilene Christian', 'Air Force', 'Angelo State', 'Charlotte', 'Colorado State', 'Louisiana-Monroe', 'McNeese State', 'New Mexico', 'Sam Houston State', 'Stephen F. Austin', 'Wyoming']",TX
Marcus Bryant,https://247sports.com/player/marcus-bryant-46079566,OT ,0.8282," Cedar Ridge (Round Rock, TX)                  ","['SMU', 'Incarnate Word', 'Arizona State']",TX
Marcus Smith,https://247sports.com/player/marcus-smith-46080547,OG ,0.8282," Stafford (Stafford, TX)                  ","['SMU', 'Alcorn State', 'Houston', 'Houston Baptist', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'North Texas', 'Texas Southern', 'Tulsa', 'Utah State', 'Yale']",TX
Branson Hickman,https://247sports.com/player/branson-hickman-46081848,OC ,0.8173," Jesuit (Dallas, TX)                  ","['SMU', 'Air Force', 'Army', 'Liberty', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Navy', 'Texas State', 'Tulsa', 'Arizona', 'Boston College', 'Rice']",TX
Jay Bell,https://247sports.com/player/jay-bell-46055549,OLB ,0.8336," West Brook (Beaumont, TX)    ","['SMU', 'Houston Baptist', 'Louisiana-Monroe', 'New Mexico State', 'North Texas', 'Southern Miss', 'Stephen F. Austin', 'UTSA']",TX
