name,url,position,score,hometown,offers,state
Hayden Burton,https://247sports.com/player/hayden-burton-46038961,OT ,0.8290," Mississippi Gulf Coast C.C. (Perkinston, MS)    ",,MS
Jamie Sheriff,https://247sports.com/player/jamie-sheriff-46086470,SDE ,0.8263," Mississippi Gulf Coast C.C. (Perkinston, MS)    ",,MS
D'ezekius Chapman,https://247sports.com/player/dezekius-chapman-46084235,DT ,0.8156," Pearl River C.C. (Poplarville, MS)    ",,MS
CJ Thompson,https://247sports.com/player/cj-thompson-92838,S ,0.8125," Northeastern Oklahoma A&M (Miami, OK)    ",,OK
Darrell Luter,https://247sports.com/player/darrell-luter-46085644,CB ,0.8075," Pearl River C.C. (Poplarville, MS)  ",,MS
Dewayne Betts,https://247sports.com/player/dewayne-betts-90360,ATH ,0.8075," Coahoma C.C. (Clarksdale, MS)      ",,MS
Andrew McMillan,https://247sports.com/player/andrew-mcmillan-46085517,OT ,0.8072," Long Beach  (Long Beach, MS)    ",,MS
Chance Lovertich,https://247sports.com/player/chance-lovertich-46096510,PRO ,0.8025," Mississippi Gulf Coast C.C. (Perkinston, MS)    ",,MS
Quentin Wilfawn,https://247sports.com/player/quentin-wilfawn-89818,ILB ,0.8000," Northwest Mississippi C.C. (Senatobia, MS)    ",,MS
Keyshawn Woodyard,https://247sports.com/player/keyshawn-woodyard-46050531,WR ,0.8322," UMS-Wright Preparatory School (Mobile, AL)    ","['South Alabama', 'Army', 'Central Michigan', 'Memphis', 'Ole Miss', 'Southern Miss', 'Tennessee', 'Troy', 'Tulane', 'UAB', 'Alabama', 'LSU']",AL
Nae'Saan Dickerson,https://247sports.com/player/naesaan-dickerson-46058450,WR ,0.8227," Hapeville Charter (Atlanta, GA)    ","['South Alabama', 'Boston College', 'Bowling Green', 'Illinois', 'Kent State', 'Samford', 'Toledo', 'Troy', 'Tulane', 'UNLV', 'Kentucky']",GA
Caullin Lacy,https://247sports.com/player/caullin-lacy-46085233,ATH ,0.8220," Faith Academy (Mobile, AL)    ","['South Alabama', 'Jacksonville State', 'Mississippi Valley State']",AL
Carlos Johnson,https://247sports.com/player/carlos-johnson-46080982,DT ,0.8213," Spanish Fort (Spanish Fort, AL)    ","['South Alabama', 'Alabama State', 'Jacksonville', 'Troy', 'Tuskegee']",AL
Elijah Gainey,https://247sports.com/player/elijah-gainey-46080657,PRO ,0.8213," Flowery Branch (Flowery Branch, GA)    ","['South Alabama', 'Troy', 'Georgia Tech', 'South Carolina']",GA
Christian Wortham,https://247sports.com/player/christian-wortham-46057852,WR ,0.8173," Grenada (Grenada, MS)    ","['South Alabama', 'Indiana', 'Kentucky', 'Mississippi State', 'Wake Forest']",MS
Jacob Hopper,https://247sports.com/player/jacob-hopper-46085746,TE ,0.8142," Sardis (Boaz, AL)    ","['South Alabama', 'Arkansas', 'Arkansas State', 'Charlotte', 'Florida Atlantic', 'Ohio', 'Purdue', 'Southern Miss', 'Tennessee', 'UAB']",AL
Latarius Carr,https://247sports.com/player/latarius-carr-46082703,ILB ,0.8123," Olive Branch (Olive Branch, MS)  ","['South Alabama', 'Austin Peay', 'UT Martin']",MS
Zach Jones,https://247sports.com/player/zach-jones-46085243,ILB ,0.8041," East Central (Kiln, MS)    ",['South Alabama'],MS
Trent Tyre,https://247sports.com/player/trent-tyre-46098977,TE ,0.8000," Copiah-Lincoln C.C. (Wesson, MS)    ","['South Alabama', 'UAB']",MS
Nate Howard,https://247sports.com/player/nate-howard-46085633,OT ,0.7998," Mary Persons (Forsyth, GA)    ","['South Alabama', 'Marshall', 'Valdosta State']",GA
Yamarus Banks,https://247sports.com/player/yamarus-banks-46086042,WR ,0.7991," Ridgeland (Ridgeland, MS)    ","['South Alabama', 'Alabama State', 'Central Arkansas', 'Jacksonville State']",MS
Christian Sapp,https://247sports.com/player/christian-sapp-46085516,OG ,0.7940," Hancock (Kiln, MS)    ",['South Alabama'],MS
Zyon Walker,https://247sports.com/player/zyon-walker-46085046,DT ,0.7901," Whitehaven (Memphis, TN)    ","['South Alabama', 'Alcorn State', 'Jacksonville State', 'North Alabama', 'Southern Illinois', 'Tennessee Tech', 'UT Martin', 'Western Illinois', 'Western Illinois']",TN
Codey Martin,https://247sports.com/player/codey-martin-46052082,CB ,0.8301," Hoover (Hoover, AL)    ","['South Alabama', 'Jacksonville State', 'Kent State', 'Southern Miss', 'Temple', 'Toledo', 'Troy', 'Tulane', 'UAB']",AL
Dallas Daffin,https://247sports.com/player/dallas-daffin-46058601,ATH ,0.7998," McGill Toolen (Mobile, AL)    ","['South Alabama', 'Dartmouth', 'Ole Miss', 'Appalachian State']",AL
