name,url,position,score,hometown,offers,state
MarShawn Lloyd,https://247sports.com/player/marshawn-lloyd-46035423,RB ,0.9781," DeMatha Catholic (Hyattsville, MD)                    ",,MD
Luke Doty,https://247sports.com/player/luke-doty-94682,DUAL ,0.9634," Myrtle Beach  (Myrtle Beach, SC)                    ",,SC
Mohamed Kaba,https://247sports.com/player/mohamed-kaba-46036513,ILB ,0.9127," Clinton (Clinton, NC)                    ",,NC
Mike Wyman,https://247sports.com/player/mike-wyman-46037192,WR ,0.8945," Dudley (Greensboro, NC)                    ",,NC
Tyshawn Wannamaker,https://247sports.com/player/tyshawn-wannamaker-46043113,OG ,0.8825," Calhoun County (Saint Matthews, SC)                    ",,SC
Trai Jones,https://247sports.com/player/trai-jones-46079844,OC ,0.8696," Abbeville (Abbeville, SC)                    ",,SC
Jazston Turnetine,https://247sports.com/player/jazston-turnetine-46081060,OT ,0.8668," Hutchinson C.C. (Hutchinson, KS)                    ",,KS
Vershon Lee,https://247sports.com/player/vershon-lee-46076751,OG ,0.8647," Freedom (Woodbridge, VA)                  ",,VA
Dominick Hill,https://247sports.com/player/dominick-hill-46038448,CB ,0.8646," Jones (Orlando, FL)                    ",,FL
O'Donnell Fortune,https://247sports.com/player/odonnell-fortune-46079872,S ,0.8639," Sumter (Sumter, SC)                    ",,SC
Jordan Burch,https://247sports.com/player/jordan-burch-46036514,DT ,0.9954," Hammond School (Columbia, SC)    ","['South Carolina', 'Alabama', 'Georgia', 'LSU', 'Clemson', 'Duke', 'Florida', 'Michigan', 'North Carolina', 'Oklahoma', 'Oregon', 'Tennessee', 'Wake Forest']",SC
Alex Huntley,https://247sports.com/player/alex-huntley-46041916,DT ,0.9185," Hammond School (Columbia, SC)    ","['South Carolina', 'Virginia', 'Arkansas', 'Georgia', 'Georgia State', 'LSU', 'Michigan', 'North Carolina', 'Oklahoma', 'Stanford', 'Tennessee', 'Texas', 'Ohio State']",SC
Eric Shaw,https://247sports.com/player/eric-shaw-46051886,ATH ,0.9077," Reeltown (Notasulga, AL)    ","['South Carolina', 'Auburn', 'Central Michigan', 'Florida', 'Georgia Tech', 'Jacksonville State', 'Kansas', 'Kentucky', 'Louisville', 'LSU', 'Mississippi State', 'Nebraska', 'Notre Dame', 'Ole Miss', 'Purdue', 'Samford', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Troy', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia']",AL
Tonka Hemingway,https://247sports.com/player/tonka-hemingway-46041131,DT ,0.8988," Conway (Conway, SC)                  ","['South Carolina', 'North Carolina', 'Alabama', 'Clemson', 'Duke', 'Georgia State', 'Liberty', 'Louisville', 'Maryland', 'Rutgers', 'Vanderbilt', 'Wake Forest', 'West Virginia', 'Georgia', 'Georgia Tech', 'Michigan']",SC
Rico Powers Jr.,https://247sports.com/player/rico-powers-jr-46052241,WR ,0.8986," Hapeville Charter (Atlanta, GA)                  ","['South Carolina', 'Arkansas', 'Auburn', 'Cincinnati', 'Colorado State', 'Georgia', 'Georgia State', 'Kentucky', 'Maryland', 'Michigan State', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Tennessee', 'UCF', 'USF', 'Western Kentucky']",GA
Jaheim Bell,https://247sports.com/player/jaheim-bell-46052671,ATH ,0.8884," Valdosta (Valdosta, GA)    ","['South Carolina', 'Oklahoma', 'Florida', 'Akron', 'Alabama', 'Arizona State', 'Auburn', 'Boston College', 'Chattanooga', 'Cincinnati', 'Coastal Carolina', 'Colorado', 'Colorado State', 'Florida Atlantic', 'Florida State', 'Georgia Tech', 'Jacksonville State', 'Kansas', 'Kentucky', 'LSU', 'Marshall', 'Maryland', 'Miami', 'Michigan', 'Minnesota', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Tennessee', 'UCF', 'USF', 'Virginia', 'Virginia Tech', 'West Virginia', 'Western Kentucky', 'Oregon']",GA
ZaQuandre White,https://247sports.com/player/zaquandre-white-35938,RB ,0.8884," Iowa Western C.C. (Council Bluffs, IA)    ","['South Carolina', 'Arkansas', 'Tennessee', 'USF']",IA
Ger-Cari Caldwell,https://247sports.com/player/ger-cari-caldwell-46084942,WR ,0.8727," Northwestern (Rock Hill, SC)    ","['South Carolina', 'Baylor', 'East Carolina', 'Tennessee', 'Wake Forest', 'Appalachian State', 'Duke', 'Eastern Kentucky', 'Illinois', 'Liberty', 'NC State', 'Northwestern', 'Virginia', 'Virginia Tech', 'North Carolina']",SC
Joey Hunter,https://247sports.com/player/joey-hunter-46081027,CB ,0.8675," Sandy Creek (Tyrone, GA)                  ","['South Carolina', 'Boston College', 'Colorado', 'Houston', 'Indiana', 'Kansas', 'Louisville', 'Maryland', 'Mississippi State', 'Pittsburgh', 'Syracuse', 'Texas A&M', 'UCF', 'Vanderbilt', 'West Virginia', 'Georgia Tech']",GA
Makius Scott,https://247sports.com/player/makius-scott-46059571,DT ,0.8639," Gainesville (Gainesville, GA)                  ","['South Carolina', 'Oregon', 'Boston College', 'Cincinnati', 'East Carolina', 'Georgia State', 'Georgia Tech', 'Louisville', 'Memphis', 'Syracuse', 'Wake Forest', 'Clemson', 'Georgia']",GA
Rashad Amos,https://247sports.com/player/rashad-amos-46082331,RB ,0.8509," Sandy Creek (Tyrone, GA)                  ","['South Carolina', 'Western Kentucky', 'Ball State', 'Boise State', 'Coastal Carolina', 'East Carolina', 'Maryland', 'NC State', 'South Alabama', 'Tennessee', 'Tennessee State', 'Troy', 'Western Michigan']",GA
Gilber Edmond,https://247sports.com/player/gilber-edmond-46097745,WDE ,0.8410," Fort Pierce Westwood (Fort Pierce, FL)  ","['South Carolina', 'Central Michigan', 'USF', 'Florida Atlantic', 'Florida Tech', 'Jacksonville State', 'Savannah State', 'Southeastern Louisiana', 'Western Kentucky', 'Florida State', 'Tennessee']",FL
Kai Kroeger,https://247sports.com/player/kai-kroeger-46080706,P ,0.8189," Lake Forest (Lake Forest, IL)    ","['South Carolina', 'Cincinnati', 'Illinois', 'Indiana', 'LSU', 'Minnesota', 'Penn State', 'Washington State']",IL
Mitch Jeter,https://247sports.com/player/mitch-jeter-46086369,K ,0.7986," Cannon School (Concord, NC)  ","['South Carolina', 'Alabama A&M', 'East Carolina', 'Furman', 'Memphis', 'Virginia Tech', 'Western Carolina', 'NC State', 'North Carolina']",NC
