name,url,position,score,hometown,offers,state
Myles Hinton,https://247sports.com/player/myles-hinton-46035273,OT ,0.9666," Greater Atlanta Christian School (Norcross, GA)    ","['Stanford', 'Alabama', 'Florida', 'Georgia', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Tennessee', 'USC', 'Virginia Tech']",GA
EJ Smith,https://247sports.com/player/ej-smith-46036959,APB ,0.9516," Jesuit (Dallas, TX)                  ","['Stanford', 'Florida', 'Georgia', 'Texas A&M', 'Alabama', 'Arizona State', 'Arkansas', 'Boston College', 'Duke', 'Jackson State', 'Kentucky', 'LSU', 'Michigan', 'Nebraska', 'Ohio State', 'Ole Miss', 'SMU', 'TCU', 'Texas', 'USC', 'Utah', 'Washington State', 'Rutgers']",TX
John Humphreys,https://247sports.com/player/john-humphreys-46049082,WR ,0.9461," Corona Del Mar (Newport Beach, CA)    ","['Stanford', 'Arizona State', 'California', 'Colorado', 'Duke', 'Florida State', 'Miami', 'Nebraska', 'Notre Dame', 'Oregon', 'Oregon State', 'Rutgers', 'San Diego State', 'Tennessee', 'UCLA', 'USC', 'Utah', 'Washington', 'Washington State', 'Yale']",CA
Ayden Hector,https://247sports.com/player/ayden-hector-46042835,CB ,0.9224," Eastside Catholic (Sammamish, WA)    ","['Stanford', 'Alabama', 'Arizona', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Florida', 'Florida State', 'Nebraska', 'New Mexico', 'Northwestern', 'Oregon', 'Oregon State', 'Penn State', 'UCLA', 'USC', 'Utah', 'Vanderbilt', 'Washington', 'Washington State', 'Wisconsin']",WA
Levi Rogers,https://247sports.com/player/levi-rogers-46057296,OG ,0.9021," Woodinville (Woodinville, WA)    ","['Stanford', 'Arizona', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Oregon', 'Oregon State', 'UCLA', 'USC', 'Utah', 'Utah State', 'Washington State']",WA
Connor McLaughlin,https://247sports.com/player/connor-mclaughlin-46079048,OT ,0.8969," Jesuit (Tampa, FL)    ","['Stanford', 'Georgia Tech', 'Iowa', 'Army', 'Boston College', 'Dartmouth', 'Duke', 'Florida State', 'Harvard', 'Illinois', 'Indiana', 'Louisville', 'Maryland', 'Miami', 'Michigan State', 'Nebraska', 'North Carolina', 'Northwestern', 'Princeton', 'Syracuse', 'Toledo', 'UCLA', 'USC', 'USF', 'Vanderbilt', 'Virginia', 'Wake Forest', 'Washington State', 'Yale', 'UCF']",FL
James Pogorelc,https://247sports.com/player/james-pogorelc-46083640,OT ,0.8888," Chantilly (Chantilly, VA)    ","['Stanford', 'Michigan', 'Virginia', 'Arizona State', 'Bryant', 'Connecticut', 'Dartmouth', 'Duke', 'East Carolina', 'Fordham', 'Harvard', 'Illinois', 'Indiana', 'Kent State', 'Lehigh', 'Massachusetts', 'NC State', 'North Carolina', 'Old Dominion', 'Pennsylvania', 'Pittsburgh', 'Princeton', 'Purdue', 'Richmond', 'Rutgers', 'Sacred Heart', 'Syracuse', 'Tennessee', 'UCLA', 'Villanova', 'Wake Forest', 'William & Mary', 'Yale', 'Boston College', 'Cincinnati']",VA
Drake Metcalf,https://247sports.com/player/drake-metcalf-46039817,OC ,0.8883," St. John Bosco (Bellflower, CA)    ","['Stanford', 'Arizona State', 'Dartmouth', 'Florida State', 'Hawaii', 'Indiana', 'Iowa State', 'Kansas', 'Louisville', 'North Carolina', 'Oregon', 'Penn State', 'Pittsburgh', 'TCU', 'UNLV', 'USC', 'Utah State', 'Virginia', 'Yale', 'Alabama', 'Arkansas', 'Florida', 'Georgia', 'LSU', 'Michigan', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Texas A&M', 'Virginia Tech', 'Washington']",CA
Lukas Ungar,https://247sports.com/player/lukas-ungar-46052338,TE ,0.8871," Delbarton School (Morristown, NJ)    ","['Stanford', 'California', 'Clemson', 'Duke', 'Georgia', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'North Carolina', 'Northwestern', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Vanderbilt', 'Virginia', 'West Virginia', 'Wisconsin', 'Yale', 'Boston College', 'Notre Dame', 'Pennsylvania']",NJ
Tobin Phillips,https://247sports.com/player/tobin-phillips-46055067,DT ,0.8863," San Joaquin Memorial (Fresno, CA)    ","['Stanford', 'California', 'Fresno State', 'Oregon State', 'San Jose State', 'UCLA', 'Boise State', 'Oregon', 'Washington', 'Washington State']",CA
Brandon Jones,https://247sports.com/player/brandon-jones-46036794,CB ,0.8837," Narbonne (Harbor City, CA)    ","['Stanford', 'Arizona', 'Arizona State', 'Boston College', 'Brigham Young', 'California', 'Colorado', 'Kansas State', 'Louisville', 'Michigan', 'Nebraska', 'Oregon', 'Oregon State', 'Utah', 'Vanderbilt', 'USC']",CA
Ben Yurosek,https://247sports.com/player/ben-yurosek-46054100,TE ,0.8822," Bakersfield Christian (Bakersfield, CA)    ","['Stanford', 'Washington', 'Arizona State', 'California', 'Colorado', 'Fresno State', 'Nebraska', 'Nevada', 'Notre Dame', 'Oregon State', 'UCLA']",CA
Bryce Farrell,https://247sports.com/player/bryce-farrell-46039103,WR ,0.8822," Oaks Christian (Westlake Village, CA)    ","['Stanford', 'Arizona State', 'Brigham Young', 'California', 'Florida', 'Michigan', 'Nebraska', 'Nevada', 'Notre Dame', 'San Jose State', 'TCU', 'USC', 'USC', 'Utah', 'Washington State', 'North Carolina', 'Penn State', 'Texas Tech', 'UCLA']",CA
Casey Filkins,https://247sports.com/player/casey-filkins-46053087,APB ,0.8767," Lake Oswego (Lake Oswego, OR)    ","['Stanford', 'California', 'Brown', 'Columbia', 'Dartmouth', 'Harvard', 'Montana State', 'Nevada', 'Oregon', 'Oregon State', 'Princeton', 'UC Davis', 'USC', 'Utah State', 'Yale', 'Washington State']",OR
Omari Porter,https://247sports.com/player/omari-porter-46054169,CB ,0.8763," Auburn (Auburn, AL)    ","['Stanford', 'Iowa', 'California', 'Colorado', 'Cornell', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Kansas', 'Kentucky', 'Memphis', 'Michigan', 'Nebraska', 'Oregon', 'Purdue', 'UAB', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Duke', 'North Carolina', 'Northwestern', 'Wisconsin']",AL
Alaka'i Gilman,https://247sports.com/player/alakai-gilman-46046603,S ,0.8661," Punahou (Honolulu, HI)    ","['Stanford', 'Washington State', 'Arizona State', 'California', 'Colorado State', 'Hawaii', 'Nebraska', 'Oregon', 'Oregon State', 'Princeton', 'USC', 'Utah State', 'Colorado', 'Notre Dame', 'Ohio State', 'Washington']",HI
Lance Keneley,https://247sports.com/player/lance-keneley-46056918,SDE ,0.8618," Mission Viejo (Mission Viejo, CA)    ","['Stanford', 'Arizona State', 'Army', 'Boise State', 'Colorado', 'Colorado State', 'Duke', 'FIU', 'Fresno State', 'Hawaii', 'Kansas State', 'Nevada', 'Northwestern', 'Oregon State', 'Pennsylvania', 'Princeton', 'Rice', 'San Diego State', 'Tulane', 'UCLA', 'Utah', 'Utah State', 'Vanderbilt', 'Washington', 'Yale']",CA
Silas Starr,https://247sports.com/player/silas-starr-46039729,WR ,0.8538," Central Catholic (Portland, OR)    ","['Stanford', 'Arizona', 'Arizona State', 'California', 'Oregon', 'Oregon State']",OR
Joshua Karty,https://247sports.com/player/joshua-karty-46057879,K ,0.8426," Western Alamance (Elon, NC)    ","['Stanford', 'Appalachian State', 'Georgia', 'North Carolina', 'Oregon State']",NC
Logan Berzins,https://247sports.com/player/logan-berzins-46084261,DT ,0.8386," Cathedral Catholic (San Diego, CA)    ","['Stanford', 'Air Force', 'Army', 'Columbia', 'Cornell', 'Fordham', 'Kansas', 'Lehigh', 'Navy']",CA
Scotty Edwards,https://247sports.com/player/scotty-edwards-46081339,ATH ,0.8227," Olympus (Salt Lake City, UT)    ","['Stanford', 'Army', 'Brigham Young', 'Utah State', 'Navy']",UT
Kiersten Lee,https://247sports.com/player/kiersten-lee-46083276,ILB ,0.8053," Marietta (Marietta, GA)  ","['Stanford', 'Dartmouth', 'Harvard', 'Yale', 'Duke', 'Georgia Tech', 'Kentucky', 'Louisville', 'Michigan', 'Navy', 'Northwestern', 'Princeton', 'Vanderbilt']",GA
Zephron Lester,https://247sports.com/player/zephron-lester-46041774,DT ,0.7953," Christ The King Regional (Middle Village, NY)  ","['Stanford', 'Army', 'Brown', 'Bryant', 'Columbia', 'Delaware State', 'Harvard', 'Massachusetts', 'Monmouth', 'Morgan State', 'Pennsylvania', 'Princeton', 'Sacred Heart', 'Temple', 'Yale', 'Boston College', 'Colgate', 'Columbia', 'Cornell', 'Davidson', 'Fordham', 'Harvard', 'Marist', 'Maryland', 'Northwestern', 'Penn State', 'Rutgers', 'Syracuse', 'Villanova', 'Virginia', 'Yale']",NY
Max Kalny,https://247sports.com/player/max-kalny-46081520,OG ,0.7897," St. James Academy (Lenexa, KS)    ","['Stanford', 'Air Force', 'Augustana', 'Benedictine', 'Cornell', 'Illinois State', 'Indiana State', 'Lafayette', 'Southwest Minnesota State', 'Columbia', 'Harvard', 'Kansas', 'Kansas State', 'North Dakota State', 'South Dakota State']",KS
Bailey Parsons,https://247sports.com/player/bailey-parsons-46056628,LS ,0.7797," Gardendale Sch (Gardendale, AL)  ","['Stanford', 'Air Force', 'Columbia', 'Georgia Southern', 'Iowa', 'Jacksonville State', 'Kansas', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Louisville', 'LSU', 'Memphis', 'Nicholls State', 'UAB']",AL
