name,url,position,score,hometown,offers,state
Latarie Kinsler,https://247sports.com/player/latarie-kinsler-46047566,WDE ,0.8675," Pahokee (Pahokee, FL)                    ",,FL
Stefon Thompson,https://247sports.com/player/stefon-thompson-46057247,ILB ,0.8497," Zebulon B. Vance (Charlotte, NC)                    ",,NC
Ja'Vontae Williams,https://247sports.com/player/javontae-williams-46056520,WR ,0.8484," Glades Central (Belle Glade, FL)                 ",,FL
Robert Hanna,https://247sports.com/player/robert-hanna-46056289,S ,0.8646," Miami Palmetto (Miami, FL)                  ","['Syracuse', 'Boston College', 'Bowling Green', 'Florida Atlantic', 'Liberty', 'Louisville', 'Maryland', 'Miami', 'North Carolina', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'UAB', 'UCF', 'USF', 'Washington State', 'Western Kentucky']",FL
Damien Alford,https://247sports.com/player/damien-alford-46082245,WR ,0.8633," McArthur (Hollywood, FL)                  ","['Syracuse', 'Virginia', 'Cincinnati', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Miami', 'NC State', 'Oklahoma', 'Penn State', 'Rutgers', 'Tennessee', 'Washington State', 'West Virginia']",FL
Steven Mahar,https://247sports.com/player/steven-mahar-46081418,TE ,0.8606," Aquinas Institute (Rochester, NY)                  ","['Syracuse', 'Boston College', 'Buffalo', 'Connecticut', 'Fordham', 'Indiana', 'Iowa State', 'Massachusetts', 'Rutgers', 'Stony Brook', 'Temple']",NY
Sean Tucker,https://247sports.com/player/sean-tucker-46058822,RB ,0.8593," Calvert Hall College (Towson, MD)                  ","['Syracuse', 'Air Force', 'Kent State', 'Rutgers', 'Wisconsin']",MD
Garth Barclay,https://247sports.com/player/garth-barclay-46082560,OT ,0.8552," York Suburban (York, PA)                  ","['Syracuse', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Connecticut', 'Fordham', 'Lafayette', 'Massachusetts', 'Old Dominion', 'Richmond', 'Temple', 'Toledo', 'Virginia', 'William & Mary']",PA
Ben LaBrosse,https://247sports.com/player/ben-labrosse-46083512,S ,0.8552," Vanier College (Montreal, QC)                    ",['Syracuse'],QC
Marlowe Wax,https://247sports.com/player/marlowe-wax-46054791,RB ,0.8451," Mount Saint Joseph (Baltimore, MD)                  ","['Syracuse', 'East Carolina', 'Kent State', 'Marshall', 'Pittsburgh', 'Temple', 'Toledo']",MD
Justin Barron,https://247sports.com/player/justin-barron-46047651,ATH ,0.8431," Suffield Academy (Suffield, CT)                  ","['Syracuse', 'Air Force', 'Boston College', 'Connecticut', 'FIU', 'Fordham', 'Navy', 'Pittsburgh', 'Rhode Island', 'Rutgers', 'Southern Miss', 'Virginia', 'Duke', 'Maine', 'Massachusetts', 'Michigan', 'New Hampshire', 'Ohio State', 'Penn State']",CT
Jahad Carter,https://247sports.com/player/jahad-carter-46042794,ATH ,0.8425," Jireh Prep (Matthews, NC)  ","['Syracuse', 'Florida Atlantic', 'Virginia Tech', 'Marshall', 'Texas Tech']",NC
Kevin Lemieux,https://247sports.com/player/kevin-lemieux-46058446,SDE ,0.8424," The Governors Academy (Byfield, MA)                  ","['Syracuse', 'Army', 'Dartmouth', 'Massachusetts', 'Rutgers', 'Tulane', 'Boston College', 'Connecticut', 'Maine', 'New Hampshire', 'Rhode Island']",MA
Trebor Pena,https://247sports.com/player/trebor-pena-46085837,ATH ,0.8390," Ocean Township (Oakhurst, NJ)                  ","['Syracuse', 'Temple', 'Air Force', 'Albany', 'Army', 'Bryant', 'Bucknell', 'Delaware', 'Elon', 'Fordham', 'Holy Cross', 'Kent State', 'Lafayette', 'Maine', 'Monmouth', 'Navy', 'New Hampshire', 'Rhode Island', 'Richmond', 'Villanova', 'William & Mary']",NJ
Leon Lowery,https://247sports.com/player/leon-lowery-46081801,WDE ,0.8385," North Brunswick Twp (North Brunswick, NJ)                  ","['Syracuse', 'Indiana', 'Massachusetts', 'Rutgers', 'Temple', 'Virginia Tech', 'Boston College']",NJ
Joshua Ilaoa,https://247sports.com/player/joshua-ilaoa-46082852,DT ,0.8281," Mallard Creek (Charlotte, NC)                  ","['Syracuse', 'Alabama A&M', 'Colorado State', 'East Carolina', 'Elon', 'Hawaii', 'Illinois', 'James Madison', 'Kent State', 'Marshall', 'Richmond', 'Virginia Tech']",NC
Chase Atkinson,https://247sports.com/player/chase-atkinson-46084065,S ,0.8281," Blythewood (Blythewood, SC)  ","['Syracuse', 'Coastal Carolina']",SC
Dillon Markiewicz,https://247sports.com/player/dillon-markiewicz-46082486,PRO ,0.8255," McKinney North (McKinney, TX)    ","['Syracuse', 'Texas State', 'Boise State', 'Stephen F. Austin']",TX
James Williams,https://247sports.com/player/james-williams-46085687,K ,0.8162," Athens Academy (Athens, GA)                    ","['Syracuse', 'Air Force', 'Army', 'Hawaii', 'Alabama', 'Virginia', 'Virginia Tech']",GA
Jacobian Morgan,https://247sports.com/player/jacobian-morgan-46098722,PRO ,0.8152," Canton (Canton, MS)  ","['Syracuse', 'Jackson State', 'Austin Peay']",MS
Mark Petry,https://247sports.com/player/mark-petry-46093955,OT ,0.8066," Ellsworth C.C. (Iowa Falls, IA)                    ","['Syracuse', 'Eastern Michigan', 'Chattanooga', 'Eastern Illinois', 'Indiana State', 'Jacksonville State', 'Massachusetts', 'Syracuse', 'Austin Peay', 'Rhode Island', 'Temple']",IA
Maximilian Mang,https://247sports.com/player/maximilian-mang-46085901,TE ,0.7949," Germany (Germany, GERM)                    ","['Syracuse', 'Central Michigan', 'Eastern Michigan', 'Massachusetts', 'Toledo', 'Penn State']",GE
