name,url,position,score,hometown,offers,state
Patrick Jenkins,https://247sports.com/player/patrick-jenkins-46057350,DT ,0.9124," John Ehret (Marrero, LA)                    ",,LA
Jamoi Hodge,https://247sports.com/player/jamoi-hodge-46094845,OLB ,0.8722," Independence C.C. (Independence, KS)                    ",,KS
Altrique Barlow,https://247sports.com/player/altrique-barlow-91484,OG ,0.8696," Catholic (Virginia Beach, VA)                    ",,VA
Khari Coleman,https://247sports.com/player/khari-coleman-46055968,WDE ,0.8680," G.W. Carver (New Orleans, LA)                    ",,LA
Brandon Coleman,https://247sports.com/player/brandon-coleman-46040674,OT ,0.8655," Trinity Valley C.C. (Athens, TX)                    ",,TX
Quentin Johnston,https://247sports.com/player/quentin-johnston-46058426,WR ,0.9677," Temple (Temple, TX)    ","['TCU', 'Texas', 'Arizona', 'Baylor', 'Duke', 'Houston', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Tulsa', 'Virginia Tech']",TX
Garrett Hayes,https://247sports.com/player/garrett-hayes-46051207,OG ,0.9527," Athens (Athens, TX)    ","['TCU', 'Arkansas', 'Baylor', 'Colorado', 'Florida State', 'Houston', 'Illinois', 'Kansas', 'Louisiana Tech', 'LSU', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Wyoming', 'Washington']",TX
Keontae Jenkins,https://247sports.com/player/keontae-jenkins-94747,CB ,0.9069," Frank W. Cox (Virginia Beach, VA)    ","['TCU', 'Auburn', 'Baylor', 'Chattanooga', 'Duke', 'East Carolina', 'Florida', 'Florida Atlantic', 'Florida State', 'Hampton', 'Indiana', 'Louisville', 'LSU', 'Maryland', 'Michigan', 'Nebraska', 'North Carolina', 'Penn State', 'Pittsburgh', 'Temple', 'Tennessee', 'Vanderbilt', 'Virginia Tech', 'Wisconsin']",VA
Bud Clark,https://247sports.com/player/bud-clark-46051630,S ,0.8958," Alexandria (Alexandria, LA)    ","['TCU', 'Arizona State', 'Colorado', 'Grambling State', 'Kansas', 'Liberty', 'Louisiana', 'Louisiana Tech', 'LSU', 'Mercer', 'Ole Miss', 'South Alabama', 'Southern University', 'Tulane', 'Virginia', 'Oklahoma']",LA
Savion Williams,https://247sports.com/player/savion-williams-46051526,WR ,0.8832," Marshall (Marshall, TX)    ","['TCU', 'Arkansas', 'SMU', 'Arkansas State', 'Baylor', 'Bowling Green', 'Houston', 'Illinois', 'Indiana', 'Kansas', 'Kansas State', 'Memphis', 'Missouri', 'North Texas', 'Ole Miss', 'Southern Miss', 'Stephen F. Austin', 'Texas', 'Texas State', 'Texas Tech', 'Virginia', 'Washington State']",TX
Michael Nichols,https://247sports.com/player/michael-nichols-46084872,OT ,0.8674," Northwest (Justin, TX)    ","['TCU', 'Baylor', 'Central Arkansas', 'Louisiana-Monroe', 'SMU']",TX
Dominic Richardson,https://247sports.com/player/dominic-richardson-46052171,RB ,0.8667," Bishop McGuinness (Oklahoma City, OK)    ","['TCU', 'Arkansas', 'Colorado', 'Iowa State', 'Kansas', 'Memphis', 'Minnesota', 'Missouri', 'Nebraska', 'North Texas', 'SMU', 'Texas', 'Oklahoma', 'Oklahoma State']",OK
Eli Williams,https://247sports.com/player/eli-williams-46057766,DUAL ,0.8614," Sapulpa (Sapulpa, OK)    ","['TCU', 'Eastern Michigan', 'Kansas State', 'North Texas', 'Texas Tech', 'William & Mary', 'Louisville', 'Oklahoma', 'Oklahoma State', 'Tulsa']",OK
Caleb Medford,https://247sports.com/player/caleb-medford-46080193,WR ,0.8594," Henderson (Henderson, TX)    ","['TCU', 'Arkansas', 'Arkansas State', 'Baylor', 'Boston College', 'Illinois', 'Indiana', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Missouri', 'Ole Miss', 'Purdue', 'Southern Miss', 'Stephen F. Austin', 'Texas Tech', 'Tulane', 'Tulsa', 'Virginia']",TX
Tyler Guyton,https://247sports.com/player/tyler-guyton-46097202,OT ,0.8562," Manor (Manor, TX)  ","['TCU', 'SMU']",TX
Blake Nowell,https://247sports.com/player/blake-nowell-46080269,WR ,0.8519," Plainview (Ardmore, OK)    ","['TCU', 'Air Force', 'Arkansas State', 'Army', 'Iowa State', 'Kansas', 'Kansas State', 'Minnesota', 'Navy', 'Tulsa']",OK
Kendre Miller,https://247sports.com/player/kendre-miller-46080022,ATH ,0.8344," Mount Enterprise (Mount Enterprise, TX)    ","['TCU', 'UTSA', 'Southern Miss', 'Wyoming']",TX
Stephon Brown,https://247sports.com/player/stephon-brown-46037509,DUAL ,0.8296," Independence C.C. (Independence, KS)    ","['TCU', 'Akron', 'Idaho', 'Southern Miss', 'Temple']",KS
