team,conference,mascot,city,state
UCF,AAC,Knights,Orlando,Florida
Cincinnati,AAC,Bearcats,Cincinnati,Ohio
Uconn,AAC,Huskies,Storrs,Connecticut
ECU,AAC,Pirates,Greenville,North Carolina
Houston,AAC,Cougars,Houston,Texas
Memphis,AAC,Tigers,Memphis,Tennessee
USF,AAC,Bulls,Tampa,Florida
SMU,AAC,Mustangs,Dallas,Texas
Temple,AAC,Owls,Philadelphia,Pennsylvania
Tulane,AAC,Green Wave,New Orleans,Louisiana
Tulsa,AAC,Golden Hurricane,Tulsa,Oklahoma
Wichita State,AAC,Shockers,Wichita,Kansas
Boston College,ACC,Eagles,Chestnut Hill,Massachusetts
Clemson,ACC,Tigers,Clemson,South Carolina
Florida State,ACC,Seminoles,Tallahassee,Florida
Louisville,ACC,Cardinals,Louisville,Kentucky
NC State,ACC,Wolfpack,Raleigh,North Carolina
Notre Dame,ACC,Fighting Irish,Notre Dame,Indiana
Syracuse,ACC,Orange,Syracuse,New York
Wake Forest,ACC,Demon Deacons,Winston-Salem,North Carolina
Duke,ACC,Blue Devils,Durham,North Carolina
Georgia Tech,ACC,Yellow Jackets,Atlanta,Georgia
Miami,ACC,Hurricanes,Coral Gables,Florida
UNC,ACC,Tar Heels,Chapel Hill,North Carolina
Pittsburgh,ACC,Panthers,Pittsburgh,Pennsylvania
Virginia,ACC,Cavaliers,Charlottesville,Virginia
Virginia Tech,ACC,Hokies,Blacksburg,Virginia
Indiana,Big Ten,Hoosiers,Bloomington,Indiana
Maryland,Big Ten,Terrapins,College Park,Maryland
Michigan,Big Ten,Wolverines,Ann Arbor,Michigan
Michigan State,Big Ten,Spartans,East Lansing,Michigan
Ohio State,Big Ten,Buckeyes,Columbus,Ohio
Penn State,Big Ten,Nittany Lions,State College,Pennsylvania
Rutgers,Big Ten,Scarlet Knights,New Brunswick–Piscataway,New Jersey
Illinois,Big Ten,Fighting Illini,Champaign-Urbana,Illinois
Iowa,Big Ten,Hawkeyes,Iowa City,Iowa
Minnesota,Big Ten,Golden Gophers,Minneapolis-St. Paul,Minnesota
Nebraska,Big Ten,Cornhuskers,Lincoln,Nebraska
Northwestern,Big Ten,Wildcats,Evanston,Illinois
Purdue,Big Ten,Boilermakers,West Lafayette,Indiana
Wisconsin,Big Ten,Badgers,Madison,Wisconsin
Baylor,Big 12,Bears/Lady Bears,Waco,Texas
Iowa State,Big 12,Cyclones,Ames,Iowa
Kansas,Big 12,Jayhawks,Lawrence,Kansas
Kansas State,Big 12,Wildcats,Manhattan,Kansas
