name,url,position,score,hometown,offers,state
Kobe Wilson,https://247sports.com/player/kobe-wilson-46077079,ILB ,0.8540," Parkview (Lilburn, GA)    ",,GA
Sam Davis,https://247sports.com/player/sam-davis-46076633,OG ,0.8444," Geneva (Geneva, OH)    ",,OH
Darian Varner,https://247sports.com/player/darian-varner-46084522,DT ,0.8395," Maury (Norfolk, VA)    ",,VA
Miles Zietek,https://247sports.com/player/miles-zietek-46083166,OT ,0.8281," Germany (Germany, GERM)    ",,GE
Nick Bagashvili,https://247sports.com/player/nick-bagashvili-46080390,DT ,0.8263," Tottenville (Staten Island, NY)    ",,NY
Trey Blair,https://247sports.com/player/trey-blair-46079296,ATH ,0.8236," Haverford (Havertown, PA)    ",,PA
Muheem McCargo,https://247sports.com/player/muheem-mccargo-46052302,RB ,0.8212," Woodrow Wilson (Camden, NJ)    ",,NJ
Matthew Duncan,https://247sports.com/player/matthew-duncan-46054431,PRO ,0.8269," Ashley Ridge (Summerville, SC)    ","['Temple', 'Colorado State', 'Eastern Michigan', 'Gardner-Webb', 'Kent State', 'Liberty', 'Miami (OH)', 'New Mexico', 'Notre Dame College', 'Western Kentucky']",SC
DJ Woodbury,https://247sports.com/player/dj-woodbury-46085947,S ,0.8261," Burlington City (Burlington, NJ)    ",['Temple'],NJ
Zae Baines,https://247sports.com/player/zae-baines-46059228,WR ,0.8247," North Cross School (Roanoke, VA)    ","['Temple', 'Appalachian State', 'Cincinnati', 'Duke', 'East Carolina', 'Liberty', 'Old Dominion', 'Purdue', 'Virginia', 'William & Mary']",VA
Bryce Thoman,https://247sports.com/player/bryce-thoman-46085842,OG ,0.8219," Central Dauphin (Harrisburg, PA)    ","['Temple', 'Austin Peay', 'Bryant', 'Holy Cross', 'Monmouth', 'Robert Morris', 'Sacred Heart']",PA
Demerick Morris,https://247sports.com/player/demerick-morris-46076963,DT ,0.8213," Phillips Academy (Chicago, IL)  ","['Temple', 'Air Force', 'Bowling Green', 'Eastern Michigan', 'Kent State', 'Miami (OH)', 'Northern Illinois', 'Southern Illinois', 'Toledo', 'Western Kentucky', 'Western Michigan']",IL
Jalen Ware,https://247sports.com/player/jalen-ware-46097311,S ,0.8154," Copiah-Lincoln C.C. (Wesson, MS)    ","['Temple', 'Arkansas-Pine Bluff', 'Bethune-Cookman', 'Charlotte', 'Mississippi Valley State', 'North Alabama']",MS
Chevez Trask,https://247sports.com/player/chevez-trask-46086084,SDE ,0.8152," Evans (Evans, GA)    ","['Temple', 'Jacksonville', 'Georgia Southern', 'Liberty']",GA
James Della Pesca,https://247sports.com/player/james-della-pesca-46085624,OLB ,0.8118," Pascack Valley (Hillsdale, NJ)    ","['Temple', 'Boston College', 'Connecticut', 'Lehigh', 'Monmouth', 'Rutgers', 'William & Mary']",NJ
Daiyaan Hawkins,https://247sports.com/player/daiyaan-hawkins-46097481,CB ,0.8111," Haverford School (Haverford, PA)    ","['Temple', 'Albany', 'New Hampshire', 'Bucknell', 'Connecticut']",PA
Dyshier Clary,https://247sports.com/player/dyshier-clary-46081768,WDE ,0.8085," Woodrow Wilson (Camden, NJ)    ","['Temple', 'Bowling Green', 'Cincinnati', 'East Carolina', 'Sacred Heart', 'Syracuse', 'Rutgers']",NJ
Alex Odom,https://247sports.com/player/alex-odom-46083424,ATH ,0.8030," Kingsway (Swedesboro, NJ)    ","['Temple', 'Connecticut', 'Fordham', 'Monmouth']",NJ
Garrett Williams,https://247sports.com/player/garrett-williams-46086085,S ,0.7990," King's Fork (Suffolk, VA)    ","['Temple', 'East Carolina', 'Elon']",VA
