name,url,position,score,hometown,offers,state
Harrison Bailey,https://247sports.com/player/harrison-bailey-83301,PRO ,0.9558," Marietta (Marietta, GA)                    ",,GA
Dominic Bailey,https://247sports.com/player/dominic-bailey-46053621,DT ,0.9182," St. Frances Academy (Baltimore, MD)                    ",,MD
Cooper Mays,https://247sports.com/player/cooper-mays-45573208,OC ,0.9002," Knoxville Catholic (Knoxville, TN)                    ",,TN
Jimmy Holiday,https://247sports.com/player/jimmy-holiday-46051110,ATH ,0.8755," Madison Central (Madison, MS)                    ",,MS
Keshawn Lawrence,https://247sports.com/player/keshawn-lawrence-46036849,S ,0.9649," Ensworth (Nashville, TN)                  ","['Tennessee', 'LSU', 'Miami', 'Oklahoma', 'Alabama', 'Auburn', 'Clemson', 'Florida', 'Georgia', 'Louisville', 'Memphis', 'Mississippi State', 'Missouri', 'Ohio State', 'Ole Miss', 'Penn State', 'Purdue', 'South Carolina', 'Texas A&M', 'USC', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Arkansas', 'Georgia Tech']",TN
Omari Thomas,https://247sports.com/player/omari-thomas-46048092,DT ,0.9580," Briarcrest Christian (Memphis, TN)                  ","['Tennessee', 'Auburn', 'Texas A&M', 'Alabama', 'Arkansas', 'Clemson', 'Florida', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Kentucky', 'LSU', 'Memphis', 'Miami', 'Mississippi State', 'Missouri', 'Nebraska', 'Oklahoma', 'Ole Miss', 'Penn State', 'Purdue', 'South Carolina', 'Texas', 'Tulsa', 'Virginia', 'West Virginia']",TN
Malachi Wideman,https://247sports.com/player/malachi-wideman-46046942,WR ,0.9492," Venice (Venice, FL)    ","['Tennessee', 'Florida State', 'Ole Miss', 'Oregon', 'Washington State', 'Auburn', 'Florida', 'Florida Atlantic', 'Georgia', 'Kentucky', 'Memphis', 'Miami', 'NC State', 'Ole Miss', 'UCF', 'Missouri']",FL
Tyler Baron,https://247sports.com/player/tyler-baron-46036850,SDE ,0.9489," Knoxville Catholic (Knoxville, TN)                  ","['Tennessee', 'Kentucky', 'Ohio State', 'Oklahoma', 'Akron', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Austin Peay', 'Clemson', 'Colorado', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Louisville', 'LSU', 'Maryland', 'Middle Tennessee State', 'Mississippi State', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Old Dominion', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'TCU', 'Tennessee State', 'Texas A&M', 'Tulane', 'Virginia', 'Virginia Tech']",TN
Jalin Hyatt,https://247sports.com/player/jalin-hyatt-46056575,WR ,0.9218," Dutch Fork (Irmo, SC)                  ","['Tennessee', 'Virginia Tech', 'Appalachian State', 'Arkansas', 'Coastal Carolina', 'Duke', 'East Carolina', 'Indiana', 'Kentucky', 'Miami', 'Michigan', 'Nebraska', 'Penn State', 'Virginia', 'Wake Forest', 'West Virginia', 'Clemson', 'South Carolina']",SC
Jimmy Calloway,https://247sports.com/player/jimmy-calloway-46079871,WR ,0.9197," Morrow (Morrow, GA)                  ","['Tennessee', 'Kentucky', 'Virginia Tech', 'Auburn', 'Coastal Carolina', 'Colorado State', 'Florida', 'Georgia Southern', 'Georgia Tech', 'Kansas', 'Kent State', 'Oklahoma', 'Oregon', 'South Alabama', 'South Carolina', 'Troy', 'Western Kentucky']",GA
Len'Neth Whitehead,https://247sports.com/player/lenneth-whitehead-46054157,ILB ,0.9189," Athens Academy (Athens, GA)    ","['Tennessee', 'South Carolina', 'UCLA', 'Charlotte', 'Coastal Carolina', 'Colorado', 'Georgia', 'Georgia Tech', 'Liberty', 'Michigan', 'Mississippi State', 'Oklahoma', 'Texas', 'Texas A&M', 'Virginia', 'Wake Forest', 'Wisconsin']",GA
