name,url,position,score,hometown,offers,state
Hudson Card,https://247sports.com/player/hudson-card-46048769,DUAL ,0.9724," Lake Travis (Austin, TX)                    ",,TX
Vernon Broughton,https://247sports.com/player/vernon-broughton-46055073,DT ,0.9477," Cy Ridge (Houston, TX)                    ",,TX
Xavion Alford,https://247sports.com/player/xavion-alford-46051445,S ,0.9371," Shadow Creek (Pearland, TX)                    ",,TX
Jerrin Thompson,https://247sports.com/player/jerrin-thompson-46050436,S ,0.9260," Lufkin (Lufkin, TX)                    ",,TX
Jake Majors,https://247sports.com/player/jake-majors-46049148,OC ,0.9220," Prosper (Prosper, TX)                    ",,TX
Troy Omeire,https://247sports.com/player/troy-omeire-46051486,WR ,0.9124," Fort Bend Austin (Sugar Land, TX)                    ",,TX
Logan Parr,https://247sports.com/player/logan-parr-46051951,OG ,0.9025," O'Connor (Helotes, TX)                    ",,TX
Sawyer Goram-Welch,https://247sports.com/player/sawyer-goram-welch-46056596,DT ,0.8465," Longview (Longview, TX)                    ",,TX
Bijan Robinson,https://247sports.com/player/bijan-robinson-46040672,RB ,0.9928," Salpointe Catholic (Tucson, AZ)                  ","['Texas', 'Ohio State', 'USC', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Colorado', 'Illinois', 'Kansas State', 'LSU', 'Michigan', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Tennessee', 'Texas A&M', 'UCLA', 'Utah', 'Washington']",AZ
Alfred Collins,https://247sports.com/player/alfred-collins-46047351,SDE ,0.9708," Cedar Creek (Bastrop, TX)    ","['Texas', 'Alabama', 'Baylor', 'Oklahoma', 'Texas A&M', 'Arizona', 'Arizona State', 'Arkansas', 'Colorado', 'LSU', 'Notre Dame', 'Ole Miss', 'Penn State', 'SMU', 'Texas Tech', 'Northwestern']",TX
Ja'Quinden Jackson,https://247sports.com/player/jaquinden-jackson-87600,DUAL ,0.9665," Duncanville (Duncanville, TX)                  ","['Texas', 'Alabama', 'Arkansas', 'Baylor', 'Colorado', 'Connecticut', 'Florida State', 'Houston', 'Illinois', 'Jackson State', 'Kansas', 'LSU', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Purdue', 'SMU', 'TCU', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Utah', 'Virginia Tech']",TX
Prince Dorbah,https://247sports.com/player/prince-dorbah-46048851,OLB ,0.9446," Highland Park (Dallas, TX)                  ","['Texas', 'Alabama', 'Arkansas', 'Baylor', 'Boston College', 'Florida', 'LSU', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Oregon', 'SMU']",TX
Kitan Crawford,https://247sports.com/player/kitan-crawford-46056950,CB ,0.9357," John Tyler (Tyler, TX)                  ","['Texas', 'Tennessee', 'Arkansas', 'Arkansas State', 'Baylor', 'Colorado', 'Houston', 'Illinois', 'Kansas State', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'SMU', 'Stephen F. Austin', 'TCU', 'Texas A&M', 'Texas A&M Commerce', 'Tulane', 'Virginia Tech']",TX
Jaylen Garth,https://247sports.com/player/jaylen-garth-46040754,OT ,0.9071," Port Neches-Groves (Port Neches, TX)                  ","['Texas', 'Alabama', 'Arkansas', 'Baylor', 'Florida State', 'Georgia Tech', 'Houston', 'LSU', 'Mississippi State', 'Missouri', 'Nebraska', 'Ohio State', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Utah']",TX
Kelvontay Dixon,https://247sports.com/player/kelvontay-dixon-46041043,ATH ,0.8937," Carthage (Carthage, TX)    ","['Texas', 'Arkansas', 'Houston', 'Baylor', 'Colorado', 'Illinois', 'Oklahoma State', 'SMU', 'TCU', 'UTSA']",TX
Andrej Karic,https://247sports.com/player/andrej-karic-46050370,OT ,0.8918," Southlake Carroll (Southlake, TX)                  ","['Texas', 'Arizona', 'Auburn', 'Baylor', 'Colorado', 'Florida State', 'Houston', 'Illinois', 'Kansas State', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Ole Miss', 'Oregon', 'SMU', 'TCU', 'Texas Tech', 'USC', 'Virginia Tech', 'Washington State']",TX
Dajon Harrison,https://247sports.com/player/dajon-harrison-46051172,WR ,0.8750," Hutto (Hutto, TX)                  ","['Texas', 'Kansas State', 'TCU', 'Arizona', 'Arizona State', 'Boston College', 'Colorado State', 'Houston', 'Iowa State', 'Louisiana', 'New Mexico', 'Rice', 'Texas Southern', 'Texas State', 'Baylor']",TX
Jaden Hullaby,https://247sports.com/player/jaden-hullaby-46048841,ATH ,0.8701," Mansfield Timberview (Arlington, TX)                  ","['Texas', 'Arizona State', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Connecticut', 'Duke', 'Florida', 'Georgia Tech', 'Houston', 'Illinois', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'LSU', 'Michigan State', 'Minnesota', 'North Texas', 'Purdue', 'SMU', 'TCU', 'Utah', 'UTSA', 'Vanderbilt']",TX
Jaylan Ford,https://247sports.com/player/jaylan-ford-46051140,OLB ,0.8465," Lone Star (Frisco, TX)    ","['Texas', 'Utah', 'Army', 'Colorado State', 'Kansas', 'Minnesota', 'North Texas', 'Texas', 'Texas Southern', 'Texas Tech', 'Toledo', 'Tulsa', 'Washington State']",TX
