name,url,position,score,hometown,offers,state
Maureese Wren,https://247sports.com/player/maureese-wren-93957,OLB ,0.8489," Tyler J.C.  (Tyler, TX)    ","['Texas State', 'Louisville', 'Missouri', 'Illinois State', 'Nebraska', 'Oregon State', 'Southern Miss', 'West Virginia']",TX
Drue Jackson,https://247sports.com/player/drue-jackson-77907,WR ,0.8450," Tyler J.C.  (Tyler, TX)    ","['Texas State', 'Boise State', 'Louisiana-Monroe', 'Massachusetts', 'Tulsa']",TX
Zion Childress,https://247sports.com/player/zion-childress-46049933,WR ,0.8430," New Caney (New Caney, TX)    ","['Texas State', 'UTSA', 'Air Force', 'Army', 'Fordham', 'Grambling State', 'Incarnate Word', 'Lamar', 'Louisville', 'McNeese State', 'Memphis', 'Navy', 'New Mexico', 'Rice']",TX
Issiah Nixon,https://247sports.com/player/issiah-nixon-46082773,RB ,0.8317," Elkins (Missouri City, TX)    ",['Texas State'],TX
Jaycob Horn,https://247sports.com/player/jaycob-horn-46085257,WR ,0.8301," Tupelo (Tupelo, MS)    ","['Texas State', 'Ole Miss', 'Austin Peay']",MS
Alex Costilla,https://247sports.com/player/alex-costilla-94727,OT ,0.8238," Tyler J.C.  (Tyler, TX)    ","['Texas State', 'Arkansas State', 'Grambling State', 'Houston Baptist', 'Louisiana', 'Louisiana-Monroe', 'Middle Tennessee State', 'SMU', 'Southeast Missouri State', 'UTEP']",TX
Brock Sturges,https://247sports.com/player/brock-sturges-84062,RB ,0.8225," Butler C.C. (El Dorado, KS)    ","['Texas State', 'Akron', 'Arkansas State', 'Charlotte', 'Massachusetts', 'Western Kentucky']",KS
Austin Markiewicz,https://247sports.com/player/austin-markiewicz-46085474,OC ,0.8041," McKinney North (McKinney, TX)    ","['Texas State', 'Abilene Christian', 'Central Arkansas', 'Houston Baptist', 'Liberty', 'McNeese State', 'Northern Colorado', 'Northwestern State', 'Stephen F. Austin', 'Tulsa']",TX
Trenton Scott,https://247sports.com/player/trenton-scott-46097155,OT ,0.8022," Luling (Luling, TX)    ","['Texas State', 'Illinois State', 'Northern Colorado']",TX
Russell Baker,https://247sports.com/player/russell-baker-46096516,OG ,0.8000," Northeastern Oklahoma A&M (Miami, OK)                  ","['Texas State', 'Idaho State', 'Indiana State', 'North Alabama', 'Southeast Missouri State', 'Stephen F. Austin', 'Tulsa', 'Colorado State', 'Kansas State', 'Rice', 'Western Kentucky']",OK
Josh Emmanuel,https://247sports.com/player/josh-emmanuel-46081325,ILB ,0.7999," Bishop Dunne (Dallas, TX)    ","['Texas State', 'Air Force', 'Arkansas', 'Toledo']",TX
John Emmanuel,https://247sports.com/player/john-emmanuel-46082501,ILB ,0.7936," Bishop Dunne (Dallas, TX)    ","['Texas State', 'Arkansas-Pine Bluff', 'Grambling State', 'Navy', 'Toledo']",TX
Marcell Barbee,https://247sports.com/player/marcell-barbee-46093953,WR ,0.7800," Iowa Western C.C. (Council Bluffs, IA)    ","['Texas State', 'Massachusetts', 'Missouri Southern State', 'Southern Miss']",IA
Grid Isidore,https://247sports.com/player/grid-isidore-45573041,S ,0.7700," Tyler J.C.  (Tyler, TX)    ","['Texas State', 'Tulsa', 'Arkansas-Pine Bluff', 'Austin Peay', 'Northwestern State', 'UNLV']",TX
Isaiah Karriem,https://247sports.com/player/isaiah-karriem-46097532,ILB ,0.7600," Mississippi Delta C.C. (Moorhead, MS)    ",['Texas State'],MS
Aaron Reynolds,https://247sports.com/player/aaron-reynolds-46082819,CB ,0.8580," Tyler J.C.  (Tyler, TX)                  ","['Texas State', 'Texas Tech', 'Florida Tech', 'Middle Tennessee State', 'Nicholls State', 'South Carolina', 'Southern Illinois', 'Valdosta State', 'West Florida', 'Mississippi State']",TX
Derrick Ray Jr.,https://247sports.com/player/derrick-ray-jr-46050398,WDE ,0.8375," Trinity Valley C.C. (Athens, TX)    ","['Texas State', 'Charlotte', 'McNeese State']",TX
Kevin Howard,https://247sports.com/player/kevin-howard-86542,WR ,0.8290," Fort Scott C.C. (Fort Scott, KS)    ","['Texas State', 'Arkansas State', 'Bethel', 'Liberty', 'Auburn', 'Cincinnati', 'Kansas', 'Massachusetts', 'Ole Miss', 'Troy', 'UAB']",KS
Romelle Grier,https://247sports.com/player/romelle-grier-46085872,DT ,0.8085," Whitmer (Toledo, OH)    ","['Texas State', 'Eastern Kentucky', 'Grand Valley State', 'Northwood University', 'Saginaw Valley State', 'Youngstown State']",OH
