name,url,position,score,hometown,offers,state
Lamy Constant,https://247sports.com/player/lamy-constant-46038298,RB ,0.8750," Canarsie (Brooklyn, NY)    ","['Toledo', 'West Virginia', 'Baylor', 'Boston College', 'Duke', 'Florida', 'Illinois', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Nebraska', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas A&M', 'Wake Forest', 'Georgia', 'Penn State']",NY
DeMeer Blankumsee,https://247sports.com/player/demeer-blankumsee-46080270,WR ,0.8647," Winton Woods (Cincinnati, OH)    ","['Toledo', 'Akron', 'Ball State', 'Central Michigan', 'Cincinnati', 'Eastern Kentucky', 'Eastern Michigan', 'FIU', 'Indiana', 'Iowa State', 'Kent State', 'Kentucky', 'Louisville', 'Middle Tennessee State', 'Missouri', 'Pittsburgh', 'Rutgers', 'Wake Forest', 'Western Michigan', 'Minnesota', 'Purdue']",OH
Clay Caudill,https://247sports.com/player/clay-caudill-46041000,TE ,0.8580," Mansfield (Mansfield, OH)    ","['Toledo', 'Ball State', 'Bowling Green', 'Cincinnati', 'Iowa State', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Michigan State', 'Minnesota', 'Ohio', 'Pittsburgh', 'Rutgers', 'Vanderbilt', 'Virginia', 'West Virginia', 'Wisconsin', 'Ohio State']",OH
Gavin Hall,https://247sports.com/player/gavin-hall-46054998,PRO ,0.8530," Harrison (Kennesaw, GA)  ","['Toledo', 'Central Michigan', 'Columbia', 'Liberty', 'Memphis', 'Miami (OH)', 'South Alabama', 'Southern Miss', 'Temple', 'Kentucky']",GA
Jaden Rayford,https://247sports.com/player/jaden-rayford-46083603,S ,0.8530," Eastwood (Pemberville, OH)    ","['Toledo', 'Bowling Green', 'Central Michigan', 'Eastern Michigan', 'Ohio']",OH
Latrell Thompkins,https://247sports.com/player/latrell-thompkins-46084021,SDE ,0.8499," Denby (Detroit, MI)  ","['Toledo', 'Alabama A&M', 'Cincinnati', 'Kentucky']",MI
Jackson Stoefen,https://247sports.com/player/jackson-stoefen-46079757,OT ,0.8376," North Scott (Eldridge, IA)    ","['Toledo', 'Appalachian State', 'Coastal Carolina', 'Kansas', 'Arkansas State', 'Eastern Michigan', 'Illinois State', 'Massachusetts', 'Northern Illinois', 'Northern Iowa', 'South Dakota', 'Iowa', 'Iowa State', 'Kansas State', 'Nebraska', 'North Dakota State', 'Rice', 'South Dakota State', 'Virginia Tech']",IA
Martez Poynter,https://247sports.com/player/martez-poynter-46052567,DT ,0.8369," Trinity Catholic (Saint Louis, MO)    ","['Toledo', 'Bowling Green', 'Central Michigan', 'Kent State', 'Western Michigan', 'Illinois', 'Iowa State']",MO
Geri Theodore,https://247sports.com/player/geri-theodore-46079955,WDE ,0.8356," Clearwater Academy International (Clearwater, FL)    ","['Toledo', 'Indiana', 'Minnesota', 'Cincinnati', 'Georgia Tech', 'Illinois', 'Iowa State', 'Kansas State', 'Liberty', 'Mercer', 'Ole Miss', 'Purdue', 'Southern Miss', 'Syracuse', 'UCF', 'USF', 'Virginia', 'West Virginia', 'Western Michigan']",FL
Cauren Lynch,https://247sports.com/player/cauren-lynch-46082238,RB ,0.8322," Parish Episcopal School (Dallas, TX)    ","['Toledo', 'Air Force', 'Boston College', 'Colorado State', 'Dartmouth', 'Illinois State', 'Liberty', 'New Mexico State', 'North Texas', 'Purdue', 'Rutgers', 'Texas State', 'Tulane', 'Vanderbilt', 'Virginia', 'SMU']",TX
Larry Stephens,https://247sports.com/player/larry-stephens-46081352,WR ,0.8317," Springfield  (Springfield, OH)  ","['Toledo', 'Ball State', 'Miami (OH)']",OH
Quinyon Mitchell,https://247sports.com/player/quinyon-mitchell-46056631,CB ,0.8305," Williston (Williston, FL)    ","['Toledo', 'Illinois', 'Alcorn State', 'Florida Atlantic', 'Georgia Southern', 'Georgia State', 'South Alabama', 'South Dakota', 'USF']",FL
Garrett Schwiebert,https://247sports.com/player/garrett-schwiebert-46085289,OT ,0.8286," Patrick Henry (Hamler, OH)    ","['Toledo', 'Eastern Michigan']",OH
Vinny Sciury,https://247sports.com/player/vinny-sciury-46082999,OG ,0.8198," Perry (Massillon, OH)                 ","['Toledo', 'Indiana', 'Bowling Green', 'Kent State', 'Ohio']",OH
Sawiaha Ellis,https://247sports.com/player/sawiaha-ellis-46081974,ATH ,0.8160," Fairfield (Fairfield, OH)    ","['Toledo', 'Ball State', 'Bowling Green', 'Eastern Michigan', 'Kent State', 'Western Michigan', 'Youngstown State']",OH
Deshawn Walker,https://247sports.com/player/deshawn-walker-46055264,ILB ,0.8154," River Rouge (River Rouge, MI)  ","['Toledo', 'Ball State', 'Buffalo', 'Central Michigan', 'Kent State', 'Northern Illinois']",MI
Tanner Wigand,https://247sports.com/player/tanner-wigand-46059498,OT ,0.8145," Lincoln (Manitowoc, WI)  ","['Toledo', 'Iowa']",WI
Jaelen Crider,https://247sports.com/player/jaelen-crider-46079940,SDE ,0.8072," Stow-Munroe Falls (Stow, OH)  ","['Toledo', 'Akron', 'Ball State', 'Bowling Green', 'Kent State', 'Ohio']",OH
Maxen Hook,https://247sports.com/player/maxen-hook-46081764,S ,0.8034," New Palestine (New Palestine, IN)    ","['Toledo', 'Air Force', 'Ball State', 'Bowling Green', 'Central Michigan', 'Cornell', 'Eastern Illinois', 'Eastern Kentucky', 'Illinois State', 'Indiana State', 'Miami (OH)', 'Navy', 'South Dakota State']",IN
John Coleus,https://247sports.com/player/john-coleus-46081746,S ,0.7697," Fort Myers (Fort Myers, FL)  ","['Toledo', 'Akron', 'Bryant', 'Eastern Michigan', 'Southern Miss']",FL
