name,url,position,score,hometown,offers,state
Toryque Bateman,https://247sports.com/player/toryque-bateman-85496,OT ,0.8563," Fort Scott C.C. (Fort Scott, KS)    ","['Troy', 'Alabama State', 'Nebraska']",KS
Kimani Vidal,https://247sports.com/player/kimani-vidal-46053672,RB ,0.8548," Marietta (Marietta, GA)    ","['Troy', 'LSU', 'Memphis', 'South Alabama', 'South Carolina', 'Syracuse', 'Auburn', 'Georgia Tech', 'Kentucky', 'Louisville', 'Mississippi State']",GA
Kyle Toole,https://247sports.com/player/kyle-toole-46058663,PRO ,0.8402," Lee County (Leesburg, GA)    ","['Troy', 'Akron', 'Coastal Carolina', 'Howard', 'Middle Tennessee State', 'Tennessee State']",GA
Luis Medina,https://247sports.com/player/luis-medina-46082606,DT ,0.8389," Chattooga (Summerville, GA)    ","['Troy', 'Florida Atlantic', 'Chattanooga', 'Coastal Carolina', 'Georgia State', 'Liberty', 'Louisiana', 'UAB', 'USF', 'Georgia Southern', 'Louisville']",GA
Deyunkrea Lewis,https://247sports.com/player/deyunkrea-lewis-46086004,TE ,0.8367," Robert E. Lee (Montgomery, AL)    ","['Troy', 'Alabama State', 'Bethune-Cookman', 'Jackson State', 'Toledo']",AL
Gage Saint,https://247sports.com/player/gage-saint-46081393,OT ,0.8367," Hatton (Town Creek, AL)    ","['Troy', 'Arkansas State', 'Chattanooga', 'Eastern Kentucky', 'South Alabama', 'Southern Miss', 'Western Kentucky', 'Jacksonville State', 'North Alabama']",AL
Darrell Starling Jr.,https://247sports.com/player/darrell-starling-jr-46080030,ATH ,0.8363," Pelham (Pelham, GA)    ","['Troy', 'Air Force', 'Army', 'Duke', 'Southeast Missouri State', 'UAB', 'Wake Forest', 'Air Force', 'Georgia Southern', 'Virginia Tech']",GA
Keyonteze Johnson,https://247sports.com/player/keyonteze-johnson-46081395,WR ,0.8361," Pinson Valley (Pinson, AL)    ","['Troy', 'Arkansas State', 'Eastern Kentucky', 'Jacksonville State', 'Middle Tennessee State', 'Western Kentucky']",AL
Marcus Rogers,https://247sports.com/player/marcus-rogers-46041157,WR ,0.8288," Iowa Western C.C. (Council Bluffs, IA)    ","['Troy', 'Campbell', 'Iowa State', 'Liberty', 'Montana State', 'Ball State', 'Kentucky', 'Louisiana', 'Montana State', 'Southern Miss', 'TCU', 'Toledo']",IA
Josh Brown,https://247sports.com/player/josh-brown-46054151,CB ,0.8275," Lowndes (Valdosta, GA)    ","['Troy', 'Michigan']",GA
Logan Self,https://247sports.com/player/logan-self-46049858,OG ,0.8268," Hewitt-Trussville (Trussville, AL)    ","['Troy', 'Air Force', 'Arkansas State', 'Florida Atlantic', 'Jacksonville State', 'UAB']",AL
Chase Little,https://247sports.com/player/chase-little-46082384,OT ,0.8234," Montgomery Catholic Preparatory (Montgomery, AL)    ","['Troy', 'Akron', 'Indiana', 'Jacksonville State', 'Liberty', 'Louisiana', 'Tulane']",AL
Cam Williams,https://247sports.com/player/cam-williams-46082906,SDE ,0.8204," Loganville (Loganville, GA)  ","['Troy', 'Western Kentucky', 'Cincinnati', 'Coastal Carolina', 'FIU', 'Georgia State', 'Liberty', 'Louisville', 'Syracuse']",GA
Parker McNeil,https://247sports.com/player/parker-mcneil-46096619,PRO ,0.8200," Navarro College (Corsicana, TX)  ","['Troy', 'Midwestern State', 'West Texas A&M']",TX
Quincey Miller,https://247sports.com/player/quincey-miller-46086005,WDE ,0.8098," Pebblebrook (Mableton, GA)    ","['Troy', 'Eastern Kentucky', 'Liberty']",GA
Jordan Chapman,https://247sports.com/player/jordan-chapman-46096620,OG ,0.8044," Jones County J.C. (Ellisville, MS)  ",['Troy'],MS
Navy Harris,https://247sports.com/player/navy-harris-46086003,ILB ,0.8025," Hutchinson C.C. (Hutchinson, KS)  ",['Troy'],KS
Zion Williams,https://247sports.com/player/zion-williams-46097556,CB ,0.7905," Iowa Western C.C. (Council Bluffs, IA)  ",['Troy'],IA
Shakel Brown,https://247sports.com/player/shakel-brown-46097555,DT ,0.7900," Itawamba C.C. (Fulton, MS)  ",['Troy'],MS
Derrick Graham,https://247sports.com/player/derrick-graham-46085496,OG ,0.7797," Lake Minneola (Lake Minneola, FL)    ","['Troy', 'Bryant', 'Central Arkansas', 'Kent State']",FL
Markeis Colvin,https://247sports.com/player/markeis-colvin-89820,S ,0.7794," Hutchinson C.C. (Hutchinson, KS)    ",['Troy'],KS
George Jackson,https://247sports.com/player/george-jackson-46097559,S ,0.7700," Mississippi Delta C.C. (Moorhead, MS)  ",['Troy'],MS
Theodore Jackson,https://247sports.com/player/theodore-jackson-46097557,SDE ,0.7697," Stanhope Elmore (Millbrook, AL)  ",['Troy'],AL
Jabre Barber,https://247sports.com/player/jabre-barber-46097558,WR ,0.7597," Dothan (Dothan, AL)  ",['Troy'],AL
