name,url,position,score,hometown,offers,state
Angelo Anderson,https://247sports.com/player/angelo-anderson-46041499,SDE ,0.8777," John Curtis (New Orleans, LA)    ","['Tulane', 'Arkansas', 'Colorado', 'Kansas State', 'Nicholls State', 'Tennessee', 'Kansas', 'TCU']",LA
Josh Remetich,https://247sports.com/player/josh-remetich-46059167,OG ,0.8667," Holy Cross (New Orleans, LA)                  ","['Tulane', 'Kansas', 'Air Force', 'Boston College', 'Colorado State', 'Houston', 'Kansas State', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Louisville', 'Maryland', 'Memphis', 'Mississippi State', 'Missouri', 'Nicholls State', 'Northwestern State', 'Ole Miss', 'Rutgers', 'SMU', 'South Alabama', 'Southeastern Louisiana', 'Southern University', 'Tennessee', 'Troy', 'UAB', 'UNLV', 'UTSA', 'Virginia', 'Wake Forest', 'West Virginia']",LA
Rashad Green,https://247sports.com/player/rashad-green-46082400,OG ,0.8477," University Lab (Baton Rouge, LA)    ","['Tulane', 'Air Force', 'Baylor', 'Louisiana', 'Louisiana Tech', 'Nicholls State', 'Southeastern Louisiana', 'Southern University']",LA
Jesus Machado,https://247sports.com/player/jesus-machado-87004,OLB ,0.8477," Champagnat Catholic - Hialeah (Hialeah, FL)      ","['Tulane', 'Alabama', 'Arkansas', 'Baylor', 'Florida State', 'Georgia', 'Iowa State', 'Louisville', 'Miami', 'Michigan State', 'NC State', 'Pittsburgh', 'Tennessee', 'Texas A&M', 'USF', 'Utah', 'West Virginia', 'Georgia Tech']",FL
Adonis Friloux,https://247sports.com/player/adonis-friloux-46058743,DT ,0.8452," Hahnville (Boutte, LA)    ","['Tulane', 'Houston', 'Austin Peay', 'Colorado State', 'Louisiana', 'Louisiana-Monroe', 'Memphis', 'Nicholls State', 'Ole Miss', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Southern University', 'Toledo', 'Troy', 'UNLV', 'Texas']",LA
Brandon Brown,https://247sports.com/player/brandon-brown-46037427,DT ,0.8432," Morton Ranch (Katy, TX)    ","['Tulane', 'Boise State', 'Colorado State', 'Hawaii', 'Houston Baptist', 'Incarnate Word', 'Lamar', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Navy', 'New Mexico', 'New Mexico State', 'North Texas', 'Prairie View A&M', 'Southern Miss', 'Toledo', 'UNLV', 'UTEP', 'UTSA', 'Baylor', 'Houston', 'Iowa State', 'Mississippi State', 'Missouri', 'Oklahoma', 'Oklahoma State', 'Purdue', 'TCU', 'Texas Tech']",TX
Michael Pratt,https://247sports.com/player/michael-pratt-46080135,PRO ,0.8417," Deerfield Beach (Deerfield Beach, FL)    ","['Tulane', 'Toledo', 'Bowling Green', 'Brown', 'Buffalo', 'Columbia', 'Cornell', 'Dartmouth', 'Florida Atlantic', 'Harvard', 'Holy Cross', 'Kent State', 'Northern Illinois', 'Western Michigan', 'Yale']",FL
Cornelius Dyson,https://247sports.com/player/cornelius-dyson-46057230,ATH ,0.8402," Kentwood (Kentwood, LA)    ","['Tulane', 'Louisiana', 'Idaho', 'South Alabama', 'Southern Miss']",LA
Noah Taliancich,https://247sports.com/player/noah-taliancich-46083320,SDE ,0.8402," Destrehan (Destrehan, LA)                    ","['Tulane', 'Louisiana', 'Austin Peay', 'Harvard', 'Louisiana Tech', 'Louisiana-Monroe', 'Nicholls State', 'Northwestern State', 'Rice', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Troy', 'UCF', 'SMU', 'Vanderbilt']",LA
Kevaris Hall,https://247sports.com/player/kevaris-hall-46058625,CB ,0.8376," Red Oak (Red Oak, TX)    ","['Tulane', 'Arkansas State', 'Army', 'Austin Peay', 'Coastal Carolina', 'Dartmouth', 'Houston', 'Illinois State', 'Kansas', 'Rutgers', 'Tulsa', 'Texas Tech']",TX
