name,url,position,score,hometown,offers,state
Jacob Kainer,https://247sports.com/player/jacob-kainer-46037897,TE ,0.8432," Tyler J.C.  (Tyler, TX)    ","['Tulsa', 'Central Arkansas', 'Eastern Michigan', 'Indiana State', 'Liberty', 'Louisiana-Monroe', 'Massachusetts', 'Sam Houston State', 'South Alabama', 'Stephen F. Austin', 'USF', 'UTEP', 'Rutgers']",TX
Everitt Rogers,https://247sports.com/player/everitt-rogers-46056615,DT ,0.8336," Ellison (Killeen, TX)    ","['Tulsa', 'New Mexico', 'Stephen F. Austin', 'Texas Southern', 'Baylor', 'Houston', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'SMU', 'TCU']",TX
LJ Wallace,https://247sports.com/player/lj-wallace-46039316,S ,0.8300," Iowa Western C.C. (Council Bluffs, IA)    ",['Tulsa'],IA
Sean O'Keefe,https://247sports.com/player/sean-okeefe-46085241,ATH ,0.8293," San Saba (San Saba, TX)    ",['Tulsa'],TX
Jalen Paxton,https://247sports.com/player/jalen-paxton-46042854,WR ,0.8282," Manvel (Manvel, TX)    ","['Tulsa', 'Abilene Christian', 'Indiana', 'Louisiana Tech', 'SMU', 'Texas State', 'UNLV', 'Utah State', 'Wisconsin', 'Yale']",TX
Roman Fuller,https://247sports.com/player/roman-fuller-46084815,PRO ,0.8267," Decatur (Decatur, TX)    ","['Tulsa', 'Texas State']",TX
Malachai Jones,https://247sports.com/player/malachai-jones-46086473,WR ,0.8204," Westfield (Houston, TX)    ","['Tulsa', 'Abilene Christian', 'Central Arkansas', 'Lafayette', 'Memphis', 'Texas Southern']",TX
Deante Betts,https://247sports.com/player/deante-betts-46096495,OLB ,0.8192," Bowie (Arlington, TX)                  ","['Tulsa', 'Incarnate Word', 'New Mexico', 'Texas State']",TX
Bayne Tryon,https://247sports.com/player/bayne-tryon-46081041,TE ,0.8185," Cy-Fair (Cypress, TX)    ","['Tulsa', 'Prairie View A&M']",TX
Gabe Cantu,https://247sports.com/player/gabe-cantu-46086854,OC ,0.8123," Union (Tulsa, OK)  ",['Tulsa'],OK
Dillon Wade,https://247sports.com/player/dillon-wade-46082888,OG ,0.8053," Cy Falls (Houston, TX)  ","['Tulsa', 'UTEP', 'Arkansas State', 'Grambling State', 'Houston Baptist', 'Incarnate Word', 'Lamar', 'Louisiana', 'Louisiana-Monroe', 'New Mexico State', 'North Texas', 'Prairie View A&M', 'Texas Southern', 'Texas State', 'UNLV', 'Utah State', 'UTSA', 'Wyoming']",TX
Damarco Williams,https://247sports.com/player/damarco-williams-46086831,S ,0.8041," Temple (Temple, TX)    ",['Tulsa'],TX
Kaylon Washington,https://247sports.com/player/kaylon-washington-46086611,CB ,0.8022," North Crowley (Fort Worth, TX)    ",['Tulsa'],TX
Rico Windham,https://247sports.com/player/rico-windham-46086516,CB ,0.8017," Carl Albert (Oklahoma City, OK)    ","['Tulsa', 'Abilene Christian', 'Central Oklahoma', 'East Central University', 'Emporia State', 'Northeastern State', 'Northwestern Oklahoma State', 'Southwestern Oklahoma State']",OK
Haydon Grant,https://247sports.com/player/haydon-grant-46086853,WDE ,0.7959," Owasso (Owasso, OK)  ","['Tulsa', 'Northern Iowa', 'Western Illinois']",OK
Jaden Muskrat,https://247sports.com/player/jaden-muskrat-46086739,DT ,0.7935," Bentonville West (Centerton, AR)    ",['Tulsa'],AR
Tyler Tipton,https://247sports.com/player/tyler-tipton-46095056,K ,0.7396," Little Elm (Little Elm, TX)  ",['Tulsa'],TX
James Middleton,https://247sports.com/player/james-middleton-46097573,OG ,NA," Jones County J.C. (Ellisville, MS)  ",['Tulsa'],MS
Tyquez Hampton,https://247sports.com/player/tyquez-hampton-45902,WR ,0.8291," Coffeyville C.C. (Coffeyville, KS)      ","['Tulsa', 'Bethune-Cookman', 'Southern University']",KS
Jaylon Shelton,https://247sports.com/player/jaylon-shelton-46086512,ATH ,0.8072," West Rusk (New London, TX)  ","['Tulsa', 'Louisiana-Monroe']",TX
