name,url,position,score,hometown,offers,state
Logan Loya,https://247sports.com/player/logan-loya-46047339,WR ,0.8958," St. John Bosco (Bellflower, CA)                    ",,CA
John Humphrey,https://247sports.com/player/john-humphrey-46079589,CB ,0.8884," John Muir (Pasadena, CA)                    ",,CA
Choe Bryant-Strother,https://247sports.com/player/choe-bryant-strother-46052981,ILB ,0.8830," Greater Atlanta Christian School (Norcross, GA)                    ",,GA
Mitchell Agude,https://247sports.com/player/mitchell-agude-46079579,WDE ,0.8797," Riverside C.C. (Riverside, CA)                    ",,CA
Kenny Mestidor,https://247sports.com/player/kenny-mestidor-46051999,WDE ,0.8721," St. Thomas More (Oakdale, CT)                    ",,CT
Caleb Johnson,https://247sports.com/player/caleb-johnson-46056538,ILB ,0.8669," Fullerton College (Fullerton, CA)                    ",,CA
Myles Jackson,https://247sports.com/player/myles-jackson-46056600,WDE ,0.8618," Mill Creek (Hoschton, GA)                    ",,GA
Damian Sellers,https://247sports.com/player/damian-sellers-46050068,OLB ,0.9224," Saguaro (Scottsdale, AZ)                  ","['UCLA', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Florida', 'LSU', 'Memphis', 'Michigan', 'Oklahoma', 'Oregon', 'Penn State', 'Purdue', 'Tennessee', 'Texas', 'USC', 'Utah', 'Washington', 'Wisconsin']",AZ
Parker McQuarrie,https://247sports.com/player/parker-mcquarrie-46054816,PRO ,0.9077," St. Paul's School (Concord, NH)                  ","['UCLA', 'Boston College', 'Massachusetts', 'Miami', 'Michigan', 'Minnesota', 'Missouri', 'Pittsburgh', 'Purdue', 'Rhode Island', 'Rutgers', 'Wisconsin', 'North Carolina', 'Ohio State', 'Penn State', 'Washington']",NH
Jonathan Vaughns,https://247sports.com/player/jonathan-vaughns-46047340,OLB ,0.8937," St. John Bosco (Bellflower, CA)                  ","['UCLA', 'Arizona', 'LSU', 'Oregon State', 'Penn State', 'USC']",CA
Matt Sykes,https://247sports.com/player/matt-sykes-46047043,WR ,0.8843," St Louis School (Honolulu, HI)                    ","['UCLA', 'California', 'Brigham Young', 'Dartmouth', 'Dixie State', 'Fresno State', 'Harvard', 'Hawaii', 'Kansas State', 'Navy', 'Nebraska', 'Oregon', 'Princeton', 'Utah', 'Wisconsin', 'Yale', 'Colorado State', 'Nevada', 'Notre Dame', 'Stanford', 'Washington']",HI
Jay Max Jacobsen,https://247sports.com/player/jay-max-jacobsen-46059397,SDE ,0.8681," Temecula Valley (Temecula, CA)                  ","['UCLA', 'San Diego State', 'San Jose State', 'Utah State', 'California', 'Fresno State']",CA
Jake Newman,https://247sports.com/player/jake-newman-46054045,S ,0.8585," St. John Bosco (Bellflower, CA)                  ","['UCLA', 'Colorado', 'Duke', 'Louisville', 'Penn State', 'Wisconsin']",CA
Bruno Fina,https://247sports.com/player/bruno-fina-46082210,OG ,0.8559," Salpointe Catholic (Tucson, AZ)                  ","['UCLA', 'Arizona', 'Abilene Christian', 'Arizona State', 'Boston College', 'Nevada', 'Oregon State', 'USC', 'Vanderbilt', 'Washington State', 'Yale', 'Brown']",AZ
DJ Warnell,https://247sports.com/player/dj-warnell-46049997,CB ,0.8520," Dickinson (Dickinson, TX)                  ","['UCLA', 'Arizona', 'Boston College', 'Houston Baptist', 'Louisiana', 'Massachusetts', 'New Mexico State', 'Purdue', 'Rice', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas State', 'Texas Tech', 'Tulsa', 'UNLV', 'Utah']",TX
Patrick Selna,https://247sports.com/player/patrick-selna-46081611,OT ,0.8511," Piedmont (Oakland, CA)                  ","['UCLA', 'Tulane', 'Air Force', 'Hawaii', 'Nevada', 'New Mexico State', 'San Jose State', 'Wyoming', 'California']",CA
Ioholani Raass,https://247sports.com/player/ioholani-raass-46079924,WDE ,0.8484," Skyridge (Lehi, UT)                  ","['UCLA', 'Brigham Young', 'Colorado', 'Utah State', 'Washington State', 'Boise State', 'UNLV', 'Utah']",UT
Jeremiah Trojan,https://247sports.com/player/jeremiah-trojan-46051087,ILB ,0.8402," Hamilton (Chandler, AZ)                    ","['UCLA', 'Abilene Christian', 'Air Force', 'Army', 'Ball State', 'Colgate', 'Columbia', 'Cornell', 'Dartmouth', 'Georgetown', 'Navy', 'New Mexico State', 'Northern Arizona', 'Pennsylvania', 'Princeton', 'Utah State', 'Yale', 'Arizona State', 'Georgia', 'Georgia State', 'Wisconsin']",AZ
Luke Akers,https://247sports.com/player/luke-akers-46082154,K ,0.8317," Ravenwood (Brentwood, TN)                  ","['UCLA', 'Yale', 'Louisville']",TN
Joquarri Price,https://247sports.com/player/joquarri-price-46084207,OLB ,0.8262," Desert Ridge (Mesa, AZ)                  ","['UCLA', 'San Diego State', 'Rice']",AZ
