name,url,position,score,hometown,offers,state
Dylan Downing,https://247sports.com/player/dylan-downing-45573225,RB ,0.8287," Carmel (Carmel, IN)    ",,IN
Jeremiah Houston,https://247sports.com/player/jeremiah-houston-46079279,CB ,0.8045," Long Beach City College (Long Beach, CA)  ",,CA
Kue Olotoa,https://247sports.com/player/kue-olotoa-46099322,OLB ,NA," Riverside C.C. (Riverside, CA)                 ",,CA
Brennon Scott,https://247sports.com/player/brennon-scott-46042133,ILB ,0.8791," Bishop Dunne (Dallas, TX)    ","['UNLV', 'Kansas', 'USC', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Colorado', 'Florida', 'Georgia', 'Georgia Tech', 'Houston', 'Indiana', 'Iowa', 'Kansas State', 'Kentucky', 'LSU', 'Michigan State', 'Minnesota', 'Mississippi State', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Ole Miss', 'Oregon', 'Purdue', 'SMU', 'Syracuse', 'Texas', 'Texas A&M', 'UTSA']",TX
LeShaun Bell,https://247sports.com/player/leshaun-bell-46081091,WDE ,0.8585," Calabasas (Calabasas, CA)    ","['UNLV', 'Arizona State', 'Washington State', 'Colorado State', 'Fresno State', 'Hawaii', 'Nevada', 'New Mexico', 'Oregon State', 'San Jose State', 'Washington State', 'Wyoming', 'Brigham Young', 'California', 'Colorado', 'Kansas State', 'Notre Dame', 'Oregon', 'Texas', 'UCLA', 'Washington']",CA
Alex Lines,https://247sports.com/player/alex-lines-46058321,TE ,0.8498," Higley (Gilbert, AZ)  ","['UNLV', 'Boise State', 'Brigham Young', 'Colorado', 'Iowa State', 'Louisville', 'Memphis', 'Northern Arizona', 'Oregon State', 'Syracuse', 'Utah', 'Utah State']",AZ
Alven Johnson,https://247sports.com/player/alven-johnson-46082401,DT ,0.8498," Thrive Academy (Baton Rouge, LA)                  ","['UNLV', 'Baylor', 'Louisiana', 'Louisiana Tech', 'UAB', 'Virginia', 'Tulane']",LA
Kyle Williams,https://247sports.com/player/kyle-williams-46055929,ATH ,0.8399," St Monica Catholic (Santa Monica, CA)    ","['UNLV', 'Colorado State', 'San Diego State', 'San Jose State', 'Nevada', 'New Mexico', 'Northern Arizona', 'Utah', 'William & Mary', 'Cal Poly', 'California', 'Fresno State', 'Nebraska', 'Oregon', 'San Jose State', 'Utah State', 'UTEP']",CA
Doug Brumfield,https://247sports.com/player/doug-brumfield-46041590,PRO ,0.8376," Junipero Serra (Gardena, CA)    ","['UNLV', 'Kansas', 'Nevada', 'Rutgers', 'Utah', 'William & Mary', 'California', 'Colorado', 'Illinois', 'UCLA', 'USC', 'Washington']",CA
Jalen Dixon,https://247sports.com/player/jalen-dixon-46058831,WDE ,0.8349," O'Dea (Seattle, WA)    ","['UNLV', 'Eastern Washington', 'Montana State', 'Idaho', 'Nevada', 'Portland State']",WA
Kaleo Ballungay,https://247sports.com/player/kaleo-ballungay-46080241,TE ,0.8288," Kimball (Tracy, CA)    ","['UNLV', 'California', 'Fresno State', 'Kansas State', 'Nevada', 'Oregon State', 'San Diego State', 'Utah State', 'Wyoming', 'Yale', 'Oregon', 'UCLA']",CA
Ricky Johnson,https://247sports.com/player/ricky-johnson-46081322,S ,0.8248," Cy Falls (Houston, TX)    ","['UNLV', 'UTEP', 'Abilene Christian', 'Air Force', 'Army', 'Fordham', 'Grambling State', 'Incarnate Word', 'Lamar', 'Louisiana Tech', 'Navy', 'Northern Iowa', 'Prairie View A&M', 'Rice', 'Texas Southern', 'UNLV', 'Utah State', 'SMU', 'TCU', 'Texas Tech']",TX
Waisale Muavesi,https://247sports.com/player/waisale-muavesi-46057174,DT ,0.8247," Timpview (Provo, UT)    ","['UNLV', 'Washington State', 'Idaho', 'Northern Arizona', 'UCLA', 'Brigham Young', 'California', 'Colorado', 'Utah', 'Utah State', 'Washington']",UT
Marcus Miller,https://247sports.com/player/marcus-miller-46077138,OG ,0.8236," Castro Valley (Castro Valley, CA)    ","['UNLV', 'Hawaii', 'Nevada', 'Sacramento State', 'San Jose State', 'Utah State', 'Wyoming', 'Arizona State', 'California', 'Oregon', 'UCLA']",CA
Alani Makihele,https://247sports.com/player/alani-makihele-46080238,OG ,0.8194," West (Anchorage, AK)    ","['UNLV', 'Hawaii', 'Idaho', 'Montana State', 'Morgan State', 'Oregon State']",AK
Princeton Lollar Jr.,https://247sports.com/player/princeton-lollar-jr-93515,ILB ,0.8175," Hutchinson C.C. (Hutchinson, KS)    ",['UNLV'],KS
Nohl Williams,https://247sports.com/player/nohl-williams-46080418,CB ,0.8173," Pacifica (Oxnard, CA)    ","['UNLV', 'Eastern Washington', 'Montana State', 'Northern Arizona', 'Sacramento State', 'San Jose State', 'South Dakota', 'UC Davis']",CA
Kalvin Souders,https://247sports.com/player/kalvin-souders-46049886,WR ,0.8152," Central Catholic (Portland, OR)  ","['UNLV', 'Idaho State', 'Navy']",OR
Tiger Shanks,https://247sports.com/player/tiger-shanks-46048396,OT ,0.8123," Lake Oswego (Lake Oswego, OR)    ","['UNLV', 'Idaho', 'Idaho State', 'Sacramento State', 'San Jose State', 'Brown', 'Harvard', 'Oregon', 'Oregon State', 'Pennsylvania', 'Princeton', 'UNLV', 'Washington State', 'Yale']",OR
Tyson Player,https://247sports.com/player/tyson-player-46094839,S ,0.8112," Ridge View (Columbia, SC)    ","['UNLV', 'Howard', 'Air Force', 'Army', 'Campbell', 'Charlotte', 'Chattanooga', 'Colgate', 'East Tennessee State', 'Fordham', 'Furman', 'Gardner-Webb', 'Georgia State', 'Holy Cross', 'Kent State', 'Lehigh', 'Mercer', 'Sacred Heart', 'Savannah State', 'South Carolina State', 'Tennessee Tech', 'Valparaiso', 'William & Mary', 'Wofford', 'Georgia State', 'Tennessee', 'Western Carolina']",SC
Jeminai Leuta-Ulu,https://247sports.com/player/jeminai-leuta-ulu-46083120,OG ,0.8079," Servite (Anaheim, CA)    ","['UNLV', 'San Jose State', 'South Dakota', 'UAB']",CA
Zyell Griffin,https://247sports.com/player/zyell-griffin-46080720,WR ,0.8058," Evergreen (Vancouver, WA)    ","['UNLV', 'Eastern Washington', 'Utah State']",WA
