name,url,position,score,hometown,offers,state
Gary Bryant Jr.,https://247sports.com/player/gary-bryant-jr-46041350,WR ,0.9769," Centennial (Corona, CA)                    ",,CA
Josh Jackson,https://247sports.com/player/josh-jackson-46048069,WR ,0.8830," Narbonne (Harbor City, CA)                    ",,CA
Kobe Pepe,https://247sports.com/player/kobe-pepe-46047201,DT ,0.8734," St. John Bosco (Bellflower, CA)                    ",,CA
Parker Lewis,https://247sports.com/player/parker-lewis-46057232,K ,0.8183," Saguaro (Scottsdale, AZ)                 ",,AZ
Jonah Monheim,https://247sports.com/player/jonah-monheim-46079348,OG ,0.8925," Moorpark (Moorpark, CA)                  ","['USC', 'Oklahoma', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Columbia', 'Dartmouth', 'Harvard', 'Indiana', 'Kansas State', 'Michigan', 'Michigan State', 'Nevada', 'Notre Dame', 'Oregon', 'Oregon State', 'Penn State', 'Pittsburgh', 'Princeton', 'San Diego State', 'Stanford', 'TCU', 'Utah', 'Vanderbilt', 'Virginia', 'Washington', 'Washington State', 'Yale', 'UCLA']",CA
Tuli Tuipulotu,https://247sports.com/player/tuli-tuipulotu-46059126,DT ,0.8893," Lawndale (Lawndale, CA)    ","['USC', 'California', 'Nebraska', 'Arizona State', 'Boise State', 'Kansas State', 'Oregon', 'Oregon State', 'Portland State', 'Stanford', 'Tennessee', 'UCLA', 'Utah', 'Vanderbilt', 'Wisconsin']",CA
Jack Yary,https://247sports.com/player/jack-yary-46052147,TE ,0.8884," Murrieta Valley (Murrieta, CA)    ","['USC', 'Washington', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Colorado State', 'Nebraska', 'North Carolina', 'Oklahoma State', 'Oregon', 'Oregon State', 'Tennessee', 'UCLA', 'Utah']",CA
Jamar Sekona,https://247sports.com/player/jamar-sekona-46048560,DT ,0.8784," Marin  Catholic (Greenbrae, CA)                  ","['USC', 'Arizona', 'Arizona State', 'California', 'Colorado', 'Kansas State', 'Nebraska', 'Nevada', 'Oregon', 'Oregon State', 'San Jose State', 'UCLA', 'Utah', 'Washington']",CA
Courtland Ford,https://247sports.com/player/courtland-ford-87847,OT ,0.8662," Cedar Hill (Cedar Hill, TX)                  ","['USC', 'Purdue', 'SMU', 'LSU', 'Alabama', 'Arizona', 'Baylor', 'Boston College', 'Colorado', 'Florida State', 'Georgia', 'Indiana', 'Iowa State', 'Kansas State', 'Minnesota', 'Nebraska', 'Oklahoma State', 'Ole Miss', 'Oregon', 'TCU', 'Tennessee', 'Texas Tech', 'Utah']",TX
Caadyn Stephen,https://247sports.com/player/caadyn-stephen-46057048,OT ,0.8647," Camas (Camas, WA)                  ","['USC', 'Arizona', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Hawaii', 'Liberty', 'Nevada', 'Oregon State', 'Utah State', 'Washington State', 'Oregon', 'UCLA', 'Utah', 'Washington']",WA
Casey Collier,https://247sports.com/player/casey-collier-46080009,OT ,0.8506," Barbers Hill (MONT BELVIEU, TX)                  ","['USC', 'Minnesota', 'Arizona', 'Arkansas State', 'Florida State', 'Houston', 'Indiana', 'Kansas', 'Louisiana-Monroe', 'Memphis', 'Missouri', 'North Texas', 'SMU', 'Texas State', 'Texas Tech', 'Tulane', 'UTEP']",TX
Andrew Milek,https://247sports.com/player/andrew-milek-46082478,OT ,0.8464," Brophy College Preparatory (Phoenix, AZ)                  ","['USC', 'Boise State', 'Colorado', 'Colorado State', 'Fresno State', 'New Mexico State', 'Northern Arizona', 'San Diego State', 'UNLV', 'Utah State', 'Yale']",AZ
Andres Dewerk,https://247sports.com/player/andres-dewerk-46056747,OT ,0.8452," Los Gatos (Los Gatos, CA)                  ","['USC', 'Arizona', 'Boston College', 'Colorado', 'Colorado State', 'Fresno State', 'Hawaii', 'Nebraska', 'Nevada', 'Oregon State', 'Sacramento State', 'San Diego State', 'San Jose State', 'UCLA', 'Washington State', 'William & Mary', 'Wyoming', 'Oregon']",CA
