name,url,position,score,hometown,offers,state
Clark Phillips III,https://247sports.com/player/clark-phillips-iii-46038933,CB ,0.9747," La Habra (La Habra, CA)                    ",,CA
Ben Renfro,https://247sports.com/player/ben-renfro-46085131,S ,0.8389," Magnolia (Magnolia, TX)    ",,TX
Van Fillinger,https://247sports.com/player/van-fillinger-46056161,SDE ,0.9279," Corner Canyon (Draper, UT)    ","['Utah', 'Texas', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Kansas State', 'Liberty', 'LSU', 'Michigan', 'Nebraska', 'Ohio State', 'Oregon', 'Tennessee', 'UCLA', 'USC', 'Utah State', 'Vanderbilt', 'Virginia Tech', 'Washington', 'Brigham Young']",UT
Xavier Carlton,https://247sports.com/player/xavier-carlton-46051024,SDE ,0.9063," Juan Diego Catholic (Draper, UT)    ","['Utah', 'Ohio State', 'Arizona', 'Arizona State', 'California', 'Colorado', 'Fresno State', 'Hawaii', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Kentucky', 'LSU', 'Michigan', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Oklahoma State', 'Oregon', 'Oregon State', 'Stanford', 'Tennessee', 'Texas', 'UCLA', 'USC', 'Vanderbilt', 'Virginia', 'Washington', 'Washington State']",UT
Nate Ritchie,https://247sports.com/player/nate-ritchie-46059382,S ,0.8929," Lone Peak (American Fork, UT)    ","['Utah', 'Arizona State', 'UCLA', 'Boise State', 'Brigham Young', 'California', 'Colorado', 'Colorado State', 'Kansas State', 'Stanford', 'USC', 'Utah State', 'Vanderbilt']",UT
Connor O'Toole,https://247sports.com/player/connor-otoole-46084231,TE ,0.8830," La Cueva (Albuquerque, NM)    ","['Utah', 'Arkansas', 'Baylor', 'Washington State', 'Arizona', 'Cincinnati', 'Colorado', 'Florida State', 'Indiana', 'Kansas State', 'LSU', 'Maryland', 'Missouri', 'Nebraska', 'New Mexico', 'Northern Arizona', 'San Diego State', 'TCU', 'Wyoming', 'Boise State', 'California', 'Nevada']",NM
Ty Jordan,https://247sports.com/player/ty-jordan-46049893,APB ,0.8830," West Mesquite (Mesquite, TX)    ","['Utah', 'Tennessee', 'Texas', 'USC', 'Arkansas', 'Baylor', 'Boston College', 'Houston', 'Illinois', 'Illinois State', 'Kansas', 'Mississippi State', 'Missouri', 'Oklahoma State', 'Oregon', 'Purdue', 'SMU', 'Syracuse', 'TCU', 'Texas State', 'Texas Tech', 'UCF', 'Utah State', 'Virginia Tech', 'Wisconsin']",TX
Solatoa Moea'i,https://247sports.com/player/solatoa-moeai-46052629,OT ,0.8810," Punahou (Honolulu, HI)    ","['Utah', 'Arizona State', 'Brigham Young', 'Hawaii', 'Nebraska', 'Oregon', 'Oregon State', 'Syracuse', 'UCF', 'UCLA', 'USC', 'Virginia', 'Washington State']",HI
Keanu Tanuvasa,https://247sports.com/player/keanu-tanuvasa-46053604,DT ,0.8626," Mission Viejo (Mission Viejo, CA)    ","['Utah', 'Oregon State', 'Arizona', 'Boise State', 'Brigham Young', 'Colorado State', 'Hawaii', 'Nevada', 'Pennsylvania', 'San Jose State', 'UCLA', 'Utah State', 'Yale']",CA
Money Parks,https://247sports.com/player/money-parks-46040081,WR ,0.8619," Aledo (Aledo, TX)    ","['Utah', 'Arkansas', 'Houston', 'Illinois', 'Kansas', 'Kansas State', 'Missouri', 'North Texas', 'SMU', 'Texas Tech', 'UTSA', 'Baylor', 'Bowling Green', 'Texas A&M']",TX
