name,url,position,score,hometown,offers,state
Elelyon Noa,https://247sports.com/player/elelyon-noa-46054046,RB ,0.8399," Helix (La Mesa, CA)                 ",,CA
Xavion Steele,https://247sports.com/player/xavion-steele-46079398,CB ,0.8238," Fullerton College (Fullerton, CA)                    ",,CA
James Hansen,https://247sports.com/player/james-hansen-46097225,WDE ,0.7683," Riverside C.C. (Riverside, CA)                ",,CA
Stephen Kotsanlee,https://247sports.com/player/stephen-kotsanlee-46093896,P ,0.7396," ProKick Australia (Australia, AUST)                 ",,AU
John Gentry,https://247sports.com/player/john-gentry-46054715,RB ,0.8647," North Shore (Houston, TX)    ","['Utah State', 'Arkansas', 'Utah', 'Colorado State', 'Hawaii', 'Houston', 'Louisiana', 'New Mexico', 'New Mexico State', 'North Texas', 'Oklahoma State', 'Southern Miss', 'Tennessee', 'Texas State', 'Tulsa', 'UNLV', 'UTEP', 'UTSA', 'Wyoming']",TX
Justin McGriff,https://247sports.com/player/justin-mcgriff-46039182,WR ,0.8600," ASA College (Miami) (North Miami Beach, FL)    ","['Utah State', 'Arkansas', 'Bethune-Cookman', 'Florida Atlantic', 'Massachusetts', 'Old Dominion']",FL
Poukesi Vakauta,https://247sports.com/player/poukesi-vakauta-46054177,DT ,0.8411," Trinity (Euless, TX)    ","['Utah State', 'Hawaii', 'Houston Baptist', 'Kansas State', 'Liberty', 'Louisiana', 'New Mexico State', 'North Texas', 'Northwestern State', 'Tulane']",TX
Luke Marion,https://247sports.com/player/luke-marion-46058646,S ,0.8315," Tualatin (Tualatin, OR)                  ","['Utah State', 'Nevada', 'Oregon', 'Oregon State']",OR
Dahlin Mesake,https://247sports.com/player/dahlin-mesake-46047223,OLB ,0.8302," Bishop Gorman (Las Vegas, NV)                ","['Utah State', 'Brigham Young', 'Florida', 'LSU', 'Mississippi State', 'Missouri', 'New Mexico', 'Oregon', 'UCF', 'UNLV', 'USC', 'Washington']",NV
Broc Lane,https://247sports.com/player/broc-lane-46079540,TE ,0.8154," Perry (Gilbert, AZ)  ","['Utah State', 'Air Force', 'Northern Arizona', 'Weber State', 'Arkansas State', 'Army', 'Bucknell', 'Coastal Carolina', 'Dixie State', 'Eastern Illinois', 'Georgetown', 'New Mexico State', 'Northern Colorado', 'Pennsylvania', 'Southern Utah', 'Boise State']",AZ
Jakob Robinson,https://247sports.com/player/jakob-robinson-46081718,CB ,0.8118," Orem (Orem, UT)  ","['Utah State', 'Brigham Young']",UT
Otto Tia,https://247sports.com/player/otto-tia-46083177,WR ,0.8104," Northridge (Layton, UT)  ","['Utah State', 'Idaho']",UT
Bowen Fjord,https://247sports.com/player/bowen-fjord-46099030,S ,0.7831," Champion (Boerne, TX)    ","['Utah State', 'Angelo State', 'Stephen F. Austin', 'Tarleton State', 'West Texas A&M']",TX
Breaker Mendenhall,https://247sports.com/player/breaker-mendenhall-46098502,ATH ,0.7797," Western Albemarle (Crozet, VA)  ",['Utah State'],VA
Justice Ena,https://247sports.com/player/justice-ena-46097095,OG ,0.7697," Sky View (Smithfield, UT)  ",['Utah State'],UT
Joey Rouly,https://247sports.com/player/joey-rouly-46098612,K ,0.7496," Canyon (Anaheim, CA)  ","['Utah State', 'Sacramento State']",CA
Isaiah Afatasi,https://247sports.com/player/isaiah-afatasi-46081972,RB ,0.8044," Kearns (Salt Lake City, UT)    ","['Utah State', 'Utah']",UT
