name,url,position,score,hometown,offers,state
Willie Eldridge,https://247sports.com/player/willie-eldridge-46049103,RB ,0.8376," Cy Ranch (Cypress, TX)    ","['UTEP', 'Texas Tech', 'Army', 'Brigham Young', 'New Mexico', 'Prairie View A&M', 'Southern Miss', 'Texas Southern', 'Texas State', 'Toledo', 'Utah', 'Utah State', 'Vanderbilt', 'Houston', 'Louisville', 'Oklahoma State', 'TCU', 'Texas', 'Texas A&M', 'UTSA']",TX
Osaiasi Taueli,https://247sports.com/player/osaiasi-taueli-46099256,OLB ,0.8235," Mesa (Mesa, AZ)    ","['UTEP', 'Northern Arizona', 'UNLV']",AZ
Michael Flood,https://247sports.com/player/michael-flood-46099359,OG ,0.8098," Maricopa (Maricopa, AZ)  ",['UTEP'],AZ
Tyrice Knight,https://247sports.com/player/tyrice-knight-46046563,ILB ,0.8094," Independence C.C. (Independence, KS)    ","['UTEP', 'Jacksonville State']",KS
Dresden McIver,https://247sports.com/player/dresden-mciver-46082488,DT ,0.8041," Veterans Memorial (San Antonio, TX)    ","['UTEP', 'Mary Hardin-Baylor', 'Stephen F. Austin']",TX
Ian James,https://247sports.com/player/ian-james-46085648,OT ,0.7940," Aubrey (Aubrey, TX)  ",['UTEP'],TX
Ammon Fifita,https://247sports.com/player/ammon-fifita-46099358,TE ,0.7900," Snow College (Ephraim, UT)  ",['UTEP'],UT
Jacob Moi,https://247sports.com/player/jacob-moi-46041355,OLB ,0.7897," Citrus Valley (Redlands, CA)    ","['UTEP', 'USC']",CA
Dennis Barnes,https://247sports.com/player/dennis-barnes-46097265,CB ,0.7800," Fort Scott C.C. (Fort Scott, KS)  ","['UTEP', 'Akron', 'Hawaii', 'Northern Arizona']",KS
Luke Soto,https://247sports.com/player/luke-soto-46096642,TE ,0.7800," Bakersfield College (Bakersfield, CA)    ","['UTEP', 'San Diego State', 'Portland State', 'Southern Utah', 'Fresno State', 'Massachusetts']",CA
Zach Fryar,https://247sports.com/player/zach-fryar-46099360,TE ,0.7800," New Mexico Military Institute (Roswell, NM)  ",['UTEP'],NM
Khalil Warfield,https://247sports.com/player/khalil-warfield-46085835,ATH ,0.7797," Antonian College Prep (San Antonio, TX)    ","['UTEP', 'Incarnate Word', 'Southern Miss']",TX
Davis Burns,https://247sports.com/player/davis-burns-46086864,S ,0.7797," Coronado (El Paso, TX)    ",['UTEP'],TX
Elijah Robinson,https://247sports.com/player/elijah-robinson-46081577,ILB ,0.7797," Citrus Hill (Perris, CA)  ",['UTEP'],CA
Kelton Moss,https://247sports.com/player/kelton-moss-46094706,DT ,0.7700," Kilgore J.C. (Kilgore, TX)  ","['UTEP', 'Alcorn State', 'Central Arkansas', 'Charlotte', 'Northwestern State', 'Ohio', 'Southeast Missouri State', 'Stephen F. Austin']",TX
Deylon Williams,https://247sports.com/player/deylon-williams-36423,ILB ,0.7700," Independence C.C. (Independence, KS)    ",['UTEP'],KS
Verenzo Holmes,https://247sports.com/player/verenzo-holmes-88914,CB ,0.7700," Northwest Mississippi C.C. (Senatobia, MS)    ",['UTEP'],MS
Keenan Stewart,https://247sports.com/player/keenan-stewart-46097582,DT ,0.7700," Iowa Western C.C. (Council Bluffs, IA)                ",['UTEP'],IA
Jadrian Taylor,https://247sports.com/player/jadrian-taylor-46097580,SDE ,0.7700," Kilgore J.C. (Kilgore, TX)                ",['UTEP'],TX
Tucker Dunbar,https://247sports.com/player/tucker-dunbar-46099365,OG ,0.7700," American River C.C. (Sacramento, CA)  ",['UTEP'],CA
Xavier Simmons,https://247sports.com/player/xavier-simmons-46099013,OLB ,0.7697," Parkland (El Paso, TX)  ",['UTEP'],TX
Azizi Henry,https://247sports.com/player/azizi-henry-46099361,OG ,0.7697," Wylie (Wylie, TX)  ",['UTEP'],TX
Michael Ike,https://247sports.com/player/michael-ike-46098630,DT ,0.7597," Hendrickson (Pflugerville, TX)    ",['UTEP'],TX
Angelo Tejada,https://247sports.com/player/angelo-tejada-46097512,LS ,0.7396," Judson (Converse, TX)  ","['UTEP', 'Texas State']",TX
Sione Tonga'uiha,https://247sports.com/player/sione-tongauiha-46099362,DT ,NA," Tempe (Tempe, AZ)  ",['UTEP'],AZ
Connor Villalpando,https://247sports.com/player/connor-villalpando-46099363,LS ,NA," Goddard (Roswell, NM)  ",['UTEP'],NM
Christian Willis,https://247sports.com/player/christian-willis-46099364,WR ,NA," City College of San Francisco (San Francisco, CA)  ",['UTEP'],CA
Kiante Liggins,https://247sports.com/player/kiante-liggins-46096461,ILB ,0.7991," Andress (El Paso, TX)    ","['UTEP', 'Texas-Permian Basin', 'Western New Mexico']",TX
