name,url,position,score,hometown,offers,state
Allen Horace,https://247sports.com/player/allen-horace-46051652,TE ,0.8673," Crockett (Crockett, TX)    ","['UTSA', 'Arkansas', 'Ole Miss', 'Baylor', 'Houston', 'Louisiana', 'LSU', 'Marshall', 'Maryland', 'Nebraska', 'Oklahoma State', 'Pittsburgh', 'Texas Tech']",TX
Isaiah Davis,https://247sports.com/player/isaiah-davis-46086605,WR ,0.8549," Pebble Hills (El Paso, TX)    ","['UTSA', 'UTEP']",TX
Asyrus Simon,https://247sports.com/player/asyrus-simon-46055447,WDE ,0.8397," Atascocita (Humble, TX)    ","['UTSA', 'Colorado State', 'Houston', 'Texas State', 'Tulsa', 'Utah State']",TX
Walker Baty,https://247sports.com/player/walker-baty-46081552,DT ,0.8341," Liberty Hill (Liberty Hill, TX)    ","['UTSA', 'Abilene Christian', 'Fordham', 'Incarnate Word', 'Louisiana Tech', 'Stephen F. Austin']",TX
Jamal Ligon,https://247sports.com/player/jamal-ligon-46049208,SDE ,0.8336," Robert E Lee (Tyler, TX)    ","['UTSA', 'North Texas', 'Alcorn State', 'Arkansas State', 'Army', 'Houston Baptist', 'Illinois State', 'Nevada', 'New Mexico State', 'Texas Southern', 'Texas State', 'Arkansas', 'Oklahoma State', 'SMU', 'Texas']",TX
Monte Williams,https://247sports.com/player/monte-williams-46083515,OC ,0.8286," Horn (Mesquite, TX)    ","['UTSA', 'New Mexico', 'New Mexico State', 'Abilene Christian', 'Alcorn State', 'Central Arkansas', 'Houston Baptist', 'Lamar', 'McNeese State', 'Northwestern State', 'Prairie View A&M', 'Tennessee State', 'Texas State']",TX
Kaedric Cobbs,https://247sports.com/player/kaedric-cobbs-46040505,RB ,0.8282," Guyer (Denton, TX)    ","['UTSA', 'Abilene Christian', 'Air Force', 'Army', 'Connecticut', 'Cornell', 'Dartmouth', 'Furman', 'Georgetown', 'Navy', 'San Diego State', 'Tulane', 'William & Mary', 'Houston', 'SMU']",TX
Xavier Spencer,https://247sports.com/player/xavier-spencer-46093551,CB ,0.8281," Judson (Converse, TX)    ","['UTSA', 'UTEP', 'Houston', 'Kansas State', 'Louisiana Tech', 'SMU', 'TCU', 'Utah']",TX
Ernesto Almaraz,https://247sports.com/player/ernesto-almaraz-46098306,OG ,0.8208," East Los Angeles College (Monterey Park, CA)                  ",['UTSA'],CA
Avery Morris,https://247sports.com/player/avery-morris-46082060,OLB ,0.8198," Atascocita (Humble, TX)    ","['UTSA', 'Colorado State', 'Lamar', 'Louisiana', 'Louisiana-Monroe', 'Minnesota', 'New Mexico State', 'Tennessee State', 'Texas Southern', 'Tulane', 'Tulsa', 'UT Martin']",TX
Jaylon Lott,https://247sports.com/player/jaylon-lott-46050913,RB ,0.8198," Hebron (Carrollton, TX)    ","['UTSA', 'Abilene Christian', 'Houston Baptist', 'Navy', 'Texas Southern']",TX
Makai Hart,https://247sports.com/player/makai-hart-46098257,OG ,0.8162," Trinity Valley C.C. (Athens, TX)    ","['UTSA', 'Middle Tennessee State', 'Western Kentucky', 'Arkansas State', 'Arkansas-Pine Bluff', 'Colorado State', 'Illinois State', 'Incarnate Word', 'Lamar', 'Nicholls State', 'Northwestern State', 'South Alabama', 'Texas State', 'UAB', 'Sam Houston State']",TX
Dan Dishman,https://247sports.com/player/dan-dishman-46083628,TE ,0.8160," Clear Falls (League City, TX)    ","['UTSA', 'Air Force', 'Texas State']",TX
Cameron Peters,https://247sports.com/player/cameron-peters-46080756,PRO ,0.8105," Stafford (Stafford, TX)    ","['UTSA', 'Texas Southern']",TX
Donyai Taylor,https://247sports.com/player/donyai-taylor-46085654,ATH ,0.7952," Shiner (Shiner, TX)  ",['UTSA'],TX
Everett Ornstein,https://247sports.com/player/everett-ornstein-46086387,K ,0.7946," Langham Creek (Houston, TX)    ",['UTSA'],TX
