name,url,position,score,hometown,offers,state
De'Rickey Wright,https://247sports.com/player/derickey-wright-46078869,ATH ,0.8884," Gadsden City (Gadsden, AL)                  ","['Vanderbilt', 'Ole Miss', 'Alabama', 'Duke', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Kentucky', 'LSU', 'Miami', 'Mississippi State', 'Nebraska', 'Notre Dame', 'South Alabama', 'South Carolina', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Troy', 'UAB', 'Virginia', 'Virginia Tech']",AL
Donovan Kaufman,https://247sports.com/player/donovan-kaufman-46079718,S ,0.8862," Archbishop Rummel (Metairie, LA)    ","['Vanderbilt', 'Colorado', 'Florida State', 'Memphis', 'Ole Miss', 'Arkansas State', 'Army', 'Baylor', 'Boston College', 'Houston Baptist', 'Liberty', 'Louisiana-Monroe', 'Nicholls State', 'Northwestern State', 'South Alabama', 'Southern Miss', 'Southern University', 'Troy', 'Tulane', 'UAB', 'Arkansas']",LA
Kevo Wesley,https://247sports.com/player/kevo-wesley-46076634,OC ,0.8788," Curie Metropolitan (Chicago, IL)    ","['Vanderbilt', 'Boston College', 'Arizona', 'Ball State', 'Bowling Green', 'Cincinnati', 'Eastern Michigan', 'Florida Atlantic', 'Illinois', 'Illinois State', 'Iowa', 'Iowa State', 'Kansas', 'Louisville', 'Michigan State', 'Northwestern', 'Purdue', 'Southern Miss', 'Syracuse', 'Temple', 'Toledo', 'Tulane', 'Washington State', 'Western Michigan', 'Ball State', 'Kansas', 'Kansas State', 'Michigan State', 'Nebraska', 'Northwestern']",IL
Ken Seals,https://247sports.com/player/ken-seals-89337,PRO ,0.8776," Weatherford (Weatherford, TX)    ","['Vanderbilt', 'Boston College', 'Cincinnati', 'Florida Atlantic', 'Kansas', 'Minnesota', 'Montana State', 'NC State', 'Nevada', 'Princeton', 'Rutgers', 'UTEP', 'Georgia', 'Houston', 'North Carolina', 'Oklahoma', 'Oklahoma State', 'SMU', 'TCU', 'Texas', 'Texas Tech']",TX
Michael Wright,https://247sports.com/player/michael-wright-46035927,DUAL ,0.8766," Woodward Academy (Atlanta, GA)    ","['Vanderbilt', 'Northwestern', 'UCF', 'Arkansas', 'Boston College', 'Bowling Green', 'Cincinnati', 'Coastal Carolina', 'Columbia', 'Eastern Michigan', 'FIU', 'Georgia Southern', 'Georgia State', 'Harvard', 'Illinois', 'Jackson State', 'Kentucky', 'Liberty', 'Louisville', 'Minnesota', 'Morehouse College', 'North Carolina A&T', 'Ole Miss', 'South Alabama', 'Tulane', 'Utah', 'Western Kentucky', 'Yale', 'Clemson', 'Georgia', 'Georgia Tech', 'Vanderbilt']",GA
Diego LaMonica,https://247sports.com/player/diego-lamonica-46057192,TE ,0.8613," Gulliver Prep (Miami, FL)    ","['Vanderbilt', 'Charlotte', 'FIU', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Jacksonville', 'Marshall', 'Maryland', 'Navy', 'Northern Illinois', 'Ohio', 'Oregon', 'South Carolina', 'Southern Miss', 'Syracuse', 'Tulane', 'UCF', 'UNLV', 'USF', 'UTSA', 'Virginia', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Florida State', 'Massachusetts', 'Miami']",FL
Will Sheppard,https://247sports.com/player/will-sheppard-46085034,WR ,0.8578," Mandeville (Mandeville, LA)    ","['Vanderbilt', 'Alcorn State', 'Army', 'Grambling State', 'McNeese State', 'Nicholls State', 'Northwestern State', 'Richmond', 'South Alabama', 'Southeastern Louisiana', 'Southern University', 'Texas State', 'UTSA']",LA
Logan Kyle,https://247sports.com/player/logan-kyle-46059510,WR ,0.8552," Memorial (Tomball, TX)    ","['Vanderbilt', 'Boston College', 'Cal Poly', 'Columbia', 'Cornell', 'Dartmouth', 'Eastern Michigan', 'Georgia Tech', 'Illinois', 'Iowa State', 'Kansas', 'Louisiana', 'North Texas', 'Rice', 'Rutgers', 'SMU', 'Syracuse', 'Toledo', 'Tulane', 'Tulsa', 'Utah', 'Yale']",TX
Rocko Griffin,https://247sports.com/player/rocko-griffin-46079390,RB ,0.8497," South Effingham (Guyton, GA)    ","['Vanderbilt', 'Air Force', 'Akron', 'Army', 'Charlotte', 'Chattanooga', 'Coastal Carolina', 'East Carolina', 'East Tennessee State', 'Eastern Kentucky', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Georgia State', 'Lehigh', 'Louisville', 'Southern Miss', 'Troy', 'Tulane', 'UNLV', 'UNLV', 'Virginia', 'Western Carolina', 'Campbell', 'South Carolina']",GA
Bradley Ashmore,https://247sports.com/player/bradley-ashmore-46058055,OT ,0.8485," Duncan U. Fletcher (Neptune Beach, FL)    ","['Vanderbilt', 'Appalachian State', 'Auburn', 'Brown', 'Central Michigan', 'Cincinnati', 'FIU', 'Georgia Tech', 'Illinois', 'Indiana', 'Louisville', 'Memphis', 'Missouri', 'NC State', 'Purdue', 'Rutgers', 'Tulane', 'UAB', 'USF', 'Virginia', 'West Virginia', 'Western Kentucky']",FL
