name,url,position,score,hometown,offers,state
Andrew Gentry,https://247sports.com/player/andrew-gentry-46050894,OT ,0.9630," Columbine (Littleton, CO)    ","['Virginia', 'Brigham Young', 'Michigan', 'Notre Dame', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'California', 'Colorado', 'Colorado State', 'Florida', 'Kansas', 'Kansas State', 'LSU', 'Miami', 'Missouri', 'Nebraska', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Penn State', 'Stanford', 'Tennessee', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Washington State', 'Wisconsin', 'Arizona State', 'Clemson', 'Duke', 'Georgia']",CO
Jonathan Horton,https://247sports.com/player/jonathan-horton-46085249,WDE ,0.8983," Scotlandville Magnet (Baton Rouge, LA)    ","['Virginia', 'Baylor', 'Utah', 'Arizona', 'Mississippi State', 'Ole Miss', 'SMU', 'Southeastern Louisiana', 'Tennessee', 'Tulane']",LA
Brandon Williams,https://247sports.com/player/brandon-williams-46055966,OLB ,0.8862," Isidore Newman (New Orleans, LA)    ","['Virginia', 'Arkansas', 'Boston College', 'Colorado', 'Florida', 'Houston', 'Kansas', 'Kentucky', 'Miami', 'Oklahoma State', 'Purdue', 'SMU', 'Southern Miss', 'Southern University', 'Tennessee', 'Texas A&M', 'Tulane', 'Alabama', 'LSU']",LA
Elijah Gaines,https://247sports.com/player/elijah-gaines-46078864,S ,0.8776," Episcopal (Alexandria, VA)    ","['Virginia', 'Penn State', 'Boston College', 'Duke', 'East Carolina', 'Georgia Tech', 'Michigan', 'North Carolina', 'Notre Dame', 'Pittsburgh', 'Purdue', 'Rutgers', 'Virginia Tech', 'Wake Forest', 'Wisconsin']",VA
Donovan Johnson,https://247sports.com/player/donovan-johnson-46055724,S ,0.8647," Helen Cox (Harvey, LA)    ","['Virginia', 'Arizona', 'Arkansas', 'Arizona State', 'Baylor', 'Colorado', 'FIU', 'Georgia Tech', 'Houston', 'Indiana', 'Kansas', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Miami', 'Oklahoma', 'Rutgers', 'SMU', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Southern University', 'Texas Tech', 'Tulane', 'UNLV', 'Utah', 'Utah State', 'UTSA', 'West Virginia']",LA
Jahmeer Carter,https://247sports.com/player/jahmeer-carter-46048619,DT ,0.8633," Archbishop Spalding (Severn, MD)    ","['Virginia', 'Boston College', 'Howard', 'Temple', 'Maryland', 'Michigan', 'Ohio State', 'Penn State', 'Rutgers']",MD
Olasunkonmi Agunloye,https://247sports.com/player/olasunkonmi-agunloye-46084247,SDE ,0.8593," Lindenhurst (Lindenhurst, NY)    ","['Virginia', 'UCLA', 'Air Force', 'Army', 'Boston College', 'Connecticut', 'Dartmouth', 'Elon', 'Fordham', 'Holy Cross', 'Indiana', 'Massachusetts', 'Monmouth', 'New Hampshire', 'Pennsylvania', 'Pittsburgh', 'Rutgers', 'Stony Brook', 'Syracuse', 'Villanova', 'Harvard', 'Navy', 'Penn State', 'Yale']",NY
Lavel Davis,https://247sports.com/player/lavel-davis-46056594,WR ,0.8519," Woodland (Dorchester, SC)  ","['Virginia', 'Appalachian State', 'Coastal Carolina', 'Georgia Tech', 'Liberty', 'Oregon', 'Western Kentucky', 'Clemson', 'East Carolina', 'NC State', 'South Carolina', 'Virginia Tech']",SC
Joshua Rawlings,https://247sports.com/player/joshua-rawlings-46054410,TE ,0.8506," Woodland Hills (Pittsburgh, PA)    ","['Virginia', 'Iowa State', 'Minnesota', 'Pittsburgh', 'Akron', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'East Carolina', 'Howard', 'Indiana', 'Kent State', 'Liberty', 'Marshall', 'Maryland', 'Massachusetts', 'Ohio', 'Syracuse', 'Temple', 'Toledo', 'Vanderbilt', 'West Virginia', 'Western Michigan', 'William & Mary', 'Yale', 'FIU', 'Virginia Tech']",PA
Jestus Johnson,https://247sports.com/player/jestus-johnson-46056369,OC ,0.8484," Gonzaga  (Washington, DC)    ","['Virginia', 'Cincinnati', 'East Carolina', 'Howard', 'Massachusetts', 'Old Dominion', 'Rutgers', 'West Virginia', 'Virginia Tech']",DC
