name,url,position,score,hometown,offers,state
Derrell Bailey Jr.,https://247sports.com/player/derrell-bailey-jr-46059447,SDE ,0.8484," Greenback School (Greenback, TN)      ",,TN
Marco Lee,https://247sports.com/player/marco-lee-46094681,RB ,0.8467," Coffeyville C.C. (Coffeyville, KS)   ",,KS
Parker Clements,https://247sports.com/player/parker-clements-46081394,OT ,0.8431," Lugoff-Elgin (Lugoff, SC)      ",,SC
Alec Bryant,https://247sports.com/player/alec-bryant-46050065,WDE ,0.8958," Shadow Creek (Pearland, TX)                    ","['Virginia Tech', 'LSU', 'Arizona', 'Arkansas', 'Colorado', 'Georgia Tech', 'Houston', 'Illinois', 'Indiana', 'Kansas', 'Kansas State', 'Miami', 'Michigan State', 'Nebraska', 'Oklahoma', 'Oklahoma State', 'Oregon', 'SMU', 'TCU', 'Texas Tech', 'Tulsa', 'USC', 'Utah State', 'Vanderbilt']",TX
Robert Wooten,https://247sports.com/player/robert-wooten-46048118,WDE ,0.8721," Stafford (Stafford, TX)    ","['Virginia Tech', 'Arizona', 'Missouri', 'SMU', 'Texas Tech', 'Arizona State', 'Arkansas', 'California', 'Colorado State', 'Houston', 'Houston Baptist', 'Kansas', 'Louisiana', 'Louisiana Tech', 'North Texas', 'Prairie View A&M', 'Syracuse', 'Tulane', 'Tulsa', 'UNLV', 'Utah', 'Utah State', 'Vanderbilt', 'Wisconsin', 'Texas']",TX
Tyree Saunders,https://247sports.com/player/tyree-saunders-46079969,WR ,0.8614," First Coast (Jacksonville, FL)    ","['Virginia Tech', 'East Carolina', 'USF', 'Akron', 'Appalachian State', 'Bowling Green', 'Buffalo', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'FIU', 'Florida Atlantic', 'Iowa State', 'Kansas State', 'Kent State', 'Marshall', 'Mercer', 'Middle Tennessee State', 'Savannah State', 'Southern Miss', 'Southern University', 'Toledo', 'Troy', 'UAB', 'Western Kentucky']",FL
Justin Beadles,https://247sports.com/player/justin-beadles-46082791,WDE ,0.8519," Sandy Creek (Tyrone, GA)    ","['Virginia Tech', 'Arizona State', 'Akron', 'Arkansas State', 'Boston College', 'Charlotte', 'Eastern Kentucky', 'LSU', 'Maryland', 'Mississippi State', 'Mississippi Valley State', 'Missouri', 'Purdue', 'Rutgers', 'South Alabama', 'Syracuse', 'Western Kentucky']",GA
Jalen Hampton,https://247sports.com/player/jalen-hampton-46050107,RB ,0.8518," Georgetown Preparatory School (Rockville, MD)    ","['Virginia Tech', 'Boston College', 'Buffalo', 'James Madison', 'Massachusetts', 'Monmouth', 'Rutgers', 'Syracuse', 'Temple', 'William & Mary', 'Connecticut', 'Maryland', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Wake Forest', 'Wisconsin']",MD
Lakeem Rudolph,https://247sports.com/player/lakeem-rudolph-46081697,WR ,0.8491," Green Run (Virginia Beach, VA)    ","['Virginia Tech', 'Buffalo', 'Cincinnati', 'East Carolina', 'James Madison', 'Kent State', 'Liberty', 'Marshall', 'Massachusetts', 'Old Dominion', 'Southern Miss', 'Temple', 'Towson']",VA
Dallan Wright,https://247sports.com/player/dallan-wright-46097246,WR ,0.8424," Saluda (Saluda, SC)    ","['Virginia Tech', 'Appalachian State', 'Coastal Carolina', 'Gardner-Webb', 'Limestone College', 'North Greenville', 'South Carolina State', 'Western Carolina']",SC
Keonta Jenkins,https://247sports.com/player/keonta-jenkins-46082875,S ,0.8411," Jean Ribault (Jacksonville, FL)    ","['Virginia Tech', 'Cincinnati', 'Coastal Carolina', 'Georgia State', 'Indiana', 'Jacksonville State', 'Marshall', 'Mercer', 'Middle Tennessee State', 'Savannah State', 'South Alabama', 'Southern Miss', 'The Citadel', 'Troy', 'UAB', 'USF', 'Vanderbilt', 'Wofford']",FL
Jordan Brunson,https://247sports.com/player/jordan-brunson-46085563,RB ,0.8410," Denmark (Alpharetta, GA)  ","['Virginia Tech', 'Akron', 'Boston College', 'Charlotte', 'Chattanooga', 'Coastal Carolina', 'Colorado State', 'Elon', 'Georgia State', 'Kent State', 'Miami (OH)', 'Old Dominion', 'Southern Illinois', 'Tennessee Tech', 'Western Carolina', 'Western Michigan', 'Auburn', 'Georgia Tech', 'North Carolina', 'Tennessee', 'Virginia Tech', 'Wisconsin']",GA
Dorian Strong,https://247sports.com/player/dorian-strong-46086408,CB ,0.8389," Dr. Henry Wise (Upper Marlboro, MD)  ","['Virginia Tech', 'Delaware State', 'Connecticut', 'Stony Brook', 'Towson']",MD
Kaden Moore,https://247sports.com/player/kaden-moore-46081202,OT ,0.8328," Freedom  (Bethlehem, PA)    ","['Virginia Tech', 'Albany', 'Bowling Green', 'Robert Morris', 'Towson', 'Brigham Young', 'Bryant', 'Buffalo', 'Duquesne', 'James Madison', 'Kent State', 'Lafayette', 'Lehigh', 'Marshall', 'Michigan State', 'Monmouth', 'New Hampshire', 'Pittsburgh', 'Syracuse', 'Wofford']",PA
Wilfried Pene,https://247sports.com/player/wilfried-pene-46097216,TE ,0.8304," St. Thomas More (Prep) (Oakdale, CT)    ",['Virginia Tech'],CT
