name,url,position,score,hometown,offers,state
Mitch Griffis,https://247sports.com/player/mitch-griffis-46049005,DUAL ,0.8710," Broad Run (Ashburn, VA)  ",,VA
George Sell,https://247sports.com/player/george-sell-46082463,OT ,0.8533," Kenston (Chagrin Falls, OH)    ",,OH
Ahmani Marshall,https://247sports.com/player/ahmani-marshall-46056899,RB ,0.8510," East Forsyth (Kernersville, NC)    ",,NC
Quinton Cooley,https://247sports.com/player/quinton-cooley-46083781,RB ,0.8490," Southern Nash (Bailey, NC)  ",,NC
Jahmal Banks,https://247sports.com/player/jahmal-banks-46045966,WR ,0.8464," St. Frances Academy (Baltimore, MD)    ",,MD
Malik Puryear,https://247sports.com/player/malik-puryear-46078799,SDE ,0.8390," High Point Christian Academy (High Point, NC)    ",,NC
James Ash,https://247sports.com/player/james-ash-46055320,DT ,0.8382," Chamberlain (Tampa, FL)    ",,FL
Michael Frogge,https://247sports.com/player/michael-frogge-46057242,TE ,0.8328," Northern Guilford (Greensboro, NC)    ",,NC
Jasheen Davis,https://247sports.com/player/jasheen-davis-46039184,WDE ,0.8801," Shiloh (Snellville, GA)    ","['Wake Forest', 'Arkansas', 'Coastal Carolina', 'Colorado', 'Colorado State', 'Florida Atlantic', 'Georgia State', 'Georgia Tech', 'Liberty', 'Louisville', 'LSU', 'Memphis', 'Michigan', 'Minnesota', 'Penn State', 'Pittsburgh', 'Southern Miss', 'Syracuse', 'Tennessee', 'UCF', 'UNLV', 'USF', 'Virginia Tech', 'West Virginia', 'Liberty', 'Western Kentucky']",GA
Luke Petitbon,https://247sports.com/player/luke-petitbon-46049051,OC ,0.8643," Gonzaga  (Washington, DC)    ","['Wake Forest', 'Boston College', 'Cincinnati', 'Illinois', 'Purdue', 'Vanderbilt', 'Virginia']",DC
Kendron Wayman,https://247sports.com/player/kendron-wayman-46055193,SDE ,0.8532," North Caroline (Ridgely, MD)    ","['Wake Forest', 'Boston College', 'Connecticut', 'Maryland', 'Pittsburgh', 'Temple']",MD
Trey Boll,https://247sports.com/player/trey-boll-46081685,TE ,0.8464," Collegiate School (Richmond, VA)  ","['Wake Forest', 'Appalachian State', 'Charlotte', 'Coastal Carolina', 'Connecticut', 'Indiana', 'Liberty', 'Louisville', 'Missouri', 'NC State', 'Pittsburgh', 'South Carolina', 'Temple', 'Virginia', 'Virginia Tech', 'West Virginia']",VA
Gavin Holmes,https://247sports.com/player/gavin-holmes-46082515,CB ,0.8444," Archbishop Rummel (Metairie, LA)    ","['Wake Forest', 'UTSA', 'Washington State', 'Colorado', 'Louisiana-Monroe', 'Nicholls State', 'Northwestern State', 'Old Dominion', 'Southeastern Louisiana', 'Baylor', 'Utah', 'Vanderbilt']",LA
Christian Forbes,https://247sports.com/player/christian-forbes-46056775,OG ,0.8356," The Lawrenceville School (Trenton, NJ)  ","['Wake Forest', 'Boston College', 'Central Michigan', 'Duke', 'Fordham', 'Kent State', 'Monmouth', 'Rutgers']",NJ
J.J. Roberts,https://247sports.com/player/j-j-roberts-46080894,CB ,0.8336," Cabell Midland (Ona, WV)    ","['Wake Forest', 'Air Force', 'Army', 'Eastern Kentucky', 'Eastern Michigan', 'Indiana State', 'Miami (OH)', 'Rutgers', 'West Virginia']",WV
Caelen Carson,https://247sports.com/player/caelen-carson-46083432,CB ,0.8315," North Point (Waldorf, MD)    ","['Wake Forest', 'Army', 'East Carolina', 'Fordham', 'Howard', 'James Madison', 'Kent State', 'Massachusetts', 'Robert Morris', 'Sacred Heart', 'Temple', 'Villanova', 'Delaware State', 'Marshall', 'Marshall']",MD
Zach Vaughan,https://247sports.com/player/zach-vaughan-46083696,OT ,0.8281," Milton Academy (Milton, MA)    ","['Wake Forest', 'Connecticut', 'Massachusetts', 'Boston College', 'Duke', 'Virginia']",MA
Ke'Shawn Williams,https://247sports.com/player/keshawn-williams-46081708,WR ,0.8175," Chestnut Hill Academy (Philadelphia, PA)    ","['Wake Forest', 'Fordham', 'Kent State', 'Massachusetts', 'Monmouth', 'Temple']",PA
Justice Ellison,https://247sports.com/player/justice-ellison-46055012,WR ,0.8065," Flint Hill School (Oakton, VA)  ","['Wake Forest', 'Army', 'Coastal Carolina', 'Fordham', 'Georgetown', 'Howard', 'James Madison', 'Kent State', 'Massachusetts', 'Massachusetts', 'Old Dominion', 'Richmond', 'Towson', 'Youngstown State', 'Michigan State']",VA
Jacob Zuhr,https://247sports.com/player/jacob-zuhr-46086242,LS ,0.7813," Hagerty  (Oviedo, FL)  ","['Wake Forest', 'Florida State', 'Florida', 'South Carolina']",FL
Jackson Hensley,https://247sports.com/player/jackson-hensley-46084039,WR ,0.8200," Pikeville (Pikeville, KY)  ","['Wake Forest', 'Harvard', 'Columbia', 'Cornell', 'Eastern Kentucky', 'Florida Tech', 'Morehead State', 'Pennsylvania', 'William & Mary', 'Yale', 'Charlotte', 'Louisville', 'Marshall', 'Purdue', 'Western Kentucky']",KY
Cody Cater,https://247sports.com/player/cody-cater-46054914,PRO ,0.7697," Providence Day School (Charlotte, NC)  ","['Wake Forest', 'Butler', 'North Carolina Central', 'Valparaiso', 'Lehigh', 'North Carolina']",NC
