name,url,position,score,hometown,offers,state
Myles Murao,https://247sports.com/player/myles-murao-46048409,OC ,0.9499," Mater Dei (Santa Ana, CA)    ",,CA
Gaard Memmelaar,https://247sports.com/player/gaard-memmelaar-46056981,OG ,0.8763," Middleton (Middleton, ID)  ",,ID
Triston Brown,https://247sports.com/player/triston-brown-46081414,P ,0.7989," Mt. San Antonio College (Walnut, CA)  ",,CA
Sav'ell Smalls,https://247sports.com/player/savell-smalls-46037523,WDE ,0.9845," Kennedy Catholic (Burien, WA)    ","['Washington', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Clemson', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Kansas', 'Louisville', 'LSU', 'Miami', 'Michigan', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oregon', 'Oregon State', 'Penn State', 'Stanford', 'TCU', 'Tennessee', 'Texas', 'Texas A&M', 'USC', 'Utah', 'Washington State']",WA
Jalen McMillan,https://247sports.com/player/jalen-mcmillan-46048408,WR ,0.9702," San Joaquin Memorial (Fresno, CA)    ","['Washington', 'Alabama', 'Arizona', 'Arizona State', 'California', 'Colorado', 'Florida', 'Fresno State', 'Georgia', 'Hawaii', 'Kansas State', 'LSU', 'Nebraska', 'Nevada', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Oregon State', 'Tennessee', 'UCLA', 'USC', 'Utah', 'Washington State', 'Clemson']",CA
Ethan Garbers,https://247sports.com/player/ethan-garbers-46053994,PRO ,0.9477," Corona Del Mar (Newport Beach, CA)    ","['Washington', 'Boise State', 'Colorado', 'Colorado State', 'Georgia', 'Kansas', 'Miami', 'Oregon State', 'San Jose State', 'UCLA', 'Utah', 'Washington State', 'Arizona State', 'California', 'Oregon State']",CA
Roger Rosengarten,https://247sports.com/player/roger-rosengarten-46058991,OT ,0.9285," Valor Christian (Littleton, CO)    ","['Washington', 'Arizona State', 'California', 'Colorado', 'Colorado State', 'Duke', 'Iowa', 'Kansas', 'Kansas State', 'Miami', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Oregon', 'Penn State', 'Purdue', 'UCLA', 'USC', 'Utah']",CO
Jacobe Covington,https://247sports.com/player/jacobe-covington-46055059,S ,0.9236," Saguaro (Scottsdale, AZ)    ","['Washington', 'Oklahoma', 'Arizona', 'Arizona State', 'Indiana', 'Kansas', 'LSU', 'Michigan', 'Michigan State', 'Nebraska', 'Oklahoma State', 'Oregon', 'Penn State', 'Purdue', 'Tennessee', 'Texas A&M', 'Texas Tech', 'USC', 'Washington State']",AZ
Geirean Hatchett,https://247sports.com/player/geirean-hatchett-46045864,OG ,0.9200," Ferndale (Ferndale, WA)    ","['Washington', 'Oklahoma', 'Alabama', 'Arizona', 'Arizona State', 'California', 'Colorado', 'Duke', 'Georgia Tech', 'Georgia Tech', 'Kansas State', 'LSU', 'Michigan', 'Mississippi State', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma State', 'Oregon', 'Oregon State', 'Stanford', 'TCU', 'Tennessee', 'Texas', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Washington State']",WA
Rome Odunze,https://247sports.com/player/rome-odunze-46055828,WR ,0.9178," Bishop Gorman (Las Vegas, NV)    ","['Washington', 'Alabama', 'Arizona', 'Arizona State', 'Brigham Young', 'California', 'Colorado', 'Duke', 'Florida', 'Georgia', 'Kansas', 'Miami', 'Michigan', 'Michigan State', 'Minnesota', 'NC State', 'Nebraska', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oregon', 'Penn State', 'San Diego State', 'Stanford', 'Tennessee', 'Texas', 'Texas Tech', 'UCLA', 'UNLV', 'USC', 'Utah', 'West Virginia', 'Boise State']",NV
