name,url,position,score,hometown,offers,state
Marshawn Buchanan,https://247sports.com/player/marshawn-buchanan-46055163,ATH ,0.8559," Adelanto (Adelanto, CA)    ",,CA
Devin Kylany,https://247sports.com/player/devin-kylany-46050027,OG ,0.8356," Lake Stevens (Lake Stevens, WA)    ",,WA
Jayden de Laura,https://247sports.com/player/jayden-de-laura-46053193,PRO ,0.8812," St. Louis (Honolulu, HI)  ","['Washington State', 'Brigham Young', 'Hawaii', 'Ohio State', 'San Diego State', 'USC', 'Western Kentucky', 'Georgia', 'Oregon State']",HI
Alphonse Oywak,https://247sports.com/player/alphonse-oywak-46058349,CB ,0.8685," Kentwood (Kent, WA)    ","['Washington State', 'Arizona', 'Air Force', 'Boise State', 'Nevada', 'Oregon State', 'UNLV', 'Utah State', 'Washington']",WA
Joey Hobert,https://247sports.com/player/joey-hobert-46081130,WR ,0.8660," San Juan Hills (San Juan Capistrano, CA)    ","['Washington State', 'Brigham Young', 'Colorado State', 'Hawaii', 'Montana State', 'San Diego State', 'San Jose State', 'UNLV', 'UCLA', 'USC', 'Washington']",CA
James McNorton,https://247sports.com/player/james-mcnorton-46084664,OT ,0.8611," Liberty (Brentwood, CA)    ","['Washington State', 'Fresno State', 'Northern Arizona', 'Oregon State', 'Sacramento State', 'San Jose State', 'Wyoming']",CA
Jay Wilkerson,https://247sports.com/player/jay-wilkerson-46037406,WR ,0.8540," Heritage (Midlothian, TX)    ","['Washington State', 'Hawaii', 'SMU', 'Arkansas State', 'Colorado State', 'Illinois', 'Kansas', 'Liberty', 'Louisiana Tech', 'Minnesota', 'North Texas', 'Oklahoma State', 'Rutgers', 'Southern Miss', 'Toledo', 'Tulsa', 'Arkansas', 'Baylor', 'Houston', 'TCU', 'Texas Tech', 'Wisconsin']",TX
Fa’alili Fa’amoe,https://247sports.com/player/faalili-faamoe-46096439,SDE ,0.8499," Leone (Pago Pago, AS)  ","['Washington State', 'Hawaii']",AS
Moon Ashby,https://247sports.com/player/moon-ashby-46058529,OLB ,0.8498," Valley Christian (San Jose, CA)    ","['Washington State', 'Fresno State', 'Kansas State', 'San Jose State', 'Utah State', 'California', 'Rice', 'Washington']",CA
Hunter Escorcia,https://247sports.com/player/hunter-escorcia-46085055,S ,0.8477," Vista Murrieta (Murrieta, CA)    ","['Washington State', 'Navy', 'Portland State', 'San Diego State', 'San Jose State', 'Utah', 'Yale', 'UCLA']",CA
Justin Anderson,https://247sports.com/player/justin-anderson-46054648,CB ,0.8477," Menlo-Atherton (Menlo Park, CA)    ","['Washington State', 'Boston College', 'Iowa State', 'Utah', 'Utah State']",CA
Mike Pettway,https://247sports.com/player/mike-pettway-46076566,WR ,0.8477," Thompson (Alabaster, AL)    ","['Washington State', 'Arkansas State', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Georgia Southern', 'Georgia State', 'Indiana', 'Louisville', 'Mississippi State', 'South Alabama', 'Southern Miss', 'Troy', 'Tulane', 'Virginia']",AL
