name,url,position,score,hometown,offers,state
Garrett Greene,https://247sports.com/player/garrett-greene-46051824,DUAL ,0.8729," Lawton Chiles (Tallahassee, FL)      ",,FL
Reese Smith,https://247sports.com/player/reese-smith-46050016,WR ,0.8592," Boyle County (Danville, KY)      ",,KY
Quay Mays,https://247sports.com/player/quay-mays-46083583,DT ,0.8589," Northwest Mississippi C.C. (Senatobia, MS)      ",,MS
Jairo Faverus,https://247sports.com/player/jairo-faverus-46080004,CB ,0.8526," Bristol Academy (Bristol, UK)      ",,UK
Jackie Matthews,https://247sports.com/player/jackie-matthews-46084229,CB ,0.8445," Mississippi Gulf Coast C.C. (Perkinston, MS)                    ",,MS
David Vincent-Okoli,https://247sports.com/player/david-vincent-okoli-46084530,CB ,0.9042," The Bullis School (Potomac, MD)    ","['West Virginia', 'Buffalo', 'Cincinnati', 'Coastal Carolina', 'Connecticut', 'East Carolina', 'Kent State', 'Kentucky', 'Maryland', 'Massachusetts', 'Monmouth', 'Temple', 'Toledo']",MD
Chris Mayo,https://247sports.com/player/chris-mayo-88525,OG ,0.8824," The Peddie School (Hightstown, NJ)    ","['West Virginia', 'Kentucky', 'Purdue', 'Arizona State', 'Auburn', 'Indiana', 'Maryland', 'Minnesota', 'Nebraska', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Tennessee', 'Virginia', 'Wake Forest', 'Notre Dame', 'Penn State']",NJ
Sam Brown,https://247sports.com/player/sam-brown-46081762,WR ,0.8822," New Hampstead (Bloomingdale, GA)                ","['West Virginia', 'Florida', 'UCF', 'Colorado', 'East Carolina', 'FIU', 'Georgia', 'Georgia State', 'Kentucky', 'Maryland', 'Michigan', 'Ole Miss', 'Oregon', 'Savannah State', 'Syracuse', 'Tennessee', 'Tulane', 'USF', 'Wake Forest']",GA
Sean Martin,https://247sports.com/player/sean-martin-46058833,SDE ,0.8767," Bluefield (Bluefield, WV)    ","['West Virginia', 'North Carolina', 'Penn State', 'Purdue', 'Baylor', 'Connecticut', 'Duke', 'Georgia Tech', 'Illinois', 'Indiana', 'Kentucky', 'Marshall', 'Maryland', 'Michigan State', 'Minnesota', 'NC State', 'Oregon', 'Pittsburgh', 'Rutgers', 'Temple', 'Utah', 'Vanderbilt', 'Virginia', 'Virginia Tech']",WV
Zach Frazier,https://247sports.com/player/zach-frazier-46047960,OC ,0.8726," Fairmont (Fairmont, WV)    ","['West Virginia', 'Louisville', 'Marshall', 'Stanford', 'Virginia Tech', 'Wake Forest', 'Virginia', 'Virginia Tech']",WV
Devell Washington,https://247sports.com/player/devell-washington-46049867,WR ,0.8721," Arthur Hill (Saginaw, MI)    ","['West Virginia', 'Central Michigan', 'Eastern Michigan', 'Iowa State', 'Kentucky', 'Michigan', 'Michigan State', 'Ohio State', 'Purdue', 'Toledo', 'Western Michigan']",MI
Akheem Mesidor,https://247sports.com/player/akheem-mesidor-93975,SDE ,0.8683," Clearwater Academy International (Clearwater, FL)                  ","['West Virginia', 'Georgia Tech', 'Pittsburgh', 'Syracuse', 'UCLA', 'Buffalo', 'Colorado State', 'Connecticut', 'Delaware', 'Florida Atlantic', 'Georgia Southern', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Louisville', 'Maryland', 'Massachusetts', 'Minnesota', 'Ole Miss', 'Rutgers', 'Toledo', 'Tulane', 'UCF', 'Virginia Tech', 'Washington State', 'Western Kentucky', 'Western Michigan', 'Penn State']",FL
Lanell Carr,https://247sports.com/player/lanell-carr-46050333,OLB ,0.8647," DeSmet (Saint Louis, MO)    ","['West Virginia', 'Rutgers', 'Arkansas', 'Colorado State', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Kent State', 'Kentucky', 'Louisiana Tech', 'Louisville', 'Maryland', 'Memphis', 'Syracuse', 'UCF', 'Virginia Tech', 'Western Kentucky', 'Western Michigan', 'Illinois', 'Missouri', 'Purdue']",MO
Tairiq Stewart,https://247sports.com/player/tairiq-stewart-46085135,OG ,0.8635," ASA College (New York) (Brooklyn, NY)  ","['West Virginia', 'Boise State', 'Maryland', 'Old Dominion', 'Southern Miss', 'Tennessee', 'UTSA', 'Auburn', 'Central Connecticut State', 'Grambling State', 'Penn State', 'Pittsburgh']",NY
Taurus Simmons,https://247sports.com/player/taurus-simmons-46053870,WDE ,0.8626," Jenkins (Savannah, GA)    ","['West Virginia', 'Coastal Carolina', 'Colorado', 'FIU', 'Georgia Southern', 'Georgia State', 'Kansas State', 'South Alabama', 'Tennessee State', 'Troy', 'Tulane', 'USF', 'East Carolina', 'Georgia Tech', 'South Carolina']",GA
Jordan White,https://247sports.com/player/jordan-white-46055582,OG ,0.8593," DeMatha Catholic (Hyattsville, MD)  ","['West Virginia', 'Maryland', 'LSU', 'Massachusetts', 'Ole Miss', 'Syracuse', 'Virginia', 'Wisconsin', 'Georgia Tech']",MD
Avarius Sparrow,https://247sports.com/player/avarius-sparrow-46080691,RB ,0.8530," Jones (Orlando, FL)    ","['West Virginia', 'Florida Atlantic', 'Rutgers', 'SIU Edwardsville', 'Tennessee Tech', 'UCF', 'USF', 'Western Illinois']",FL
Eddie Watkins,https://247sports.com/player/eddie-watkins-46080649,WDE ,0.8505," Hillcrest (Evergreen, AL)    ","['West Virginia', 'Arizona', 'Georgia Tech', 'Missouri', 'Purdue', 'UCF', 'Arkansas State', 'Central Michigan', 'FIU', 'Indiana', 'Jacksonville State', 'Kentucky', 'Memphis', 'Ole Miss', 'South Alabama', 'Toledo', 'Troy', 'Tulane', 'UAB']",AL
Daryl Porter,https://247sports.com/player/daryl-porter-46053257,CB ,0.8476," American Heritage (Fort Lauderdale, FL)    ","['West Virginia', 'Utah', 'Washington State', 'Baylor', 'Boston College', 'Brown', 'Buffalo', 'Charlotte', 'FIU', 'Indiana', 'Iowa State', 'Louisville', 'Marshall', 'Minnesota', 'Northern Illinois', 'Ole Miss', 'Oregon State', 'Penn State', 'Rutgers', 'Southern Miss', 'TCU', 'Toledo', 'Vanderbilt', 'Western Kentucky', 'Miami']",FL
Charles Finley,https://247sports.com/player/charles-finley-46059128,TE ,0.8444," DePaul Catholic (Wayne, NJ)    ","['West Virginia', 'Boston College', 'Connecticut', 'East Carolina', 'Howard', 'Maryland', 'Massachusetts', 'Morgan State', 'Pittsburgh', 'Rutgers', 'Toledo', 'Western Michigan', 'Buffalo', 'Penn State', 'Virginia Tech']",NJ
Jacob Gamble,https://247sports.com/player/jacob-gamble-46056141,OT ,0.8643," Iowa Western C.C. (Council Bluffs, IA)    ","['West Virginia', 'Florida State', 'Kansas State', 'Nebraska', 'Ole Miss', 'Akron', 'Arkansas State', 'Florida Atlantic', 'Houston', 'Iowa State', 'Louisiana Tech', 'Louisville', 'Middle Tennessee State', 'Ohio', 'SMU', 'Troy', 'UAB', 'UTSA']",IA
James Thomas,https://247sports.com/player/james-thomas-46048093,ATH ,0.8613," Mitchell County (Camilla, GA)    ","['West Virginia', 'Georgia', 'Georgia Tech', 'Michigan', 'South Carolina', 'Tennessee', 'USF']",GA
