name,url,position,score,hometown,offers,state
Quantavious Leslie,https://247sports.com/player/quantavious-leslie-46055363,OG ,0.8729," Rome (Rome, GA)    ","['Western Kentucky', 'Appalachian State', 'Florida', 'Liberty', 'Memphis', 'Michigan State', 'Mississippi State', 'NC State', 'Tennessee', 'Troy', 'Virginia Tech', 'West Virginia']",GA
JaQues Evans,https://247sports.com/player/jaques-evans-46059186,ATH ,0.8660," Dublin (Dublin, GA)    ","['Western Kentucky', 'Arizona State', 'Miami', 'Tennessee', 'USF']",GA
David Ndukwe,https://247sports.com/player/david-ndukwe-46085437,DT ,0.8490," Arabia Mountain (Lithonia, GA)  ","['Western Kentucky', 'Syracuse', 'Akron', 'Chattanooga', 'Eastern Kentucky', 'FIU', 'Jacksonville State', 'South Alabama', 'Southern University']",GA
Kendrick Simpkins,https://247sports.com/player/kendrick-simpkins-46082397,S ,0.8444," Robert E. Lee (Montgomery, AL)    ","['Western Kentucky', 'Florida Atlantic', 'Akron', 'Alabama A&M', 'Central Michigan', 'Chattanooga', 'Colorado', 'Jackson State', 'Kansas', 'Massachusetts', 'Murray State', 'Nebraska', 'Tennessee', 'Toledo', 'Troy']",AL
Dominique Bradshaw,https://247sports.com/player/dominique-bradshaw-46047674,CB ,0.8400," Navarro College (Corsicana, TX)    ","['Western Kentucky', 'Utah', 'UTEP']",TX
Craig Burt,https://247sports.com/player/craig-burt-46094189,WR ,0.8243," Hutchinson C.C. (Hutchinson, KS)    ","['Western Kentucky', 'New Mexico State', 'Massachusetts', 'Incarnate Word', 'Murray State', 'New Mexico', 'Robert Morris']",KS
Nicholas Days,https://247sports.com/player/nicholas-days-46096696,OLB ,0.8200," Independence C.C. (Independence, KS)  ","['Western Kentucky', 'Akron', 'Liberty', 'Marshall', 'Morgan State', 'South Alabama', 'Toledo']",KS
Spencer Owens,https://247sports.com/player/spencer-owens-46097509,TE ,0.8156," Fullerton College (Fullerton, CA)  ","['Western Kentucky', 'San Diego State', 'UTEP']",CA
Talique Allen,https://247sports.com/player/talique-allen-46085849,S ,0.8118," Peach County (Fort Valley, GA)  ",['Western Kentucky'],GA
Noah Whittington,https://247sports.com/player/noah-whittington-46079387,WR ,0.8113," Peach County (Fort Valley, GA)    ","['Western Kentucky', 'Army', 'South Alabama']",GA
Travis Collier,https://247sports.com/player/travis-collier-46085211,ATH ,0.8105," Douglas County (Douglasville, GA)  ","['Western Kentucky', 'Akron', 'Charlotte', 'Chattanooga', 'Jacksonville State', 'Mercer', 'Troy', 'Western Carolina']",GA
Mitchell Tinsley,https://247sports.com/player/mitchell-tinsley-46094132,WR ,0.8056," Hutchinson C.C. (Hutchinson, KS)      ","['Western Kentucky', 'Akron', 'Ball State', 'Marshall', 'Massachusetts', 'New Mexico State', 'South Alabama', 'Southeast Missouri State', 'Tennessee Tech', 'Kansas State', 'Southern Illinois', 'Stetson']",KS
Mark Goode,https://247sports.com/player/mark-goode-46085481,OT ,0.8052," Larue County (Hodgenville, KY)    ","['Western Kentucky', 'Akron', 'Army', 'Eastern Kentucky', 'Eastern Michigan', 'Murray State', 'Indiana', 'Kentucky', 'Ole Miss']",KY
Wesley Horton,https://247sports.com/player/wesley-horton-46081409,DT ,0.8051," North Atlanta (Atlanta, GA)  ","['Western Kentucky', 'Chattanooga', 'Coastal Carolina', 'Georgia Southern', 'Georgia State', 'Samford']",GA
Dezmion Roberson,https://247sports.com/player/dezmion-roberson-46093571,ILB ,0.8003," Elba (Elba, AL)  ",['Western Kentucky'],AL
Darius Shipp,https://247sports.com/player/darius-shipp-46049229,DT ,0.7994," Northeast Mississippi C.C. (Booneville, MS)    ","['Western Kentucky', 'East Carolina', 'Charlotte', 'South Alabama', 'Southern Illinois', 'Troy', 'Louisiana-Monroe']",MS
Grady Robison,https://247sports.com/player/grady-robison-46084726,DUAL ,0.7982," Eastlake (Sammamish, WA)    ","['Western Kentucky', 'Montana State', 'Central Washington', 'Northern Colorado', 'Army', 'California', 'Eastern Washington', 'Montana', 'Portland State', 'Princeton', 'Washington', 'Washington State', 'Yale']",WA
