name,url,position,score,hometown,offers,state
Logan Wilson,https://247sports.com/player/logan-wilson-46055049,SDE ,0.8552," Kimberly (Kimberly, WI)    ","['Western Michigan', 'Iowa', 'Miami (OH)', 'Northern Illinois', 'Wisconsin']",WI
Kaevion Mack,https://247sports.com/player/kaevion-mack-46081423,WR ,0.8484," Peoria (Peoria, IL)    ","['Western Michigan', 'Northern Illinois', 'Ball State', 'Bowling Green', 'Eastern Michigan', 'Indiana State', 'Iowa', 'Toledo', 'Illinois', 'Miami (OH)', 'Missouri']",IL
Ronald Pledger,https://247sports.com/player/ronald-pledger-46048963,CB ,0.8484," Phillips Academy (Chicago, IL)    ","['Western Michigan', 'Iowa State', 'Northern Illinois', 'Pittsburgh', 'Toledo', 'Virginia Tech']",IL
Ryan Kilburg,https://247sports.com/player/ryan-kilburg-46084288,S ,0.8463," Maine South (Park Ridge, IL)    ","['Western Michigan', 'Air Force', 'Ball State', 'Bowling Green', 'Brown', 'Central Michigan', 'Columbia', 'Cornell', 'Fordham', 'Holy Cross', 'Illinois State', 'Kansas State', 'Navy', 'North Dakota State', 'Ohio', 'South Dakota', 'South Dakota State']",IL
Eston Miles,https://247sports.com/player/eston-miles-46080282,DT ,0.8389," Williamston (Williamston, MI)  ","['Western Michigan', 'Ball State', 'Bowling Green', 'Eastern Michigan', 'Miami (OH)', 'Northern Illinois', 'Rutgers']",MI
Jack Salopek,https://247sports.com/player/jack-salopek-46037679,PRO ,0.8347," Norwin (Irwin, PA)    ","['Western Michigan', 'Dartmouth', 'Duquesne', 'Harvard', 'Massachusetts', 'Pittsburgh', 'Yale', 'Youngstown State', 'Fordham', 'Holy Cross', 'Michigan', 'Notre Dame', 'Penn State', 'Tennessee', 'Virginia', 'West Virginia', 'Wisconsin']",PA
Giacomo Iraci,https://247sports.com/player/giacomo-iraci-46081296,S ,0.8315," Brother Rice (Oak Lawn, IL)    ","['Western Michigan', 'Air Force', 'Ball State', 'Eastern Kentucky', 'Eastern Michigan', 'Northern Illinois', 'Toledo']",IL
Kyle Arnoldi,https://247sports.com/player/kyle-arnoldi-46052650,OG ,0.8305," Walled Lake Northern (Commerce Township, MI)    ","['Western Michigan', 'Ball State', 'Buffalo', 'Central Michigan', 'Cincinnati', 'Eastern Michigan', 'Toledo', 'Youngstown State', 'Michigan State']",MI
James Phillips,https://247sports.com/player/james-phillips-46096632,TE ,0.8299," Ursuline (Youngstown, OH)  ","['Western Michigan', 'Western Michigan']",OH
Tyler Fletcher,https://247sports.com/player/tyler-fletcher-46053201,ATH ,0.8268," East Nashville Magnet School (Nashville, TN)    ","['Western Michigan', 'Georgia State', 'Alabama A&M', 'Army', 'Austin Peay', 'Miami (OH)', 'Navy', 'Tennessee State', 'Tennessee Tech', 'Western Kentucky', 'Cincinnati', 'Kentucky', 'Ole Miss']",TN
Anthony Enechukwu,https://247sports.com/player/anthony-enechukwu-46055817,ATH ,0.8255," St. Mary's (West Bloomfield, MI)    ","['Western Michigan', 'Air Force', 'Akron', 'Albany', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cornell', 'Eastern Kentucky', 'Eastern Michigan', 'Illinois State', 'Liberty', 'Northern Illinois', 'Toledo', 'Western Illinois', 'Youngstown State']",MI
Mitch Bartol,https://247sports.com/player/mitch-bartol-46076645,TE ,0.8248," Kimberly (Kimberly, WI)  ","['Western Michigan', 'Ball State', 'Bowling Green', 'Buffalo', 'Dartmouth', 'Eastern Illinois', 'Eastern Michigan', 'Illinois State', 'Kent State', 'Syracuse', 'Toledo', 'Iowa', 'Wisconsin']",WI
Cam Griffin,https://247sports.com/player/cam-griffin-46080677,CB ,0.8227," Lutheran North (Saint Louis, MO)  ","['Western Michigan', 'Ball State', 'Bowling Green', 'Eastern Michigan', 'Iowa State', 'Miami (OH)']",MO
Adam Vandervest,https://247sports.com/player/adam-vandervest-46079978,OT ,0.8118," Verona Area (Verona, WI)  ","['Western Michigan', 'Central Michigan', 'Columbia', 'Eastern Kentucky', 'Illinois State', 'New Mexico State', 'Toledo', 'Ball State', 'Iowa', 'Nebraska', 'Wisconsin']",WI
Stiles Moore,https://247sports.com/player/stiles-moore-46053613,WDE ,0.8107," Cocke County (Newport, TN)  ","['Western Michigan', 'Akron', 'Central Michigan', 'Cincinnati', 'Duke', 'Iowa', 'Kent State', 'Louisville', 'Temple', 'Toledo', 'Tulane', 'Louisville', 'North Carolina', 'Tennessee']",TN
Anthony Sambucci,https://247sports.com/player/anthony-sambucci-46085364,ATH ,0.8097," Lemont (Lemont, IL)  ","['Western Michigan', 'Eastern Illinois', 'Illinois State', 'North Dakota', 'South Dakota State', 'Southern Illinois', 'Western Illinois']",IL
Quinton Cannon,https://247sports.com/player/quinton-cannon-46058111,OLB ,0.8084," Cathedral (Indianapolis, IN)    ","['Western Michigan', 'Air Force', 'Ball State', 'Bowling Green', 'Central Michigan', 'Eastern Michigan', 'Navy', 'Western Illinois']",IN
Jack Taylor,https://247sports.com/player/jack-taylor-46083957,OT ,0.8053," The Lawrenceville School (Trenton, NJ)  ",['Western Michigan'],NJ
Kentrell Beck,https://247sports.com/player/kentrell-beck-46094039,ATH ,0.7897," Shelbyville (Shelbyville, IL)  ","['Western Michigan', 'Illinois', 'Iowa State']",IL
Jeremiah Piper,https://247sports.com/player/jeremiah-piper-46050166,ATH ,0.7791," Southfield (Southfield, MI)    ","['Western Michigan', 'Akron', 'Ohio', 'Toledo', 'Michigan State']",MI
