name,url,position,score,hometown,offers,state
Jack Nelson,https://247sports.com/player/jack-nelson-46049650,OT ,0.9540," Stoughton (Stoughton, WI)      ",,WI
Nick Herbig,https://247sports.com/player/nick-herbig-46049916,OLB ,0.9360," St Louis School (Honolulu, HI)      ",,HI
Chimere Dike,https://247sports.com/player/chimere-dike-46076679,WR ,0.8727," North (Waukesha, WI)                    ",,WI
Jordan Turner,https://247sports.com/player/jordan-turner-46052690,ILB ,0.8680," Farmington (Farmington, MI)                    ",,MI
Dylan Barrett,https://247sports.com/player/dylan-barrett-46052093,OG ,0.8626," St Charles East (Saint Charles, IL)    ",,IL
Preston Zachman,https://247sports.com/player/preston-zachman-46079340,OLB ,0.8431," Southern Columbia Area HS (Catawissa, PA)      ",,PA
Cade McDonald,https://247sports.com/player/cade-mcdonald-46083934,SDE ,0.8407," Hudson (Hudson, WI)                  ",,WI
Trey Wedig,https://247sports.com/player/trey-wedig-46048454,OT ,0.9643," Kettle Moraine (Wales, WI)    ","['Wisconsin', 'Georgia', 'Iowa State', 'Michigan', 'Minnesota', 'Nebraska', 'Notre Dame', 'Syracuse', 'Tennessee', 'USC']",WI
Jalen Berger,https://247sports.com/player/jalen-berger-46037280,RB ,0.9378," Don Bosco Prep (Ramsey, NJ)    ","['Wisconsin', 'UCLA', 'Alabama', 'Baylor', 'Boston College', 'Connecticut', 'Duke', 'Florida', 'Kansas', 'Kentucky', 'LSU', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'North Carolina', 'Ohio State', 'Ole Miss', 'Oregon', 'Penn State', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Vanderbilt', 'Virginia Tech', 'West Virginia']",NJ
Kaden Johnson,https://247sports.com/player/kaden-johnson-46050569,OLB ,0.9231," Minnehaha Academy (Minneapolis, MN)    ","['Wisconsin', 'Nebraska', 'Oregon State', 'California', 'Iowa', 'Iowa State', 'LSU', 'Michigan State', 'Minnesota', 'Northwestern', 'Purdue', 'Tennessee', 'Vanderbilt', 'Virginia', 'Yale']",MN
Cole Dakovich,https://247sports.com/player/cole-dakovich-46058662,OLB ,0.8755," Catholic Memorial (Waukesha, WI)    ","['Wisconsin', 'Iowa', 'Purdue']",WI
Malik Reed,https://247sports.com/player/malik-reed-46055685,OLB ,0.8681," Chandler (Chandler, AZ)    ","['Wisconsin', 'Arizona', 'Nebraska', 'UCLA', 'Colorado', 'Indiana', 'Oregon State', 'Washington State', 'Alabama', 'Arizona State', 'Oregon', 'USC']",AZ
Aaron Witt,https://247sports.com/player/aaron-witt-46056512,SDE ,0.8655," Winona (Winona, MN)                    ","['Wisconsin', 'Iowa', 'Iowa State', 'Minnesota', 'North Dakota State', 'Northern Iowa', 'Ohio', 'Oregon State', 'Wyoming']",MN
Cam Large,https://247sports.com/player/cam-large-46052942,TE ,0.8647," Noble And Greenough School (Dedham, MA)      ","['Wisconsin', 'Alabama', 'Georgia', 'Ohio State', 'Boston College', 'Buffalo', 'Connecticut', 'Duke', 'East Carolina', 'Georgia Tech', 'Iowa', 'Kent State', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Notre Dame', 'Penn State', 'Syracuse', 'TCU', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia', 'Maine', 'New Hampshire', 'Rhode Island', 'Rutgers', 'Villanova']",MA
Ben Barten,https://247sports.com/player/ben-barten-46056009,OT ,0.8594," Stratford (Stratford, WI)  ","['Wisconsin', 'Iowa', 'South Dakota State']",WI
Tanor Bortolini,https://247sports.com/player/tanor-bortolini-46052092,OG ,0.8552," Kewaunee (Kewaunee, WI)    ","['Wisconsin', 'Air Force', 'Central Michigan', 'Columbia', 'Dartmouth', 'Eastern Kentucky', 'Illinois State', 'Iowa', 'Miami', 'North Dakota State', 'Northern Illinois', 'South Dakota', 'South Dakota State', 'Syracuse', 'Temple', 'Western Michigan', 'Yale', 'Nebraska']",WI
Max Lofy,https://247sports.com/player/max-lofy-46084627,CB ,0.8526," Pine Creek (Colorado Springs, CO)    ","['Wisconsin', 'Minnesota', 'Oklahoma State', 'Air Force', 'Arizona State', 'Army', 'Colorado State', 'Columbia', 'Harvard', 'Kansas State', 'Northern Colorado', 'Pennsylvania', 'Wyoming', 'Yale']",CO
Isaac Smith,https://247sports.com/player/isaac-smith-46080585,WR ,0.8456," St. George's - Collierville (Collierville, TN)    ","['Wisconsin', 'Army', 'Cornell', 'Jackson State', 'Missouri', 'Tennessee State', 'UT Martin', 'Cincinnati', 'Louisville', 'Memphis', 'Mississippi State', 'Northwestern', 'Vanderbilt']",TN
James Thompson Jr.,https://247sports.com/player/james-thompson-jr-46056563,SDE ,0.8435," Roger Bacon (Cincinnati, OH)    ","['Wisconsin', 'Akron', 'Ball State', 'Chattanooga', 'Coastal Carolina', 'Eastern Kentucky', 'Iowa State', 'Navy', 'The Citadel', 'Austin Peay', 'Indiana', 'Michigan State', 'Northern Illinois', 'Northwestern', 'Purdue', 'Rutgers']",OH
Devin Chandler,https://247sports.com/player/devin-chandler-46051351,WR ,0.8316," William Amos Hough (Cornelius, NC)                  ","['Wisconsin', 'Maryland', 'Virginia', 'Akron', 'Duke', 'Illinois', 'Kent State', 'NC State', 'North Alabama', 'North Carolina Central', 'Syracuse']",NC
