name,url,position,score,hometown,offers,state
Xavier Carter,https://247sports.com/player/xavier-carter-46099321,CB ,0.8499," Manvel (Manvel, TX)    ",['Wyoming'],TX
Colin O'Brien,https://247sports.com/player/colin-obrien-46086593,TE ,0.8288," Saddleback College (Mission Viejo, CA)    ","['Wyoming', 'Boise State', 'Massachusetts', 'Montana', 'Nevada', 'UCLA']",CA
Nofoafia Tulafono,https://247sports.com/player/nofoafia-tulafono-46055084,OG ,0.8254," Oak Hills (Hesperia, CA)    ","['Wyoming', 'Arizona', 'Brigham Young', 'Hawaii', 'Jacksonville', 'Montana State', 'Morgan State', 'New Mexico', 'North Texas', 'UNLV', 'UTEP', 'Boise State', 'New Mexico State', 'Oregon', 'San Diego State']",CA
Gavin Meyer,https://247sports.com/player/gavin-meyer-46076962,WDE ,0.8223," Franklin (Franklin, WI)    ","['Wyoming', 'Air Force', 'Ball State', 'Buffalo', 'Eastern Kentucky', 'Eastern Michigan', 'Fordham', 'Illinois State', 'Navy', 'South Dakota', 'Michigan State', 'Northwestern', 'Wisconsin']",WI
Keshaun Taylor,https://247sports.com/player/keshaun-taylor-46085391,WR ,0.8223," Thomas Jefferson (Denver, CO)    ","['Wyoming', 'Northern Colorado', 'Colorado', 'Colorado State']",CO
Joshua Cobbs,https://247sports.com/player/joshua-cobbs-46082872,WR ,0.8198," Karen Wagner (San Antonio, TX)    ","['Wyoming', 'Army', 'Houston Baptist', 'McNeese State', 'Middle Tennessee State', 'Navy', 'Northern Colorado', 'Texas Southern', 'UNLV']",TX
Tyrese Grant,https://247sports.com/player/tyrese-grant-46056539,ATH ,0.8187," Daingerfield (Daingerfield, TX)    ","['Wyoming', 'Tulsa', 'Alcorn State', 'Appalachian State', 'Coastal Carolina', 'Colorado State', 'Hawaii', 'Lamar', 'Liberty', 'Louisiana-Monroe', 'McNeese State', 'Southern Miss', 'Texas Southern', 'Texas State', 'Toledo', 'Utah', 'UTSA']",TX
Kohl Herbolsheimer,https://247sports.com/player/kohl-herbolsheimer-46081283,OG ,0.8154," Millard South (Omaha, NE)    ","['Wyoming', 'Colorado State', 'North Dakota', 'South Dakota', 'South Dakota State', 'Southwest Minnesota State', 'Texas State', 'Iowa State', 'Kansas State', 'Nebraska', 'North Dakota State', 'Wofford']",NE
Cameron Stone,https://247sports.com/player/cameron-stone-46086712,CB ,0.8123," Angleton (Angleton, TX)    ","['Wyoming', 'Incarnate Word', 'Houston Baptist', 'New Mexico State', 'Sam Houston State']",TX
Gavin Beerup,https://247sports.com/player/gavin-beerup-46056962,PRO ,0.8119," St. Bonaventure (Ventura, CA)    ","['Wyoming', 'Columbia', 'Southern Miss', 'UNLV']",CA
Mana Taimani,https://247sports.com/player/mana-taimani-46083293,OT ,0.8104," Clayton Valley (Concord, CA)    ","['Wyoming', 'Sacramento State', 'San Jose State', 'Dixie State', 'Portland State']",CA
Connor Shay,https://247sports.com/player/connor-shay-46084758,OLB ,0.8098," Monte Vista (Danville, CA)    ","['Wyoming', 'Fresno State', 'Montana', 'Nevada', 'Northern Arizona', 'UNLV', 'Utah']",CA
Malik Williams,https://247sports.com/player/malik-williams-46093808,OT ,0.8098," Hayward (Hayward, CA)    ",['Wyoming'],CA
Wyatt Ekeler,https://247sports.com/player/wyatt-ekeler-46097504,RB ,0.8098," Windsor (Windsor, CO)  ",['Wyoming'],CO
Brent VanderVeen,https://247sports.com/player/brent-vanderveen-46080792,S ,0.8079," Sedro Woolley (Sedro Woolley, WA)  ","['Wyoming', 'Eastern Washington', 'Air Force', 'Georgetown', 'Navy']",WA
Nick Miles,https://247sports.com/player/nick-miles-46097507,TE ,0.7998," Chaparral (Parker, CO)  ",['Wyoming'],CO
Cameron Smith,https://247sports.com/player/cameron-smith-46079769,OLB ,0.7998," Legend (Parker, CO)  ","['Wyoming', 'Idaho', 'New Mexico State', 'North Dakota', 'Boise State', 'Colorado', 'Colorado State', 'New Mexico State']",CO
Caleb Driskill,https://247sports.com/player/caleb-driskill-46094847,ILB ,0.7897," Thunder Basin (Gillette, WY)    ","['Wyoming', 'Black Hills State', 'Northern Colorado', 'Western Colorado', 'Arizona State']",WY
Joey Braasch,https://247sports.com/player/joey-braasch-46094643,ATH ,0.7897," Columbus (Columbus, NE)  ","['Wyoming', 'Northern Iowa', 'Nebraska', 'South Dakota State', 'Western Illinois']",NE
Caleb Robinson,https://247sports.com/player/caleb-robinson-46097565,OT ,0.7852," Burke (Omaha, NE)  ",['Wyoming'],NE
Braden Siders,https://247sports.com/player/braden-siders-46097506,OLB ,0.7797," Ralston Valley (Arvada, CO)  ",['Wyoming'],CO
Isaac White,https://247sports.com/player/isaac-white-46097505,WR ,0.6996," J.K. Mullen (Denver, CO)  ",['Wyoming'],CO
Oluwaseyi Omotosho,https://247sports.com/player/oluwaseyi-omotosho-46080868,OLB ,NA," Fort Bend Bush (Richmond, TX)    ","['Wyoming', 'Liberty']",TX
Buck Coors,https://247sports.com/player/buck-coors-46099275,PRO ,0.8125," Resurrection Christian School (Loveland, CO)    ","['Wyoming', 'Colorado School of Mines', 'Eastern Michigan', 'Western Colorado']",CO
